Component 00000000037555,00011-37555,00006-00010-63125,578140679-037555,1343111266-037555,2108081853-0037555,98250326-037555,568364685-00037555,789506856-037555,263446952-0000037555
Component 00000000071039,00004-00003-00007-71039,00003-00002-12313,1385206613-071039,851132860-071039,317059107-0071039,178691533-071039,701576651-00071039,1519470233-071039,1045230557-0000071039
Component 00000000075575,00003-00006-75575,00003-00005-00001-15783,1140402139-075575,991702285-075575,843002431-0075575,370910161-075575,1114409431-00075575,445260088-075575,1237114251-0000075575
Component 00000000047141,00001-00003-00003-47141,00002-00003-00006-84402,513686520-047141,1026996318-047141,1540306116-0047141,1786891606-047141,1367826263-00047141,1530236707-047141,27352119-0000047141
Component 00000000085099,00004-00001-85099,00004-00006-35340,1031322581-085099,140631318-085099,1397423702-0085099,1856211089-085099,2014700110-00085099,1227814897-085099,1212769417-0000085099
Component 00000000098325,00003-00006-98325,00004-00001-00003-35064,570305630-098325,236391843-098325,2049961703-0098325,481614313-098325,3699601-00098325,1722313030-098325,563684533-0000098325
Component 00000000093772,00002-00003-93772,00003-00002-00007-31103,230421150-093772,518023150-093772,805625150-0093772,1294216268-093772,2003689915-00093772,1150415268-093772,1562677338-0000093772
Component 00000000059824,00004-00002-00011-59824,00003-00006-00002-68928,94128111-059824,1274343381-059824,307075004-0059824,1499993884-059824,2041368475-00059824,909886249-059824,2104393471-0000059824
Component 00000000075161,00001-00002-00008-75161,00004-00002-00010-4209,1326541727-075161,439232909-075161,1699407738-0075161,1241736994-075161,1383313790-00075161,1685391403-075161,1955765819-0000075161
Component 00000000040903,00003-00002-00005-40903,00002-00009-64710,1735648368-040903,2003730742-040903,124329469-0040903,1852741625-040903,512329755-00040903,1718700438-040903,466135072-0000040903
Component 00000000113638,00003-00005-113638,00001-00004-56190,1827203256-113638,607076210-113638,1534432811-0113638,633099994-113638,291284283-00113638,1243163517-113638,492968149-0000113638
Component 00000000082117,00002-00009-82117,00001-00002-00006-75406,654417912-082117,1169083311-082117,1683748710-0082117,919627823-082117,493784475-00082117,1736036947-082117,2055748711-0000082117
Component 00000000072823,00003-00002-00010-72823,00001-00001-00009-62266,2105642379-072823,1166442712-072823,227243045-0072823,577873293-072823,978904334-00072823,2121214950-072823,1220800556-0000072823
Component 00000000072271,00001-00003-00004-72271,00001-00003-00004-46791,1575168504-072271,1686711235-072271,1798253966-0072271,1616281840-072271,1058568185-00072271,486768651-072271,1259179759-0000072271
Component 00000000095067,00002-00011-95067,00002-00003-67392,82635198-095067,1995669405-095067,1761219965-0095067,1596739240-095067,621502793-00095067,1713963960-095067,280043914-0000095067
Component 00000000033601,00001-00001-00009-33601,00004-00002-75959,1139273851-033601,226276915-033601,1460763626-0033601,1956079042-033601,78612781-00033601,265093863-033601,436159923-0000033601
Component 00000000079174,00004-00004-00004-79174,00001-00003-00001-116546,666355480-079174,1922002680-079174,1030166233-0079174,1435702564-079174,1599917505-00079174,807878964-079174,364035607-0000079174
Component 00000000087738,00003-00001-87738,00005-109270,97667707-087738,1663355961-087738,1081560568-0087738,871620381-087738,1633113699-00087738,88776254-087738,500114017-0000087738
Component 00000000092067,00002-00003-00001-92067,00002-00005-00012-106937,693883886-092067,64957237-092067,1583514235-0092067,1329454291-092067,179120242-00092067,570175792-092067,2046536785-0000092067
Component 00000000098737,00002-00002-00002-98737,00002-00001-00002-46607,2072731179-098737,1654980502-098737,1237229825-0098737,65434344-098737,6704082-00098737,1348051506-098737,1486180176-0000098737
Component 00000000057578,00003-00003-00001-57578,00002-00005-6050,546415775-057578,408508913-057578,270602051-0057578,300383909-057578,989918219-00057578,369337340-057578,600389002-0000057578
Component 00000000074950,00001-00005-74950,00002-00006-00004-121827,221593716-074950,501055931-074950,780518146-0074950,1964351085-074950,567040010-00074950,750878154-074950,672292934-0000074950
Component 00000000090582,00002-00002-00011-90582,00004-00006-00007-22224,223368477-090582,698718382-090582,1174068287-0090582,729260576-090582,499994698-00090582,1565327447-090582,1158532985-0000090582
Component 00000000079939,00004-00006-00002-79939,00001-00004-00001-14431,1930589130-079939,621528527-079939,1459951571-0079939,1791917471-079939,1894769545-00079939,1372705949-079939,2087465024-0000079939
Component 00000000056049,00004-00006-56049,00003-86765,424602017-056049,2050060954-056049,1528036244-0056049,876207346-056049,1338847249-00056049,1137219701-056049,269418891-0000056049
Component 00000000046601,00001-00002-00009-46601,00001-00005-00010-69326,903302973-046601,1566997997-046601,83209374-0046601,880256932-046601,1856749106-00046601,548409420-046601,1545183391-0000046601
Component 00000000102050,00004-102050,00001-37856,204810495-102050,1641712865-102050,931131588-0102050,1175098736-102050,433037827-00102050,456647551-102050,2127513318-0000102050
Component 00000000061198,00003-00004-00007-61198,00002-00003-00004-107397,1723044961-061198,1682236136-061198,1641427311-0061198,817558772-061198,1021602897-00061198,1911705008-061198,481816376-0000061198
Component 00000000019717,00002-00005-00009-19717,00002-00004-57815,34307694-019717,174642946-019717,314978198-0019717,398116475-019717,1843923862-00019717,327948849-019717,1939944207-0000019717
Component 00000000036292,00002-00004-00009-36292,00002-00002-00002-27757,307165174-036292,1622531332-036292,790413843-0036292,1825398074-036292,1691018225-00036292,1167714995-036292,226791890-0000036292
Component 00000000085267,00002-85267,00003-00002-40068,495645139-085267,1750207624-085267,857286462-0085267,138641722-085267,308280238-00085267,585102303-085267,1854909951-0000085267
Component 00000000038700,00004-00012-38700,00003-00001-00009-95208,1489548379-038700,1736751478-038700,1983954577-0038700,1667738622-038700,431723127-00038700,470395249-038700,1913339645-0000038700
Component 00000000094070,00004-00002-94070,00005-00004-39485,1071766675-094070,135711293-094070,1347139558-0094070,770237235-094070,1155546851-00094070,1238264926-094070,1804720795-0000094070
Component 00000000108736,00001-00005-00004-108736,00003-00001-00002-79458,1305354810-108736,1876034570-108736,299230683-0108736,1066035759-108736,360120606-00108736,780695879-108736,430816431-0000108736
Component 00000000009338,00003-00004-9338,00003-00008-14308,1280089387-009338,1091964264-009338,903839141-0009338,1819697333-009338,612839301-00009338,840018071-009338,1124463639-0000009338
Component 00000000114884,00004-00003-114884,00001-00003-00009-4546,667599016-114884,1592810746-114884,370538829-0114884,443211334-114884,112119978-00114884,2128089116-114884,166931582-0000114884
Component 00000000009308,00003-00005-9308,00004-00002-00007-13449,28315062-009308,2070112993-009308,1964427277-0009308,1345008777-009308,1873437357-00009308,1397851635-009308,2130417719-0000009308
Component 00000000105048,00003-00006-00008-105048,00002-00002-00003-99752,1540970876-105048,1578891685-105048,1616812494-0105048,158904642-105048,2116784244-00105048,1213686061-105048,1259670996-0000105048
Component 00000000086238,00003-00005-00009-86238,00004-00004-00003-67239,1729847274-086238,1590996533-086238,1452145792-0086238,364295453-086238,1058549158-00086238,1507462647-086238,2098124143-0000086238
Component 00000000042631,00001-00001-00004-42631,00003-00008-81700,664268955-042631,1264436413-042631,1864603871-0042631,1855103257-042631,1001749614-00042631,1555019528-042631,220421928-0000042631
Component 00000000070980,70980,00001-00008-10655,406801399-070980,214387811-070980,21974223-0070980,1812160616-070980,626744909-00070980,1908367410-070980,855941829-0000070980
Component 00000000012620,00006-00010-12620,00004-00002-00002-106199,1713429821-012620,1239266025-012620,765102229-0012620,191322185-012620,414657518-00012620,428404083-012620,477083591-0000012620
Component 00000000118345,00003-00006-118345,00001-00004-00002-101441,1838370261-118345,614277377-118345,1537668140-0118345,451923856-118345,129937335-00118345,1063970298-118345,1816998850-0000118345
Component 00000000113353,00003-00002-00006-113353,00003-00004-00005-32778,1329194887-113353,550383666-113353,1919056092-0113353,1137814491-113353,736903302-00113353,453478278-113353,750413809-0000113353
Component 00000000096765,00004-00006-96765,00002-00005-00002-32177,52647881-096765,1482683957-096765,765236386-0096765,689920863-096765,2129675071-00096765,2122386472-096765,471007531-0000096765
Component 00000000041166,00001-00006-00008-41166,00002-00005-00005-40682,835690216-041166,1067003719-041166,1298317222-0041166,243235053-041166,1234151185-00041166,1201320125-041166,356078089-0000041166
Component 00000000044906,00001-00001-00004-44906,00002-00001-00009-21862,1108271165-044906,1422739855-044906,1737208545-0044906,1327617101-044906,1902757298-00044906,1170382756-044906,450719884-0000044906
Component 00000000097645,00002-00002-97645,00004-00006-16029,1744489895-097645,1970844586-097645,49715630-0097645,911532350-097645,1927242542-00097645,1872096828-097645,1418071582-0000097645
Component 00000000066119,00004-00004-00001-66119,00002-00003-00001-121642,1107799835-066119,1784660552-066119,314037622-0066119,649548081-066119,1560211790-00066119,1384859546-066119,879332407-0000066119
Component 00000000083047,00002-00006-00003-83047,00001-00004-00002-101441,535338722-083047,1922785182-083047,1162747995-0083047,1254498975-083047,759717616-00083047,560775745-083047,1156643965-0000083047
Component 00000000057196,00001-00006-00009-57196,00006-00008-118880,1480090345-057196,427848442-057196,1523090186-0057196,912223754-057196,1878465975-00057196,364602882-057196,1614867464-0000057196
Component 00000000009236,00001-00003-00006-9236,00003-00002-11455,317089738-009236,1805131646-009236,1145689907-0009236,1620161925-009236,622403326-00009236,876140971-009236,1844671768-0000009236
Component 00000000056734,00004-00006-00002-56734,00004-00002-00004-105954,453898492-056734,918068575-056734,1382238658-0056734,417569224-056734,244202456-00056734,1259226006-056734,1346749418-0000056734
Component 00000000034464,00004-00003-00001-34464,00001-00008-100121,590563894-034464,99380632-034464,1755681017-0034464,390495804-034464,698928467-00034464,636087435-034464,1002617377-0000034464
Component 00000000116842,00002-00005-00011-116842,00004-00003-00004-59349,864000365-116842,1661174654-116842,310865296-0116842,1945989559-116842,107601761-00116842,473660591-116842,741922701-0000116842
Component 00000000057203,00003-00006-00003-57203,00003-00009-119063,1828448343-057203,1215477338-057203,602506333-0057203,1090383835-057203,2007755213-00057203,323127514-057203,80090626-0000057203
Component 00000000052243,00003-00002-00009-52243,00002-00002-00002-103742,39287606-052243,1606238275-052243,1025705297-0052243,1948209231-052243,555906827-00052243,90992073-052243,2089770678-0000052243
Component 00000000020030,00003-00010-20030,00006-66625,1243259695-020030,1338916793-020030,1434573891-0020030,1587661654-020030,1109376164-00020030,1539833105-020030,229849878-0000020030
Component 00000000036127,00002-36127,00001-00002-00011-23151,1810499529-036127,1574271152-036127,1338042775-0036127,17099656-036127,1198241541-00036127,1208955668-036127,253254052-0000036127
Component 00000000044444,00004-00001-00010-44444,00001-00004-00005-8936,1230473782-044444,1390895654-044444,1551317526-0044444,420999986-044444,1766374273-00044444,340789050-044444,887442193-0000044444
Component 00000000065480,00002-00012-65480,00002-00002-00002-103742,1422438850-065480,1849856197-065480,129789897-0065480,1751085533-065480,1761482445-00065480,463635036-065480,1556291576-0000065480
Component 00000000019652,00002-00003-00009-19652,00004-00012-27104,1602213554-019652,1420914243-019652,1239614932-0019652,325389735-019652,1231886290-00019652,1489781214-019652,74640160-0000019652
Component 00000000033808,00003-00005-00008-33808,00004-00004-00011-81729,357414482-033808,770596314-033808,1183778146-0033808,1069380511-033808,1150954998-00033808,862789595-033808,2053503128-0000033808
Component 00000000112307,00002-00006-112307,00005-00008-57195,1058235166-112307,1259171299-112307,1460107432-0112307,1139961205-112307,135280540-00112307,2113234962-112307,392563566-0000112307
Component 00000000002630,00005-00004-2630,00002-00011-73565,588802360-002630,77372216-002630,1713425719-0002630,1554244140-002630,1963911213-00002630,1809959212-002630,957894258-0000002630
Component 00000000104487,00002-00005-00006-104487,00004-00001-00006-84064,796787985-104487,1953764911-104487,963258190-0104487,1075594074-104487,1733160385-00104487,497105611-104487,1211579436-0000104487
Component 00000000119853,00003-00006-00006-119853,00002-00001-00001-20112,1662211512-119853,1895111842-119853,2128012172-0119853,72975635-119853,1055957632-00119853,2104009117-119853,372083225-0000119853
Component 00000000061457,00002-00004-00006-61457,00003-00006-114673,224560046-061457,446218174-061457,667876302-0061457,237561019-061457,1276754026-00061457,126731955-061457,1652816299-0000061457
Component 00000000032053,00003-00008-32053,00002-00001-00003-32607,9919310-032053,301141995-032053,592364680-0032053,175575827-032053,866946049-00032053,1103706308-032053,1049470592-0000032053
Component 00000000055193,00003-00005-00008-55193,00003-00002-62818,425933845-055193,248474237-055193,71014629-0055193,409077445-055193,1296375485-00055193,497807249-055193,1227160821-0000055193
Component 00000000104213,00003-00004-00005-104213,00003-00004-76388,2134058257-104213,2089208704-104213,2044359151-0104213,1032596760-104213,1256844525-00104213,2128763360-104213,343078612-0000104213
Component 00000000100307,00002-00004-00012-100307,00002-00004-00010-90542,1010483328-100307,2080758098-100307,1003549221-0100307,1379202145-100307,322795589-00100307,844064760-100307,944746017-0000100307
Component 00000000012467,00002-12467,00003-00009-17195,194787012-012467,1227694907-012467,113119155-0012467,1972437862-012467,1102865681-00012467,382242091-012467,63131022-0000012467
Component 00000000122997,00002-00004-122997,00004-00005-108134,921344471-122997,1307289219-122997,1693233967-0122997,312311926-122997,530071833-00122997,119339552-122997,965541271-0000122997
Component 00000000001703,00003-00002-1703,00006-00001-47620,2085354074-001703,186407305-001703,434944183-0001703,1254490775-001703,11806385-00001703,1130222336-001703,1315053680-0000001703
Component 00000000058473,00003-00002-00012-58473,00003-00002-00007-31103,782518300-058473,604448253-058473,426378206-0058473,1809797432-058473,552664020-00058473,825090632-058473,1204923520-0000058473
Component 00000000011810,00001-00006-11810,00001-00003-00003-83541,983607697-011810,1564097257-011810,2144586817-0011810,1220063946-011810,465099793-00011810,929819166-011810,693937985-0000011810
Component 00000000054955,00005-00004-54955,00001-00002-00009-56156,1519943805-054955,1228809588-054955,937675371-0054955,1358577986-054955,666765424-00054955,430403271-054955,1426343619-0000054955
Component 00000000029445,00003-29445,00002-00005-40612,667974740-029445,2132622133-029445,1449785879-0029445,1910154773-029445,1029368749-00029445,104089253-029445,1349177582-0000029445
Component 00000000028963,00003-00004-00012-28963,00004-00005-00006-69634,198257310-028963,319420774-028963,440584238-0028963,1779718020-028963,1173900700-00028963,1719136288-028963,684471927-0000028963
Component 00000000069677,00002-00006-00010-69677,00003-97695,847045745-069677,858404674-069677,869763603-0069677,324211978-069677,267417333-00069677,1392274337-069677,1955560268-0000069677
Component 00000000105885,00003-105885,00004-00002-00008-123209,1528821313-105885,425514590-105885,1469691514-0105885,631794599-105885,1853360920-00105885,109706137-105885,1387217717-0000105885
Component 00000000017645,00005-00004-17645,00003-00004-00010-123393,1891665632-017645,334553309-017645,924924633-0017645,459903788-017645,1803014462-00017645,164718126-017645,1492518279-0000017645
Component 00000000041835,00003-00001-41835,00001-00004-00005-59441,1319115967-041835,13593429-041835,855554538-0041835,278298637-041835,363460386-00041835,931059906-041835,497942955-0000041835
Component 00000000004944,00004-00002-00004-4944,00002-00008-6820,455610675-004944,1509903725-004944,416713128-0004944,49216072-004944,1220201763-00004944,1669553194-004944,1459277976-0000004944
Component 00000000050384,00004-00005-00009-50384,00004-00005-00009-69494,2039310352-050384,52435562-050384,213044419-0050384,165163505-050384,1509602867-00050384,1158600900-050384,769238784-0000050384
Component 00000000072306,00001-00003-72306,00004-00006-00012-47774,121503203-072306,577770167-072306,1034037131-0072306,775614487-072306,641763314-00072306,547481005-072306,873295735-0000072306
Component 00000000108308,00003-00004-00005-108308,00001-00001-00007-67516,932054229-108308,1852545483-108308,625553090-0108308,478723461-108308,171234485-00108308,18477834-108308,359542277-0000108308
Component 00000000005844,00004-00006-00007-5844,00001-00001-00005-40006,1124229553-005844,1505527525-005844,1886825497-0005844,289828372-005844,530822159-00005844,99179386-005844,59501708-0000005844
Component 00000000048017,00002-00004-00008-48017,00003-00001-00010-108963,1291735928-048017,36581011-048017,928909741-0048017,1620006393-048017,1453330037-00048017,1173842028-048017,1613453735-0000048017
Component 00000000077812,00002-00007-77812,00001-00012-78415,520822656-077812,1157763999-077812,1794705342-0077812,273964910-077812,1384225489-00077812,1029236062-077812,1243778768-0000077812
Component 00000000118208,00003-00006-00012-118208,00003-00008-97573,1702624312-118208,271255465-118208,987370265-0118208,2074453760-118208,641363407-00118208,1716396360-118208,1448065596-0000118208
Component 00000000087313,00003-00002-00005-87313,00002-00003-00004-97387,1510303984-087313,1301879070-087313,1093454156-0087313,2139113890-087313,1033754813-00087313,95842700-087313,29119400-0000087313
Component 00000000003514,00004-00004-3514,00004-00008-98340,1064299606-003514,1863839121-003514,515894989-0003514,113518614-003514,410788333-00003514,787490680-003514,1453071859-0000003514
Component 00000000010837,00002-00001-00008-10837,00002-00007-56310,1338233621-010837,2032128241-010837,578539214-0010837,632384339-010837,1457878533-00010837,285437029-010837,1412020794-0000010837
Component 00000000018717,00002-00006-00010-18717,00003-00002-00008-29843,1349607910-018717,516980746-018717,1831837229-0018717,1769379749-018717,1637548275-00018717,38209684-018717,210392978-0000018717
Component 00000000033289,00004-00004-00009-33289,00002-00005-00006-67177,1307276974-033289,1640358458-033289,1973439942-0033289,281859772-033289,763935999-00033289,115319030-033289,481113794-0000033289
Component 00000000048106,00001-00002-00006-48106,00005-00005-111480,963970088-048106,1230812411-048106,1497654734-0048106,2094662695-048106,760451080-00048106,887499710-048106,1622367744-0000048106
Component 00000000064244,00004-00005-00011-64244,00003-00004-00009-69143,620481096-064244,429250539-064244,238019982-0064244,1009475493-064244,1965628278-00064244,31348948-064244,616584813-0000064244
Component 00000000089138,00003-00010-89138,00002-00005-00011-24932,922828768-089138,339678386-089138,1904011651-0089138,557322652-089138,1325590915-00089138,848897843-089138,1112951559-0000089138
Component 00000000067885,00006-00012-67885,00004-00006-00001-47529,1220065268-067885,1064689225-067885,909313182-0067885,1200519947-067885,1977400162-00067885,204466145-067885,604933174-0000067885
Component 00000000022797,00002-00005-00008-22797,00001-00001-00010-20511,370726610-022797,1924830774-022797,1331451291-0022797,582850919-022797,1402264687-00022797,1953282484-022797,1775298758-0000022797
Component 00000000040198,00003-00004-00002-40198,00002-00006-13572,2050650473-040198,2110031608-040198,21929096-0040198,1709410050-040198,1412504375-00040198,605977659-040198,2115286118-0000040198
Component 00000000038967,00002-00005-00006-38967,00003-00004-00003-102638,206415214-038967,1157600393-038967,2108785572-0038967,167997985-038967,1854523031-00038967,766147219-038967,1212234534-0000038967
Component 00000000060772,00002-00005-00010-60772,00003-00009-95455,2037181551-060772,1339779422-060772,642377293-0060772,1499174823-060772,691218174-00060772,774134064-060772,1109807277-0000060772
Component 00000000031782,00002-00002-00010-31782,00003-00003-00007-24993,878466702-031782,586779067-031782,295091432-0031782,690260110-031782,1214638-00031782,1909845751-031782,144499279-0000031782
Component 00000000061714,00004-00002-00003-61714,00002-00006-00004-121827,1316775215-061714,1488640001-061714,1660504787-0061714,1062282748-061714,202958818-00061714,976350355-061714,1103981335-0000061714
Component 00000000013720,00005-13720,00004-00002-00007-13449,885149908-013720,1267197132-013720,1649244356-0013720,87087449-013720,324334976-00013720,2043547484-013720,1009177510-0000013720
Component 00000000120145,00004-00012-120145,1436259974,2145741987-120145,1147631108-120145,149520229-0120145,2055746413-120145,603849867-00120145,1481060029-120145,345546124-0000120145
Component 00000000087654,00004-00008-87654,00002-00005-00012-106937,962216703-087654,1714083532-087654,318466714-0087654,1994277734-087654,382427236-00087654,544602496-087654,2139238081-0000087654
Component 00000000082039,00004-00006-00009-82039,00001-00006-00010-73226,762175871-082039,612930983-082039,463686095-0082039,2113733391-082039,712474184-00082039,40872188-082039,136791979-0000082039
Component 00000000004907,00002-00006-4907,00003-00012-13818,1435377529-004907,968941707-004907,502505885-0004907,288076632-004907,472772095-00004907,521294543-004907,414025962-0000004907
Component 00000000097940,00003-00011-97940,00003-00005-00004-24288,869163304-097940,299498676-097940,1877317695-0097940,1157716257-097940,1858555750-00097940,1442548571-097940,1346730889-0000097940
Component 00000000055499,00004-00003-00002-55499,,1168297111-055499,177844505-055499,1334875546-0055499,375985954-055499,1033281690-00055499,871212257-055499,1556320707-0000055499
Component 00000000067902,00002-00002-00003-67902,00011-48020,478582466-067902,773243630-067902,1067904794-0067902,1884747038-067902,411441218-00067902,1737416456-067902,297272756-0000067902
Component 00000000107518,00003-00005-00008-107518,00001-00002-00002-45411,1406733359-107518,25927128-107518,792604544-0107518,2083366036-107518,397462603-00107518,1700027328-107518,620390741-0000107518
Component 00000000026955,00005-00006-26955,00003-00006-00002-13418,568225025-026955,492779864-026955,417334703-0026955,130360187-026955,507585992-00026955,1241824591-026955,1768274485-0000026955
Component 00000000093511,00001-00005-00002-93511,00001-00003-00006-23796,2015413769-093511,381185496-093511,894440870-0093511,1138495644-093511,719702421-00093511,881867957-093511,299415579-0000093511
Component 00000000020927,00002-00004-00010-20927,00004-00002-00007-91709,1503782854-020927,192223602-020927,1028147997-0020927,170184895-020927,285530214-00020927,825964521-020927,1094175645-0000020927
Component 00000000104657,00002-00007-104657,00002-00004-00002-88792,32038137-104657,1779510386-104657,1379498988-0104657,2106321804-104657,1958895147-00104657,158843856-104657,1043520304-0000104657
Component 00000000083939,00004-00002-00011-83939,00003-00004-00002-2888,1935960537-083939,420000899-083939,1051524908-0083939,1426362092-083939,416225694-00083939,36858264-083939,586861195-0000083939
Component 00000000077199,00004-00003-00005-77199,00003-00005-00001-61283,1687181160-077199,285047188-077199,1030396863-0077199,255676575-077199,823895494-00077199,956743561-077199,1748285677-0000077199
Component 00000000049807,00002-00002-00004-49807,00004-00006-00008-35524,1869842896-049807,47215642-049807,372072035-0049807,1519250604-049807,2042452286-00049807,283080584-049807,355910904-0000049807
Component 00000000086412,00002-00004-00001-86412,00006-00009-72120,1410009407-086412,1966437575-086412,375382096-0086412,479488144-086412,1992314598-00086412,201274060-086412,1005230283-0000086412
Component 00000000040292,00002-00005-40292,00003-00006-00011-16183,930871454-040292,439012963-040292,2094638119-0040292,1771796581-040292,2083605389-00040292,943984003-040292,180254443-0000040292
Component 00000000018453,00003-00001-00006-18453,00003-00007-22445,1959276158-018453,627625303-018453,1443458095-0018453,724977277-018453,940780611-00018453,317060881-018453,800118595-0000018453
Component 00000000119790,00006-00008-119790,00002-00001-00006-18362,163827540-119790,455564869-119790,747302198-0119790,354444291-119790,1043241293-00119790,1282317450-119790,1158738196-0000119790
Component 00000000098780,00003-00006-98780,00002-00004-47805,1525654385-098780,1692107375-098780,1858560365-0098780,1008689812-098780,176424862-00098780,925463317-098780,1326619039-0000098780
Component 00000000095712,00002-00001-00006-95712,00003-00006-00003-85413,1233735524-095712,1511673459-095712,1789611394-0095712,755081666-095712,1512875638-00095712,1689854522-095712,496692548-0000095712
Component 00000000068814,00004-00004-00005-68814,00002-00011-73565,1941329224-068814,972475819-068814,3622414-0068814,1122837492-068814,1672137223-00068814,533522371-068814,1402193740-0000068814
Component 00000000010493,00003-00002-10493,00004-00012-46669,1248677816-010493,191060411-010493,1280926653-0010493,420099378-010493,1413219109-00010493,2022649904-010493,1651490939-0000010493
Component 00000000073660,00006-00002-73660,,758870419-073660,113182825-073660,1614978878-0073660,1655276815-073660,588747491-00073660,1978120612-073660,377387247-0000073660
Component 00000000075227,00002-00005-00009-75227,00001-6020,743276680-075227,1972236177-075227,1053712027-0075227,1292011992-075227,1589665448-00075227,1751274067-075227,1778918606-0000075227
Component 00000000115847,00002-00004-00004-115847,00001-00006-00011-31471,1331968511-115847,917588375-115847,503208239-0115847,561884738-115847,486301771-00115847,769074806-115847,1702669254-0000115847
Component 00000000081159,00004-00001-81159,00002-00006-00004-48572,1215603350-081159,707521573-081159,199439796-0081159,1269699106-081159,1662624344-00081159,449998171-081159,1865196718-0000081159
Component 00000000032841,00001-00004-00003-32841,00003-00006-00005-54683,389555313-032841,1411603517-032841,286168074-0032841,566769326-032841,1898979247-00032841,55745224-032841,407045561-0000032841
Component 00000000111338,00003-00003-00006-111338,00001-28770,674785095-111338,1414488285-111338,6707828-0111338,43167811-111338,639619155-00111338,1820799863-111338,20870437-0000111338
Component 00000000060425,00001-00001-60425,00002-00002-00004-85752,1767596542-060425,244001358-060425,867889821-0060425,887674116-060425,2063199095-00060425,1649471708-060425,2010416974-0000060425
Component 00000000096196,00001-00002-00009-96196,00005-00003-98985,681645085-096196,1692752233-096196,556375734-0096196,328217882-096196,1715133083-00096196,1970147955-096196,324623138-0000096196
Component 00000000028641,00001-00004-00002-28641,00003-00002-00002-60608,130253523-028641,2034426199-028641,1791115228-0028641,140831488-028641,1357386343-00028641,1336228797-028641,182292990-0000028641
Component 00000000098134,00004-00001-00010-98134,00001-00006-00003-29721,717047518-098134,1018689434-098134,1320331350-0098134,314294915-098134,953568982-00098134,163473957-098134,1603096302-0000098134
Component 00000000115288,00003-00005-00004-115288,00004-00003-00010-15844,2124239210-115288,1002782003-115288,2028808443-0115288,346914022-115288,1659232763-00115288,1981384449-115288,555860211-0000115288
Component 00000000078767,00002-00003-78767,00002-00003-105157,1782027449-078767,823298512-078767,2012053222-0078767,1454572415-078767,1953249806-00078767,860195060-078767,738750140-0000078767
Component 00000000115064,00004-00005-00001-115064,00001-00005-9581,480316543-115064,454631121-115064,428945699-0115064,1382057223-115064,1510484333-00115064,1394899934-115064,1812199357-0000115064
Component 00000000088562,00002-00005-00006-88562,00002-00002-00003-8752,287728657-088562,1031297519-088562,1774866381-0088562,1991080112-088562,420719449-00088562,1619295681-088562,869578440-0000088562
Component 00000000009427,00002-00005-00002-9427,00001-00003-16796,1336283650-009427,40935134-009427,893070265-0009427,788906387-009427,823198026-00009427,1436580645-009427,57094039-0000009427
Component 00000000123295,00004-00003-123295,00001-00001-00010-116516,2116039774-123295,1933572462-123295,1751105150-0123295,1856309730-123295,621162643-00123295,1947543386-123295,941605509-0000123295
Component 00000000068598,00003-00005-00010-68598,00004-00004-00001-67484,1805685306-068598,1740783364-068598,1675881422-0068598,805424766-068598,1129934476-00068598,837875737-068598,1238872234-0000068598
Component 00000000043541,00001-00001-00004-43541,00001-00004-00009-107181,1385692319-043541,1799974343-043541,66772720-0043541,3534013-043541,79607540-00043541,1943876648-043541,364890831-0000043541
Component 00000000070824,00004-00005-70824,00001-00005-00008-6326,1866884306-070824,1261814244-070824,656744182-0070824,438273710-070824,1316140373-00070824,740808741-070824,1461093385-0000070824
Component 00000000048006,00001-00010-48006,,1972915858-048006,524530062-048006,1223627913-0048006,445681456-048006,1245159495-00048006,1169874354-048006,1446011060-0000048006
Component 00000000069877,00002-00003-00002-69877,00003-00002-103313,1553174902-069877,1370716355-069877,1188257808-0069877,220128137-069877,1132420872-00069877,1385099234-069877,866284563-0000069877
Component 00000000060490,00003-00001-60490,00003-00008-87563,152553023-060490,2087689990-060490,1875343310-0060490,591157278-060490,1652890678-00060490,697330618-060490,1466444411-0000060490
Component 00000000059916,00001-00003-00012-59916,00003-00005-00012-71538,946937460-059916,1544117961-059916,2141298462-0059916,919162524-059916,80743666-00059916,1694314097-059916,1798234931-0000059916
Component 00000000113365,00005-113365,00004-00001-00009-58899,1956544690-113365,426996453-113365,1044931863-0113365,1861641017-113365,919447614-00113365,1552673312-113365,1503643920-0000113365
Component 00000000115431,00001-00001-00004-115431,00002-00001-00003-19867,41553154-115431,1284335498-115431,379634195-0115431,186954722-115431,415493943-00115431,1713047197-115431,555220042-0000115431
Component 00000000021417,00002-00004-00006-21417,00002-00005-00002-105432,827959240-021417,1146389495-021417,1464819750-0021417,165699255-021417,721031627-00021417,1080225951-021417,476768834-0000021417
Component 00000000061028,00003-00002-00006-61028,00003-00004-00003-102638,1365935707-061028,429375455-061028,1640298850-0061028,1039920072-061028,1427754038-00061028,1508200198-061028,666628764-0000061028
Component 00000000057034,00004-00005-00003-57034,00001-00005-114366,1712304094-057034,721329605-057034,1877838763-0057034,1968423435-057034,480844939-00057034,1390168856-057034,2066205384-0000057034
Component 00000000057185,00002-00011-57185,00002-00006-00012-118572,10077354-057185,1851824933-057185,1546088865-0057185,214263585-057185,1742943925-00057185,367131619-057185,1640078460-0000057185
Component 00000000074080,00006-00006-74080,00004-00004-00005-97479,1978539785-074080,1804304250-074080,1630068715-0074080,1044309102-074080,1915486777-00074080,57685046-074080,614731954-0000074080
