Component 00000000107722,00002-00006-00004-107722,00004-51090,1857510106-107722,1477911952-107722,1098313798-0107722,626868813-107722,377375936-00107722,816667890-107722,1985392489-0000107722
Component 00000000123313,00003-00001-00008-123313,00002-00004-00011-117037,50471744-123313,1637868627-123313,1077781863-0123313,803551101-123313,1456501274-00123313,1083594483-123313,1341129976-0000123313
Component 00000000094181,00001-00003-00009-94181,00004-00010-42585,267307017-094181,285391319-094181,303475621-0094181,1144395664-094181,1053974154-00094181,1135353513-094181,2026232735-0000094181
Component 00000000004321,00001-00002-00005-4321,00002-00003-00007-120907,1170049622-004321,421561763-004321,1820557551-0004321,301868636-004321,1896824284-00004321,1749854389-004321,1781254158-0000004321
Component 00000000049457,00002-00002-00005-49457,00007-25760,382859227-049457,1302219619-049457,74096364-0049457,2022165299-049457,1720330633-00049457,1562485103-049457,1330864765-0000049457
Component 00000000094540,00005-00004-94540,00004-00005-52624,2074289473-094540,323837617-094540,720869408-0094540,929236690-094540,1091561382-00094540,1804462618-094540,1824737113-0000094540
Component 00000000037235,00002-00003-37235,00006-00011-54130,1116391122-037235,1171424223-037235,1226457324-0037235,564271050-037235,289105545-00037235,1610496323-037235,714631075-0000037235
Component 00000000037388,00003-00001-37388,00004-00002-00011-58459,358443311-037388,290300145-037388,222156979-0037388,1348467054-037388,1689182884-00037388,1382538637-037388,1271676018-0000037388
Component 00000000002366,00001-2366,00001-00004-66196,1575571279-002366,1567057980-002366,1558544681-0002366,88934454-002366,131500949-00002366,1166932927-002366,1775226989-0000002366
Component 00000000042112,00002-00005-42112,00002-00005-00006-67177,81758674-042112,1996398169-042112,1763554017-0042112,1673719184-042112,690456297-00042112,1790141260-042112,476414458-0000042112
Component 00000000054764,00004-00003-00008-54764,00002-00004-00004-50782,1058116728-054764,236975311-054764,1563317541-0054764,961205473-054764,771945264-00054764,298034358-054764,1455573519-0000054764
Component 00000000089082,00002-00006-89082,00006-00004-23365,559788501-089082,261952907-089082,2111600960-0089082,1147147721-089082,488842044-00089082,1296065518-089082,1416851709-0000089082
Component 00000000088352,00002-00005-00004-88352,00003-00004-00002-2888,1306096369-088352,1943089341-088352,432598666-0088352,2135484453-088352,1098003240-00088352,1816987967-088352,734032626-0000088352
Component 00000000041273,00003-00001-00011-41273,00001-00004-00011-43691,639715857-041273,148169372-041273,1804106534-0041273,1495773275-041273,1806022053-00041273,667804694-041273,881823293-0000041273
Component 00000000102544,00004-00001-102544,00001-00002-00008-29661,1359351492-102544,1720790590-102544,2082229688-0102544,1709278569-102544,2049566726-00102544,1528559020-102544,1561366198-0000102544
Component 00000000068515,00006-00005-68515,00003-00006-00001-65183,648036940-068515,652872652-068515,657708364-0068515,882568972-068515,858390412-00068515,880151116-068515,1507349470-0000068515
Component 00000000048149,00004-00003-00010-48149,00002-00003-00002-112647,899410976-048149,878124100-048149,856837224-0048149,2014481137-048149,2120915517-00048149,2025124575-048149,1176628198-0000048149
Component 00000000081938,00003-00003-00012-81938,00003-00006-00012-70433,879041326-081938,1118293094-081938,1357544862-0081938,1745333839-081938,549074999-00081938,1625707955-081938,1610237782-0000081938
Component 00000000035100,00002-35100,00002-00005-00004-117927,432971989-035100,729383699-035100,1025795409-0035100,1924038042-035100,441979492-00035100,1775832187-035100,27245974-0000035100
Component 00000000103451,00001-00005-00010-103451,00002-00008-55050,546513404-103451,1556390804-103451,418784557-0103451,133443423-103451,1526507364-00103451,1775988370-103451,393803249-0000103451
Component 00000000115632,00002-00006-00010-115632,00003-00001-25455,1320630814-115632,1295126411-115632,1269622008-0115632,1157409092-115632,1284931107-00115632,96419470-115632,25993811-0000115632
Component 00000000032067,00002-00009-32067,00005-00007-32975,2142232499-032067,1541558287-032067,940884075-0032067,926820628-032067,1782708041-00032067,1227157734-032067,165038799-0000032067
Component 00000000077265,00006-00006-77265,00004-00003-00005-63094,1852296092-077265,999229736-077265,146163380-0077265,1280767119-077265,1251131605-00077265,1707300297-077265,252333380-0000077265
Component 00000000088327,00002-00001-00005-88327,00002-00002-00006-2242,1421610793-088327,211780745-088327,1149434344-0088327,726911934-088327,333611233-00088327,1331826958-088327,635425688-0000088327
Component 00000000058402,00002-00001-00006-58402,00002-00001-29107,1824346192-058402,1687700080-058402,1551053968-0058402,1639460701-058402,175207614-00058402,1707783757-058402,1968602291-0000058402
Component 00000000053029,00004-00004-00002-53029,00003-00001-00003-2213,272646864-053029,909677285-053029,1546707706-0053029,30109401-053029,1139924590-00053029,785336014-053029,1190238237-0000053029
Component 00000000055346,00001-00004-00005-55346,00001-00010-67116,488603657-055346,237648393-055346,2134176776-0055346,1202175235-055346,309467908-00055346,1327652867-055346,2010100146-0000055346
Component 00000000020805,00001-00005-20805,00001-00003-00005-88301,1101157475-020805,828325283-020805,555493091-0020805,753698045-020805,2117859005-00020805,890114141-020805,1790308983-0000020805
Component 00000000041698,00003-00006-00007-41698,00003-00011-55573,159114165-041698,265221569-041698,371328973-0041698,1010355965-041698,479818945-00041698,957302263-041698,1960449968-0000041698
Component 00000000066184,00004-00006-00001-66184,00004-00004-00010-123484,1006530885-066184,1886117452-066184,618220372-0066184,1790548268-066184,1687582727-00066184,277013161-066184,1228163413-0000066184
Component 00000000004527,00002-00005-00003-4527,00004-00005-3164,983477034-004527,180751476-004527,1525509565-0004527,705993117-004527,424653613-00004527,1107355896-004527,523799592-0000004527
Component 00000000063265,00006-00007-63265,00001-00006-00009-41726,448348735-063265,1179793097-063265,1911237459-0063265,1563661940-063265,53923777-00063265,1197939759-063265,367635733-0000063265
Component 00000000091621,00001-00005-00010-91621,00001-00004-94410,1628855538-091621,1338485449-091621,1048115360-0091621,1504549927-091621,808916725-00091621,575993148-091621,455078125-0000091621
Component 00000000096445,00006-00011-96445,00004-00002-00004-105954,1054639595-096445,182278546-096445,1457401144-0096445,621059835-096445,687897786-00096445,2130982183-096445,1571151618-0000096445
Component 00000000096670,00002-96670,00002-00002-00005-112247,1130737452-096670,1429472283-096670,1728207114-0096670,1660733050-096670,167058895-00096670,437623811-096670,516984247-0000096670
Component 00000000111567,00002-00001-00001-111567,00002-35217,1474653834-111567,2029610551-111567,437083621-0111567,1546509021-111567,919209083-00111567,195288839-111567,735193242-0000111567
Component 00000000052040,00002-00001-52040,00004-00003-00009-98094,1118837313-052040,890922931-052040,663008549-0052040,802408021-052040,1941979931-00052040,916365212-052040,1925673070-0000052040
Component 00000000095433,00003-00002-95433,00002-00003-00011-77647,533074826-095433,12393059-095433,1639194939-0095433,2123554714-095433,431996255-00095433,1310153774-095433,605697833-0000095433
Component 00000000043736,00001-00004-43736,00002-00003-00002-112647,198660193-043736,2103838979-043736,1861534118-0043736,258034493-043736,1469558798-00043736,1452928747-043736,1073306596-0000043736
Component 00000000096270,00006-00005-96270,00001-00003-00005-101041,406270958-096270,1989788182-096270,1425821759-0096270,2044928677-096270,569793498-00096270,1253170065-096270,1195088844-0000096270
Component 00000000020360,00004-00002-20360,00001-00005-00007-75836,1532511861-020360,121846316-020360,858664418-0020360,760967809-020360,1371844593-00020360,392558758-020360,44720024-0000020360
Component 00000000089049,00004-00002-00012-89049,00004-00002-22414,905419722-089049,1312176175-089049,1718932628-0089049,232013046-089049,345714428-00089049,1102376643-089049,1262809066-0000089049
Component 00000000020943,00003-00006-20943,00003-00004-00007-92138,1707507884-020943,368808870-020943,1177593503-0020943,1205115115-020943,1456159244-00020943,1874464622-020943,1691580963-0000020943
Component 00000000105973,00003-00010-105973,00001-00002-2121,1776303156-105973,1503101790-105973,1229900424-0105973,1410938787-105973,629461970-00105973,1547539470-105973,1616090973-0000105973
Component 00000000005614,00004-00011-5614,00002-00007-33560,609646341-005614,98484703-005614,1734806712-0005614,1588110662-005614,1996435205-00005614,1843691481-005614,876082005-0000005614
Component 00000000070260,00001-00008-70260,00003-00005-00005-114028,323628688-070260,1057665859-070260,1791703030-0070260,490951306-070260,1115732745-00070260,1197674544-070260,1715231669-0000070260
Component 00000000036937,00002-00005-00004-36937,00003-00009-45808,188141855-036937,1469800400-036937,603975298-0036937,1145297348-036937,1179455564-00036937,1578209899-036937,1926555987-0000036937
Component 00000000103857,00002-00005-103857,00001-00004-00011-66441,1750237665-103857,457074381-103857,1311394744-0103857,1308844154-103857,1332209633-00103857,1955425796-103857,1729879478-0000103857
Component 00000000039867,00002-00002-00009-39867,00002-00006-00003-4332,1041453418-039867,1904503300-039867,620069535-0039867,2097183402-039867,2076901286-00039867,1665658461-039867,1573242173-0000039867
Component 00000000064412,00002-00005-00010-64412,00001-00002-00011-103686,735058904-064412,1592098945-064412,301655339-0064412,425569776-064412,435336865-00064412,1070791579-064412,70431148-0000064412
Component 00000000075995,00003-00010-75995,00002-00004-00008-27542,1087383570-075995,2048512136-075995,862157055-0075995,457478787-075995,2094286898-00075995,2124398151-075995,2003641884-0000075995
Component 00000000004063,00003-00003-00007-4063,00002-00011-113722,1818683404-004063,1503953742-004063,1189224080-0004063,1586680326-004063,1012844989-00004063,1744045157-004063,1959868412-0000004063
Component 00000000021318,00003-00003-00011-21318,00004-00008-102669,1193354418-021318,274533408-021318,1503196045-0021318,1727692020-021318,2026829776-00021318,39618878-021318,148589539-0000021318
Component 00000000093306,00001-00003-00005-93306,00002-00011-18055,115133800-093306,1915116972-093306,1567616497-0093306,1514971762-093306,1104990490-00093306,614980176-093306,393629053-0000093306
Component 00000000065846,00001-00004-00001-65846,00003-00005-00005-114028,490703043-065846,406681352-065846,322659661-0065846,1784360147-065846,56984955-00065846,752629169-065846,753000190-0000065846
Component 00000000118557,00002-00005-00010-118557,00001-00012-107366,702844104-118557,1800719776-118557,751111801-0118557,262723021-118557,1215795602-00118557,1861268832-118557,687566657-0000118557
Component 00000000028702,00002-00002-00011-28702,,1524485869-028702,1432682008-028702,1340878147-0028702,293224081-028702,752243386-00028702,1412867835-028702,2103174572-0000028702
Component 00000000013533,00003-00002-13533,00005-00001-8230,1553342549-013533,633382885-013533,1860906868-0013533,2032455432-013533,189802811-00013533,344951617-013533,994426918-0000013533
Component 00000000029718,00003-00003-29718,,1193230627-029718,681465024-029718,169699421-0029718,1068660822-029718,1480005190-00029718,250801800-029718,676043101-0000029718
Component 00000000017352,00002-00006-00010-17352,00004-00010-115164,172798467-017352,964717781-017352,1756637095-0017352,2073663197-017352,261550274-00017352,1677703540-017352,2000062514-0000017352
Component 00000000004490,00003-00005-4490,00002-00003-00012-7227,1327400334-004490,1053913212-004490,780426090-0004490,948176799-004490,168128762-00004490,1084920360-004490,724392547-0000004490
Component 00000000102992,00002-00001-00006-102992,00002-00006-42217,1795229396-102992,2044344660-102992,145976277-0102992,992417818-102992,1894325145-00102992,867860186-102992,1505917754-0000102992
Component 00000000051790,00004-00011-51790,00004-00004-91095,1665541380-051790,1645102882-051790,1624664384-0051790,674274227-051790,776466717-00051790,684493476-051790,1441362028-0000051790
Component 00000000110962,00002-00005-00007-110962,00004-00006-00004-18269,1542551879-110962,1825620511-110962,2108689143-0110962,238995002-110962,971135489-00110962,97460686-110962,791505514-0000110962
Component 00000000103041,00001-00001-00003-103041,00002-00004-43537,41038525-103041,1805312868-103041,1422103564-0103041,782740104-103041,551302977-00103041,974344756-103041,1056926955-0000103041
Component 00000000072349,00004-00004-00004-72349,00002-00002-00005-49002,2054363337-072349,82572157-072349,258264624-0072349,911771575-072349,33309240-00072349,1897667165-072349,1093487928-0000072349
Component 00000000089159,00004-00005-89159,00009-25515,188726222-089159,1138341934-089159,2087957646-0089159,1147931667-089159,694820401-00089159,673123811-089159,725207159-0000089159
Component 00000000106814,00004-00001-00006-106814,00004-00001-00008-23759,1187833152-106814,1038816420-106814,889799688-0106814,402972591-106814,1148056251-00106814,477480957-106814,976592032-0000106814
Component 00000000122871,00001-00008-122871,00001-00003-45906,291065329-122871,87543673-122871,2031505664-0122871,1157683248-122871,27807881-00122871,1259444076-122871,755060682-0000122871
Component 00000000047811,00001-00001-00010-47811,00003-00009-103190,1923124802-047811,555231954-047811,1334822753-0047811,4831084-047811,401844383-00047811,688777508-047811,1966285090-0000047811
Component 00000000122837,00002-00001-122837,00003-00001-00012-103713,567929683-122837,486309890-122837,404690097-0122837,1978078840-122837,238694158-00122837,945146913-122837,672124283-0000122837
Component 00000000121809,00004-00002-00012-121809,00004-00005-00004-74884,148096376-121809,558467126-121809,968837876-0121809,723724928-121809,819354825-00121809,518539553-121809,1884640380-0000121809
Component 00000000025299,00004-00001-00001-25299,00002-00006-00001-90572,1621361182-025299,686494050-025299,1899110565-0025299,1377461867-025299,1756830233-00025299,1844895433-025299,1334791588-0000025299
Component 00000000068382,00002-00006-00002-68382,00001-00004-00011-61436,546705963-068382,372794096-068382,198882229-0068382,1775656825-068382,497732513-00068382,788870935-068382,245848292-0000068382
Component 00000000033819,00004-00002-00006-33819,00002-00004-00007-82037,1146283540-033819,214612307-033819,1430424721-0033819,2131127150-033819,347032374-00033819,1523220943-033819,162427840-0000033819
Component 00000000010807,00002-00006-00004-10807,00003-00006-00012-55418,658259429-010807,649337648-010807,640415867-0010807,1299294874-010807,1343903779-00010807,230013941-010807,2093531854-0000010807
Component 00000000025978,00003-00001-00004-25978,00002-00006-109577,840028294-025978,21943170-025978,1351341693-0025978,1965089073-025978,1760547399-00025978,226647988-025978,1780717697-0000025978
Component 00000000022571,00001-00003-00003-22571,00001-00004-00003-14186,999275111-022571,1337159779-022571,1675044447-0022571,206812333-022571,664872640-00022571,37869999-022571,329048803-0000022571
Component 00000000072506,00001-00005-72506,00003-00004-00002-53393,1217497443-072506,325253342-072506,1580492888-0072506,1967073308-072506,2133326519-00072506,1339453535-072506,1764659113-0000072506
Component 00000000058709,00004-00001-58709,00003-00006-00012-37673,1457689775-058709,598103456-058709,1886000784-0058709,1643684420-058709,1646648721-00058709,999735756-058709,705360416-0000058709
Component 00000000082920,00005-00006-82920,00001-00007-97910,2062897445-082920,1088544828-082920,114192211-0082920,977693931-082920,1554489722-00082920,391128416-082920,1408136497-0000082920
Component 00000000087877,00002-00006-00010-87877,00003-00004-00012-113138,1078857258-087877,993770840-087877,908684422-0087877,1247133279-087877,1672565369-00087877,1289676488-087877,1337644776-0000087877
Component 00000000014484,00004-00001-00002-14484,00004-00003-00009-34849,619865717-014484,1316915556-014484,2013965395-0014484,1140786380-014484,1950504479-00014484,1866003284-014484,1694117639-0000014484
Component 00000000116642,00002-00001-00006-116642,00001-00006-00002-53731,1655879708-116642,468542079-116642,1428688097-0116642,978321347-116642,472558551-00116642,498248338-116642,751934571-0000116642
Component 00000000025574,00004-00003-00003-25574,00003-00005-00011-98278,182197976-025574,1937532353-025574,1545383083-0025574,490311204-025574,303573907-00025574,686385839-025574,1496883879-0000025574
Component 00000000005026,00001-00008-5026,00003-00004-00012-17133,1749465685-005026,1611082840-005026,1472699995-0005026,406606820-005026,1098521045-00005026,1549540066-005026,718407508-0000005026
Component 00000000059761,00001-00002-59761,00001-00002-00001-67146,1558989731-059761,1647774371-059761,1736559011-0059761,1570077477-059761,1126154277-00059761,1525685157-059761,1915798577-0000059761
Component 00000000011995,00004-00009-11995,00003-00001-88700,1350399498-011995,315790022-011995,1428664193-0011995,563963793-011995,1442043879-00011995,1081268531-011995,66529361-0000011995
Component 00000000014808,00003-00003-00001-14808,00001-00002-00005-43906,2076957188-014808,1324853685-014808,572750182-0014808,1033417468-014808,498967689-00014808,335727396-014808,1190225405-0000014808
Component 00000000036760,00003-00009-36760,00001-00005-00003-40836,1338462478-036760,1331935512-036760,1325408546-0036760,1021904627-036760,1054539457-00036760,1025168110-036760,690111089-0000036760
Component 00000000101967,00002-00005-00008-101967,00002-00002-00005-13512,1116211029-101967,1719947875-101967,176201074-0101967,332677002-101967,1608960066-00101967,30808579-101967,772900971-0000101967
Component 00000000114638,00003-00006-00004-114638,00003-00001-00001-121213,3617041-114638,811085829-114638,1618554617-0114638,511147613-114638,768770967-00114638,107413219-114638,567932701-0000114638
Component 00000000094983,00003-00005-94983,00002-00008-65060,1107928958-094983,58528586-094983,1156611861-0094983,1751618444-094983,556169363-00094983,128834983-094983,540940073-0000094983
Component 00000000029264,00004-00004-00001-29264,00002-00006-47105,1344461423-029264,256987895-029264,1316998014-0029264,141602843-029264,1284003189-00029264,685339607-029264,864876564-0000029264
Component 00000000098493,00003-00003-00005-98493,00002-00004-00010-12282,1883749757-098493,549681097-098493,1363096084-0098493,1605929157-098493,1833821516-00098493,125479840-098493,2045160471-0000098493
Component 00000000116720,00002-00006-116720,00001-00002-00011-55911,1736585794-116720,821257924-116720,2053413701-0116720,292857039-116720,574529095-00116720,750520974-116720,496730660-0000116720
Component 00000000025186,00001-00005-25186,00001-00002-00012-87411,1713275719-025186,1108484554-025186,503693389-0025186,1371933451-025186,100921982-00025186,600587210-025186,1027461405-0000025186
Component 00000000110073,00003-00005-00002-110073,00001-00006-116915,1508508817-110073,1656628078-110073,1804747339-0110073,1176100211-110073,435503906-00110073,28298757-110073,1026346856-0000110073
Component 00000000089778,00003-00003-89778,00002-00006-00010-42832,1976022081-089778,662940901-089778,1497343368-0089778,568610614-089778,691565573-00089778,1225151204-089778,122144631-0000089778
Component 00000000002212,00002-00002-2212,00001-00012-61866,160237431-002212,1198235894-002212,88750710-0002212,37297182-002212,1289755808-00002212,592039774-002212,241576701-0000002212
Component 00000000053099,00004-00004-00007-53099,00002-00005-00004-4177,2036624973-053099,1578178810-053099,1119732647-0053099,203080714-053099,347827882-00053099,1506045619-053099,1414129055-0000053099
Component 00000000043405,00005-00011-43405,00001-00003-103405,1661483631-043405,1884754070-043405,2108024509-0043405,678939864-043405,1710071316-00043405,1641046468-043405,1132259443-0000043405
Component 00000000102844,00004-00001-102844,00003-00009-38073,1747380562-102844,1588399524-102844,1429418486-0102844,479251160-102844,1274156350-00102844,558741679-102844,1110635739-0000102844
Component 00000000066314,00004-00003-00001-66314,00004-00003-00006-3594,847930329-066314,1202934048-066314,1557937767-0066314,1959483348-066314,184464753-00066314,708239665-066314,1853754930-0000066314
Component 00000000116483,00003-00003-00003-116483,00002-00001-49310,1482870208-116483,580239030-116483,1825091499-0116483,654931015-116483,873119611-00116483,1106246604-116483,73520412-0000116483
Component 00000000013062,00002-00010-13062,00002-00006-00012-118572,238818469-013062,125134784-013062,11451099-0013062,93868864-013062,662287289-00013062,1224452530-013062,1615809162-0000013062
Component 00000000112756,00001-00007-112756,00003-00003-00001-68498,249234414-112756,1883682125-112756,1370646189-0112756,1136795282-112756,1554491315-00112756,1393313250-112756,936224607-0000112756
Component 00000000005169,00004-00003-00008-5169,00004-00005-00012-21124,1446432342-005169,586871012-005169,1874793329-0005169,559897130-005169,562736486-00005169,989677795-005169,244824652-0000005169
Component 00000000088573,00003-00002-00004-88573,00004-00003-9090,828489968-088573,932221872-088573,1035953776-0088573,1564520018-088573,1045860498-00088573,1512654066-088573,374403350-0000088573
Component 00000000004763,00003-00003-00005-4763,00004-00004-00010-9734,632179042-004763,1083658816-004763,1535138590-0004763,1054111611-004763,944196388-00004763,828371724-004763,398472215-0000004763
Component 00000000030651,00001-00005-00010-30651,00004-00005-00001-116884,207453767-030651,1197515257-030651,40093100-0030651,980795798-030651,325455642-00030651,485765053-030651,612713950-0000030651
Component 00000000054877,00002-00004-00004-54877,00004-00005-00005-86819,1585023425-054877,922956456-054877,260889487-0054877,613288310-054877,1776139508-00054877,2018063618-054877,1914072100-0000054877
Component 00000000029845,00004-00010-29845,,1747089256-029845,1043761230-029845,340433204-0029845,1995418347-029845,1217091183-00029845,199598713-029845,438150107-0000029845
Component 00000000121841,00001-00006-00005-121841,00004-00006-00010-75774,1132501488-121841,194378364-121841,1403738887-0121841,730686561-121841,1126334887-00121841,1199748123-121841,342946450-0000121841
Component 00000000098870,00002-00005-98870,00003-50323,986733003-098870,1160174328-098870,1333615653-0098870,1882444501-098870,1015237876-00098870,721982015-098870,559600670-0000098870
Component 00000000003541,00001-00006-00005-3541,00002-00001-00008-99107,2025916836-003541,175570504-003541,472707819-0003541,330949261-003541,992746333-00003541,1256122427-003541,1605329762-0000003541
Component 00000000059807,00002-00006-00007-59807,00002-00009-68467,29916345-059807,219738976-059807,409561607-0059807,1720121184-059807,771008029-00059807,551468045-059807,1072908633-0000059807
Component 00000000100229,00004-00003-00012-100229,00002-00001-00001-88362,588098911-100229,1671847093-100229,608111628-0100229,1610278210-100229,486504594-00100229,1068404119-100229,309745689-0000100229
Component 00000000088238,00003-00003-00007-88238,00004-00006-00003-123269,2087050720-088238,444411894-088238,949256715-0088238,1875962598-088238,1499222140-00088238,549798364-088238,1674085711-0000088238
Component 00000000057343,00003-00006-57343,00004-00004-00001-122994,1779967230-057343,91237382-057343,549991181-0057343,1480948188-057343,1334662840-00057343,177829465-057343,1138155931-0000057343
Component 00000000085875,00006-00010-85875,00002-00004-118447,1953213212-085875,1891716969-085875,1830220726-0085875,44387250-085875,351868465-00085875,1148877195-085875,793477995-0000085875
Component 00000000024470,00005-00004-24470,00002-00005-00004-33752,1741958219-024470,325609436-024470,1056744300-0024470,694777124-024470,1334070098-00024470,329209692-024470,712718035-0000024470
Component 00000000054755,00001-00012-54755,00002-00004-00006-50537,300999639-054755,1070911053-054755,1840822467-0054755,1134481219-054755,1579891443-00054755,749525512-054755,844220282-0000054755
Component 00000000030408,00003-00001-30408,00003-00010-110068,1417477074-030408,475316252-030408,1680639077-0030408,819833794-030408,1235670610-00030408,1290914205-030408,2119787699-0000030408
Component 00000000038218,00003-00005-00011-38218,00003-00008-81700,1731425035-038218,1606658049-038218,1481891063-0038218,2122677155-038218,599028438-00038218,37577001-038218,1750463919-0000038218
Component 00000000022259,00004-00006-00003-22259,00003-00001-00008-5468,904347046-022259,1829633780-022259,607436867-0022259,683597058-022259,352130682-00022259,220953691-022259,999335725-0000022259
Component 00000000091337,00002-00001-00012-91337,00001-00001-00006-86521,1439599787-091337,366610831-091337,1441105522-0091337,939242949-091337,2009220435-00091337,1475737427-091337,2109388962-0000091337
Component 00000000058282,00002-00003-58282,00007-25760,1530310592-058282,252876786-058282,1122926627-0058282,1851796764-058282,1796514853-00058282,343030020-058282,894891856-0000058282
Component 00000000110577,00002-00005-00012-110577,00003-00001-00001-7463,1211764524-110577,61177796-110577,1058074715-0110577,1242883038-110577,553365737-00110577,1818176402-110577,1549088596-0000110577
Component 00000000023478,00003-23478,00003-00002-00010-39608,412241411-023478,142275470-023478,2019793176-0023478,1277536978-023478,479883036-00023478,338778125-023478,2129910673-0000023478
Component 00000000113964,00004-00004-00006-113964,00001-00005-00008-102331,196673178-113964,587861196-113964,979049214-0113964,1989422875-113964,33482785-00113964,1793828866-113964,1882740782-0000113964
Component 00000000068586,00001-00011-68586,00002-00005-00006-67177,1534088874-068586,1525648670-068586,1517208466-0068586,1124738980-068586,1166940000-00068586,1128959082-068586,1072173141-0000068586
Component 00000000025803,00003-00001-00011-25803,00001-00002-104665,1137979903-025803,1871134919-025803,456806288-0025803,188776180-025803,817968394-00025803,1969682319-025803,855956193-0000025803
Component 00000000072822,00002-00001-00009-72822,00005-00004-62235,2060613885-072822,1064738111-072822,68862337-0072822,1005279080-072822,1689690656-00072822,1503216967-072822,2070192014-0000072822
Component 00000000078953,00003-00004-78953,00004-00003-110344,920443337-078953,395661776-078953,2018363862-0078953,164599569-078953,641023727-00078953,1500732173-078953,1938646587-0000078953
Component 00000000028890,00001-00004-28890,00002-00001-00007-67607,1516483014-028890,397062490-028890,1425125613-0028890,911678775-028890,66330454-00028890,1471389037-028890,735756007-0000028890
Component 00000000113636,00001-00005-00003-113636,00001-00002-00006-93151,1214608298-113636,366259638-113636,1665394625-0113636,871887581-113636,818663587-00113636,1296061911-113636,329352301-0000113636
Component 00000000077155,00001-77155,00006-00002-106420,2116356980-077155,1514849857-077155,913342734-0077155,1934290749-077155,646859070-00077155,1161302487-077155,336868707-0000077155
Component 00000000030633,00003-00001-00005-30633,00001-00011-116361,732828643-030633,546883155-030633,360937667-0030633,304407063-030633,1234134503-00030633,397379807-030633,1178267607-0000030633
Component 00000000055738,00003-00004-00007-55738,00001-00005-00011-78076,1370205649-055738,1024327864-055738,678450079-0055738,701260429-055738,283165707-00055738,1947941145-055738,2133777382-0000055738
Component 00000000074321,00001-00002-74321,00004-00002-00009-104204,1320029746-074321,1855969618-074321,244425843-0074321,1543309774-074321,1011094061-00074321,1275339838-074321,945472378-0000074321
Component 00000000070390,00005-00008-70390,00002-00005-00006-117682,520296230-070390,952325706-070390,1384355182-0070390,2146372993-070390,2133709260-00070390,1930358255-070390,553985200-0000070390
Component 00000000020400,00002-00003-20400,00003-00006-76940,892751716-020400,122376124-020400,1499484179-0020400,36757503-020400,1741151816-00020400,421945299-020400,1042046016-0000020400
Component 00000000047007,00002-00002-00012-47007,00003-00005-00008-75668,1976828117-047007,2015509996-047007,2054191875-0047007,631673778-047007,438264383-00047007,1686074662-047007,1107751062-0000047007
Component 00000000050855,00012-50855,00001-00005-00012-80456,1349823094-050855,1181526156-050855,1013229218-0050855,1777356189-050855,471357232-00050855,1861504658-050855,1447639513-0000050855
Component 00000000041190,00002-00006-41190,00002-00001-00004-41357,2115705027-041190,144223299-041190,320225218-0041190,988121687-041190,108112092-00041190,1973862551-041190,2124808754-0000041190
Component 00000000116670,00001-00008-116670,00003-00005-00006-54528,1063283917-116670,1089991998-116670,1116700079-0116670,1284884022-116670,1151343617-00116670,197788158-116670,959524731-0000116670
Component 00000000104065,00003-104065,00002-00002-00001-72242,891141336-104065,1399275953-104065,1907410570-0104065,839608320-104065,446418882-00104065,1659282835-104065,1556323150-0000104065
Component 00000000063375,00004-63375,00001-00003-00011-44796,356743175-063375,651067232-063375,945391289-0063375,672816234-063375,1348679596-00063375,1599396029-063375,1178119861-0000063375
Component 00000000008676,00001-00003-00005-8676,00002-00009-119310,1803381644-008676,1227936151-008676,652490658-0008676,737820821-008676,1467564639-00008676,2099285391-008676,2143328489-0000008676
Component 00000000090775,00006-00009-90775,00001-00001-00012-70771,1737746469-090775,1397832946-090775,1057919423-0090775,1358067956-090775,910151924-00090775,454282894-090775,1237667728-0000090775
Component 00000000064652,00002-00003-64652,00003-00002-80563,1127326270-064652,635574629-064652,143822988-0064652,1973433622-064652,137224533-00064652,1145567619-064652,966732169-0000064652
Component 00000000051528,00003-00001-00009-51528,00001-00001-00010-83756,540400543-051528,1473959302-051528,260034414-0051528,1794585591-051528,1421759090-00051528,254064388-051528,723734860-0000051528
Component 00000000006695,00003-6695,00001-00005-00001-63831,493164810-006695,1153119570-006695,1813074330-0006695,288715965-006695,1283909459-00006695,2106222232-006695,1078355866-0000006695
Component 00000000092562,00002-00001-00002-92562,00004-00001-00005-120814,1548560969-092562,1997067893-092562,298091170-0092562,1826310313-092562,1731259340-00092562,1602056851-092562,1446637509-0000092562
Component 00000000067803,00003-00001-00008-67803,00001-00001-00003-45256,1937972669-067803,1613819084-067803,1289665499-0067803,175167502-067803,1795935427-00067803,1410986118-067803,623237189-0000067803
Component 00000000076105,00001-00003-76105,00002-00001-00010-30612,12988672-076105,1510580412-076105,860688505-0076105,1779227711-076105,733719952-00076105,1030431841-076105,20434632-0000076105
Component 00000000104899,00004-00004-00002-104899,00002-00001-00005-95607,447470121-104899,195350801-104899,2090715128-0104899,1104584983-104899,217697936-00104899,1230644643-104899,15523239-0000104899
Component 00000000073152,00002-00002-00001-73152,,1384579800-073152,164501922-073152,1091907691-0073152,192861186-073152,1998283282-00073152,802900125-073152,2050488024-0000073152
Component 00000000066199,00004-00003-66199,00004-00001-00010-309,1360468882-066199,1428466538-066199,1496464194-0066199,363387904-066199,23399624-00066199,329389076-066199,52730406-0000066199
Component 00000000016856,00001-00008-16856,00002-00001-27132,1092061085-016856,1338197778-016856,1584334471-0016856,1218530637-016856,2135330819-00016856,21720467-016856,147855396-0000016856
