Component 00000000046420,00003-00010-46420,00001-64260,1848325235-046420,1852590989-046420,1856856743-0046420,2055214304-046420,2033885534-00046420,2053081427-046420,1844294423-0000046420
Component 00000000105375,00004-00010-105375,00001-00002-108901,137343284-105375,152696004-105375,168048724-0105375,881950204-105375,805186604-00105375,874273844-105375,902529414-0000105375
Component 00000000072095,00002-00010-72095,00004-00005-00006-41879,932875420-072095,1565623299-072095,50887531-0072095,482634670-072095,1613862569-00072095,1240002554-072095,1373700096-0000072095
Component 00000000090169,00004-00002-00001-90169,00002-00004-00011-53792,204713009-090169,390115702-090169,575518395-0090169,1680550855-090169,753537390-00090169,514107685-090169,1260937395-0000090169
Component 00000000111480,00005-00005-111480,00004-00003-00008-30194,1039777896-111480,1379877175-111480,1719976454-0111480,1428465575-111480,1875452827-00111480,184674112-111480,1932907741-0000111480
Component 00000000013521,00001-00004-00001-13521,00001-00009-7861,1893720081-013521,771849249-013521,1797462064-0013521,1170075904-013521,336979123-00013521,1731011320-013521,1998633585-0000013521
Component 00000000072525,00005-00011-72525,00004-00003-53914,2038786875-072525,1566938555-072525,1095090235-0072525,628979825-072525,840737778-00072525,864903985-072525,1825413585-0000072525
Component 00000000122836,00001-00012-122836,00002-00005-00007-103682,211802063-122836,1500854707-122836,642423704-0122836,453829534-122836,451017255-00122836,1956786859-122836,1193820041-0000122836
Component 00000000057472,00002-00002-00012-57472,00003-00005-3073,629312201-057472,1881829648-057472,986863448-0057472,173124441-057472,352988147-00057472,620607541-057472,2109449418-0000057472
Component 00000000045718,00003-00001-00010-45718,00002-00001-00009-44612,805409300-045718,1474559948-045718,2143710596-0045718,1046961023-045718,1996175077-00045718,712385699-045718,1068786147-0000045718
Component 00000000099297,00002-00002-00003-99297,00001-00003-62296,356769293-099297,1470879298-099297,437505656-0099297,1777755184-099297,502172453-00099297,146958358-099297,138630166-0000099297
Component 00000000098171,00001-00003-00008-98171,,704237812-098171,452961732-098171,201685652-0098171,1402249814-098171,511146567-00098171,1527887854-098171,1980246640-0000098171
Component 00000000018849,00004-00005-00012-18849,00002-00004-33527,1826678109-018849,2049797496-018849,125433236-0018849,836808320-018849,1868695032-00018849,1798990450-018849,406270073-0000018849
Component 00000000097112,00002-00001-00002-97112,00002-00003-00003-10377,1640241643-097112,339505213-097112,1186252430-0097112,831550551-097112,892781760-00097112,1481918766-097112,1095360151-0000097112
Component 00000000014938,00003-00001-14938,00004-00001-00005-47559,1320518553-014938,1955717221-014938,443432242-0014938,2062882893-014938,1034373200-00014938,1745283559-014938,371283332-0000014938
Component 00000000060598,00003-00006-00005-60598,00004-00005-00011-90634,1414780615-060598,1035831128-060598,656881641-0060598,1289341495-060598,1036605283-00060598,405074415-060598,1553954025-0000060598
Component 00000000054346,00001-00005-00006-54346,00004-00007-39085,499566104-054346,928925518-054346,1358284932-0054346,1996144860-054346,1996831437-00054346,1781465153-054346,1288105220-0000054346
Component 00000000034203,00003-00001-34203,00003-00006-92813,1038986173-034203,1213066474-034203,1387146775-0034203,1965688007-034203,1095286502-00034203,804906033-034203,1874602061-0000034203
Component 00000000090938,00003-00001-00003-90938,00004-00001-00005-75314,125846455-090938,641035450-090938,1156224445-0090938,416450772-090938,2135473091-00090938,1232598098-090938,1229291718-0000090938
Component 00000000077003,00003-00003-00004-77003,00001-00001-00012-55756,1167021179-077003,772175143-077003,377329107-0077003,1344341256-077003,1171087789-00077003,1541764274-077003,1591185885-0000077003
Component 00000000064399,00004-00006-00010-64399,00001-00006-00008-73471,2133769463-064399,1096793679-064399,59817895-0064399,1232567820-064399,2122479446-00064399,1751055712-064399,1777325217-0000064399
Component 00000000094530,00002-00007-94530,00004-00003-00011-52349,559458221-094530,1916218649-094530,1125495430-0094530,1937829569-094530,1596478370-00094530,1259449355-094530,776737113-0000094530
Component 00000000045770,00004-00010-45770,00002-00009-46055,2014220127-045770,525487460-045770,1184238440-0045770,1751387952-045770,605116699-00045770,1422012462-045770,497358288-0000045770
Component 00000000088808,00003-00006-00005-88808,00001-00008-15660,1954199857-088808,1665311389-088808,1376422921-0088808,828011041-088808,124969734-00088808,972455275-088808,1227537110-0000088808
Component 00000000080923,00003-00003-00011-80923,00002-00008-41972,764492339-080923,1188035950-080923,1611579561-0080923,905262826-080923,935028418-00080923,1767232844-080923,1462455491-0000080923
Component 00000000013114,00004-00003-00010-13114,00001-00001-120016,903831931-013114,2057529593-013114,1063743608-0013114,1023593716-013114,1697556347-00013114,446744885-013114,1491256165-0000013114
Component 00000000021831,00001-00005-00004-21831,00001-00004-00003-30111,1239111584-021831,1833354547-021831,280113863-0021831,1068866055-021831,245134887-00021831,1845486397-021831,693569974-0000021831
Component 00000000081504,00004-00003-00007-81504,00004-00006-00008-58274,1117340021-081504,969585675-081504,821831329-0081504,393705181-081504,1132476911-00081504,467582354-081504,1727340033-0000081504
Component 00000000074793,00003-00005-00004-74793,00001-00002-00003-117406,529266714-074793,1996582613-074793,1316414865-0074793,1900869288-074793,1006740734-00074793,93469515-074793,154197675-0000074793
Component 00000000074801,00001-00006-00012-74801,00001-00002-00001-117651,2122726584-074801,1266123818-074801,409521052-0074801,1379681726-074801,1367728262-00074801,1807983109-074801,1662697323-0000074801
Component 00000000012042,00002-00002-00004-12042,00004-00006-00007-90019,1551181305-012042,1347084497-012042,1142987689-0012042,242420705-012042,1262904745-00012042,344469109-012042,1986768209-0000012042
Component 00000000052841,00001-00005-00009-52841,00001-00006-00005-120476,1876293858-052841,1356252037-052841,836210216-0052841,1350327480-052841,1803052938-00052841,536606567-052841,1172038143-0000052841
Component 00000000014908,00003-00005-00010-14908,00001-00011-23996,1733848936-014908,1076400418-014908,418951900-0014908,2059850518-014908,1052125814-00014908,241091130-014908,1815554847-0000014908
Component 00000000053398,00003-00002-00007-53398,00003-00005-00009-12528,74956137-053398,1999923028-053398,1777406272-0053398,20311706-053398,1132895486-00053398,131570084-053398,753610382-0000053398
Component 00000000030701,00001-00006-00008-30701,00002-00006-00001-118327,1886613857-030701,796213497-030701,1853296784-0030701,541803925-030701,1698838431-00030701,1087004105-030701,1926776009-0000030701
Component 00000000018660,00005-00005-18660,00003-00003-00012-28248,1553470960-018660,52275448-018660,698563583-0018660,1759932626-018660,675975598-00018660,363046735-018660,1514283228-0000018660
Component 00000000040354,00004-00006-00002-40354,00003-00001-00010-17963,72157284-040354,1453586463-040354,687531995-0040354,1573221232-040354,1108526278-00040354,1956248466-040354,352338484-0000040354
Component 00000000016605,00001-00004-16605,00001-00001-00006-94256,950600907-016605,977272953-016605,1003944999-0016605,96711491-016605,2110834908-00016605,83375468-016605,1312100111-0000016605
Component 00000000093406,00001-00005-00001-93406,00004-00003-00010-20849,41606929-093406,89661919-093406,137716909-0093406,224790297-093406,2131998994-00093406,200762802-093406,1075620589-0000093406
Component 00000000058149,00004-58149,00001-00002-00008-91996,1473463713-058149,601424342-058149,1876868618-0058149,1055485336-058149,1120714897-00058149,417763198-058149,152833057-0000058149
Component 00000000110510,00001-00010-110510,00004-00003-00012-5589,1469878011-110510,293542048-110510,1264689732-0110510,1325900451-110510,765129325-00110510,840326609-110510,218975934-0000110510
Component 00000000092387,00002-00001-00009-92387,00001-00002-115871,1027174978-092387,1113031713-092387,1198888448-0092387,1970001155-092387,1540717480-00092387,853330964-092387,1377063583-0000092387
Component 00000000042155,00001-00009-42155,00004-00002-00008-58144,423403900-042155,1581568097-042155,592248647-0042155,1833534456-042155,337680765-00042155,180710534-042155,1675757993-0000042155
Component 00000000016035,00005-00006-16035,00002-00002-00002-78262,1316697317-016035,1401317210-016035,1485937103-0016035,52053010-016035,1776437192-00016035,1083484887-016035,1631145638-0000016035
Component 00000000097903,00003-00001-97903,00004-00006-00004-23274,1453012117-097903,1535525391-097903,1618038665-0097903,1159938612-097903,747372242-00097903,1118681975-097903,1288616516-0000097903
Component 00000000013516,00001-00006-00009-13516,00003-00001-00012-7708,1032910661-013516,2057407617-013516,934420926-0013516,1328889146-013516,501371660-00013516,816640668-013516,2010822310-0000013516
Component 00000000002970,00002-00006-2970,00001-00005-00011-83081,20434002-002970,509956183-002970,999478364-0002970,1213681487-002970,913554229-00002970,2042662220-002970,1434226385-0000002970
Component 00000000121613,00003-00002-00011-121613,00004-00012-69419,1387017640-121613,686529509-121613,2133525025-0121613,699339815-121613,2054296823-00121613,2123325704-121613,792837874-0000121613
Component 00000000097743,00003-00002-00009-97743,00001-18760,501537912-097743,786521209-097743,1071504506-0097743,364584111-097743,1087151273-00097743,1295834286-097743,112374075-0000097743
Component 00000000089113,00003-00003-00011-89113,00003-00002-24195,706733058-089113,558829375-089113,410925692-0089113,1049597197-089113,1789115612-00089113,49807215-089113,372715249-0000089113
Component 00000000028765,00002-00009-28765,00002-00001-00004-64107,1544017460-028765,1895015058-028765,98529009-0028765,1387531787-028765,1780027444-00028765,1212032988-028765,1920669316-0000028765
Component 00000000034134,00004-00002-00009-34134,00006-00010-90880,1511755075-034134,1779637471-034134,2047519867-0034134,1619149399-034134,279737419-00034134,1485208201-034134,1066181691-0000034134
Component 00000000098331,00001-00002-00012-98331,00003-00003-00005-35248,1038785902-098331,1581786513-098331,2124787124-0098331,530769948-098331,2110734187-00098331,1333011466-098331,1030494303-0000098331
Component 00000000036591,00001-00002-00009-36591,00002-00001-00006-36107,513233864-036591,2118749760-036591,1576782009-0036591,1071343528-036591,1633698636-00036591,268585580-036591,820568141-0000036591
Component 00000000040293,00003-00001-00006-40293,00002-00001-16212,803159837-040293,1784559788-040293,618476092-0040293,82675403-040293,1618126589-00040293,665717251-040293,45844295-0000040293
Component 00000000092651,00001-00006-92651,00004-00006-00003-123269,1438445252-092651,466211944-092651,1641462283-0092651,1529770048-092651,2095969294-00092651,2015886702-092651,946718256-0000092651
Component 00000000010643,00003-00003-00009-10643,00004-00003-00001-50844,1543456196-010643,1276977552-010643,1010498908-0010643,1504143844-010643,689053417-00010643,1637383166-010643,282137309-0000010643
Component 00000000080708,00003-00005-00004-80708,00004-00004-35984,869463746-080708,1277150601-080708,1684837456-0080708,241181567-080708,350230939-00080708,1111079963-080708,1968849787-0000080708
Component 00000000035155,00001-00003-35155,00004-00012-48489,1433869007-035155,13045291-035155,739705222-0035155,1243395485-035155,1905063124-00035155,1953807343-035155,14694295-0000035155
Component 00000000091219,00004-00002-00011-91219,00002-00003-00007-83142,1045156898-091219,846881431-091219,648605964-0091219,1092473160-091219,2083850495-00091219,117869070-091219,1509650107-0000091219
Component 00000000016826,00001-00005-00004-16826,00003-00006-00003-100428,1539765135-016826,1807563184-016826,2075361233-0016826,569326806-016826,1377820208-00016826,1509169605-016826,934122157-0000016826
Component 00000000005907,00002-00006-00005-5907,00002-00004-00005-41787,1407977802-005907,301712345-005907,1342930535-0005907,367452489-005907,1603812480-00005907,1994327041-005907,417337029-0000005907
Component 00000000085340,00003-00008-85340,00004-00005-00004-42124,653863242-085340,2136180962-085340,1471015035-0085340,1679312311-085340,710174652-00085340,938153451-085340,1009013817-0000085340
Component 00000000051563,00003-00001-00005-51563,00003-00006-00009-84678,779227833-051563,1522633747-051563,118556014-0051563,327192663-051563,905130387-00051563,2102973353-051563,2096063734-0000051563
Component 00000000068321,00001-00001-00006-68321,00002-00002-00012-59747,1929608577-068321,341205163-068321,900285396-0068321,53970643-068321,1553536772-00068321,848172350-068321,106044277-0000068321
Component 00000000075853,00003-00001-00011-75853,00001-00003-00008-23551,1474720628-075853,544413855-075853,1761590729-0075853,378256901-075853,734823472-00075853,1917152111-075853,954860368-0000075853
Component 00000000023442,00002-00006-00003-23442,00004-00003-00010-38594,393582702-023442,338509954-023442,283437206-0023442,2017521718-023442,145401811-00023442,2045058092-023442,1731250770-0000023442
Component 00000000095478,00003-00005-00006-95478,00001-00002-00009-78906,1177491253-095478,1839592278-095478,354209656-0095478,3394437-095478,987856606-00095478,746085748-095478,92289452-0000095478
Component 00000000074309,00004-00004-00001-74309,1436259974,1761898813-074309,1827079990-074309,1892261167-0074309,1701960427-074309,1376054542-00074309,595628015-074309,1984432119-0000074309
Component 00000000062562,00002-00003-00006-62562,00001-00003-00011-22046,111726715-062562,136265234-062562,160803753-0062562,228103063-062562,105410468-00062562,1289575627-062562,2085530721-0000062562
Component 00000000029231,00001-00006-00007-29231,00001-00003-00003-40316,1675308168-029231,1177607479-029231,679906790-0029231,85403045-029231,426422843-00029231,1407995213-029231,445175494-0000029231
Component 00000000067458,00003-00006-00001-67458,00001-00005-00005-35586,746257220-067458,517010819-067458,287764418-0067458,1438966830-067458,437715188-00067458,479848207-067458,1459569952-0000067458
Component 00000000026653,00003-00004-00003-26653,00004-00002-00004-4944,2125652525-026653,859483151-026653,1740797424-0026653,845980002-026653,734375931-00026653,1479064689-026653,823016916-0000026653
Component 00000000034173,00003-00006-00009-34173,00004-00010-47135,1177669094-034173,1841682103-034173,358211465-0034173,96303502-034173,1071205751-00034173,838038821-034173,957674828-0000034173
Component 00000000112974,00004-00001-00004-112974,00002-00001-74607,533043262-112974,1474230562-112974,267934215-0112974,1083470725-112974,672501519-00112974,612877075-112974,1644266488-0000112974
Component 00000000018083,00003-00002-18083,00004-00003-00009-12099,256045874-018083,1275318672-018083,147107823-0018083,298652696-018083,1644739647-00018083,1936499944-018083,202889309-0000018083
Component 00000000015730,00001-15730,00002-00002-00012-69757,853040597-015730,649842174-015730,446643751-0015730,661593493-015730,1677585608-00015730,1836934528-015730,715469895-0000015730
Component 00000000095870,00005-00008-95870,00001-00002-00001-89896,724074090-095870,537069619-095870,350065148-0095870,1318033658-095870,105572366-00095870,337794070-095870,1941954862-0000095870
Component 00000000072706,00001-00004-00010-72706,00005-00012-58980,1947038998-072706,1185028390-072706,423017782-0072706,1496746509-072706,1011832255-00072706,1877751813-072706,1876586124-0000072706
Component 00000000034794,00004-00004-00006-34794,00003-00002-00007-109363,1725575789-034794,1547755657-034794,1369935525-0034794,1691233975-034794,432850988-00034794,1780144041-034794,71129238-0000034794
Component 00000000002505,00006-00009-2505,00003-00006-70063,2034876739-002505,357423898-002505,827454704-0002505,1209050713-002505,1006380330-00002505,974035310-002505,463668482-0000002505
Component 00000000082782,00002-00011-82782,00001-00003-00012-94041,1309384786-082782,823416466-082782,337448146-0082782,1362241383-082782,1644599336-00082782,1605225543-082782,514539037-0000082782
Component 00000000062874,00004-00006-62874,00001-00003-00012-30796,937717646-062874,874629173-062874,811540700-0062874,1099152176-062874,1414594541-00062874,56954589-062874,1240793406-0000062874
Component 00000000063173,00003-00005-00006-63173,00003-00006-00009-39178,645020753-063173,680265644-063173,715510535-0063173,1280656143-063173,1104431688-00063173,189291874-063173,1888752094-0000063173
Component 00000000014600,00005-00001-14600,00003-00002-38103,722112521-014600,1345493837-014600,1968875153-0014600,891335289-014600,2069396003-00014600,579644631-014600,594543613-0000014600
Component 00000000014458,00003-00003-00002-14458,00002-00001-34112,147553262-014458,1380352333-014458,465667757-0014458,882507913-014458,1160963499-00014458,1339850201-014458,1611408360-0000014458
Component 00000000092397,00002-00004-00006-92397,00003-00006-00010-116178,678356662-092397,2043384227-092397,1260928145-0092397,1383942331-092397,1001255447-00092397,1775170372-092397,1582845102-0000092397
Component 00000000078787,00002-00002-00007-78787,00004-00002-00006-105709,1457656832-078787,207179555-078787,1104185925-0078787,2012792837-078787,1822728281-00078787,1564289652-078787,1099766163-0000078787
Component 00000000082617,00002-00003-00002-82617,00001-00004-00009-89436,1762307845-082617,1066320981-082617,370334117-0082617,219199646-082617,1551650319-00082617,567193078-082617,948392066-0000082617
Component 00000000076694,00004-00002-00007-76694,00003-00002-00012-47098,267252029-076694,1173293719-076694,2079335409-0076694,1260601054-076694,1025359898-00076694,807580209-076694,1826955741-0000076694
Component 00000000023531,00001-00004-00001-23531,00001-00003-00010-41051,11098812-023531,530857323-023531,1050615834-0023531,523324655-023531,72015747-00023531,1337187223-023531,252300837-0000023531
Component 00000000036357,00002-00006-00009-36357,00002-00004-00001-29537,385811233-036357,888372599-036357,1390933965-0036357,1137717367-036357,772394184-00036357,886436684-036357,823375325-0000036357
Component 00000000015055,00005-00001-15055,00004-00003-00001-50844,1536475737-015055,978339134-015055,420202531-0015055,1310396079-015055,1953595447-00015055,515722557-015055,1574586233-0000015055
Component 00000000079252,00002-00005-00004-79252,00005-00009-118725,951731825-079252,1648985158-079252,198754844-0079252,1482521947-079252,143738929-00079252,60153457-079252,215950374-0000079252
Component 00000000116981,00001-00004-00007-116981,00002-00011-63217,2040011832-116981,1865504413-116981,1690996994-0116981,1092594775-116981,1965131870-00116981,106106661-116981,1700597834-0000116981
Component 00000000028654,00004-00003-00002-28654,00001-00006-00006-60976,353689946-028654,857727810-028654,1361765674-0028654,1177206233-028654,804500560-00028654,925187301-028654,172815888-0000028654
Component 00000000049032,00002-00004-00009-49032,00004-00003-00004-13849,1939049386-049032,32311656-049032,273057573-0049032,1804066302-049032,600336717-00049032,609951520-049032,1663303619-0000049032
Component 00000000066181,00001-00003-00011-66181,00003-00004-00010-123393,1158876182-066181,131330879-066181,1251269223-0066181,1788794691-066181,484070265-00066181,1228825519-066181,693951606-0000066181
Component 00000000078517,00002-00005-00010-78517,00006-00001-98125,1370027939-078517,1871222617-078517,224933648-0078517,2055649705-078517,1697159962-00078517,1805052366-078517,1729035340-0000078517
Component 00000000058384,00004-00004-00001-58384,00001-00003-28616,1709101354-058384,1479649939-058384,1250198524-0058384,244384138-058384,1391641213-00058384,1432851669-058384,366220778-0000058384
Component 00000000098539,00004-00012-98539,00001-00005-00001-41081,1044771165-098539,697199100-098539,349627035-0098539,293653365-098539,2031513690-00098539,1541181221-098539,536035054-0000098539
Component 00000000079358,00003-00006-00006-79358,00004-00004-00002-121734,1488571971-079358,1278341461-079358,1068110951-0079358,2029810471-079358,933479374-00079358,2134925726-079358,1815032080-0000079358
Component 00000000042495,00005-00011-42495,00002-00001-00005-77862,375874063-042495,641388842-042495,906903621-0042495,1442180786-042495,114606891-00042495,235681573-042495,1748281128-0000042495
Component 00000000028850,00003-00003-28850,00001-00004-00011-66441,118786994-028850,671688562-028850,1224590130-0028850,1164709278-028850,547685085-00028850,888258494-028850,107201980-0000028850
Component 00000000048102,00002-00005-00002-48102,00002-00001-00012-111357,162234467-048102,1022388362-048102,1882542257-0048102,3767258-048102,2145448724-00048102,647432134-048102,2141794474-0000048102
Component 00000000028090,00006-00010-28090,00004-00002-45164,656360702-028090,1803445099-028090,803045849-0028090,1529120958-028090,88666267-00028090,2029320583-028090,692090978-0000028090
Component 00000000075447,00002-00001-00008-75447,00003-00009-12190,1385039650-075447,1003700796-075447,622361942-0075447,69974407-075447,1976668677-00075447,260643834-075447,1720761345-0000075447
Component 00000000039049,00004-00003-00010-39049,00002-00005-00006-104942,1016273976-039049,1352151149-039049,1688028322-0039049,1200189514-039049,1668287296-00039049,2105992751-039049,45361503-0000039049
Component 00000000094349,00004-00003-00008-94349,00003-00005-00002-47283,1235351261-094349,122770643-094349,1157673672-0094349,962282463-094349,82734612-00094349,1518572772-094349,1473394446-0000094349
Component 00000000088689,00004-00006-00003-88689,00002-00001-00012-16717,2030188075-088689,1532445658-088689,1034703241-0088689,438259144-088689,779487582-00088689,1760872176-088689,92103249-0000088689
Component 00000000053639,00004-00005-00001-53639,00002-00004-00003-19282,1414592132-053639,1648257638-053639,1881923144-0053639,2009950938-053639,841623408-00053639,1893118185-053639,1449989625-0000053639
Component 00000000113892,00002-00002-00012-113892,00002-00010-100305,557597284-113892,691233828-113892,824870372-0113892,596518727-113892,2075819654-00113892,529700455-113892,1235528970-0000113892
Component 00000000096899,00004-00005-00010-96899,00001-00001-118665,742433197-096899,1187134182-096899,1631835167-0096899,1909336323-096899,1833315045-00096899,613244007-096899,1893327954-0000096899
Component 00000000030894,00004-00003-00006-30894,00004-00005-00007-124,1627607562-030894,1896045843-030894,17000477-0030894,688220485-030894,1493512727-00030894,1627743168-030894,1512243483-0000030894
Component 00000000065550,00002-00004-65550,00003-00001-00011-90413,1727813258-065550,625591038-065550,1670852465-0065550,1957126763-065550,1025786922-00065550,360754226-065550,396965921-0000065550
Component 00000000028813,00003-00001-00005-28813,00002-00005-00011-65427,1563852438-028813,779933431-028813,2143498071-0028813,1124744421-028813,749372162-00028813,442962101-028813,398438872-0000028813
Component 00000000095912,00002-00005-00011-95912,00004-00001-00012-91064,1648540249-095912,481849878-095912,1462643154-0095912,1972373901-095912,1363374815-00095912,1481977263-095912,1931614541-0000095912
Component 00000000035330,00001-00009-35330,00002-00007-800,85747266-035330,194515063-035330,303282860-0035330,2139759950-035330,1595920965-00035330,1011634228-035330,1159635382-0000035330
Component 00000000102786,00001-00005-00008-102786,00004-00001-36414,630377597-102786,1306930467-102786,1983483337-0102786,1230937087-102786,2143140031-00102786,892660652-102786,1204403441-0000102786
Component 00000000081858,00003-00010-81858,1436259974,1709119767-081858,908678550-081858,108237333-0081858,468684565-081858,175923356-00081858,1942646997-081858,1666369312-0000081858
Component 00000000120144,00004-00003-00011-120144,00003-00003-00012-28248,1703470357-120144,1995537232-120144,140120460-0120144,1910070089-120144,449735714-00120144,690294828-120144,1767095363-0000120144
Component 00000000046467,00002-00001-00005-46467,00002-00006-00010-65582,1257615407-046467,1256551239-046467,1255487071-0046467,1206003259-046467,1211324099-00046467,1206535343-046467,900049048-0000046467
Component 00000000012198,00003-00004-00004-12198,00004-00006-00004-19634,279041212-012198,17788284-012198,1904019003-0012198,493176086-012198,1799440726-00012198,623802550-012198,629386143-0000012198
Component 00000000104859,00004-00006-00001-104859,00001-00004-00009-94441,1763852927-104859,312969501-104859,1009569722-0104859,115483470-104859,927449659-00104859,840925183-104859,101888756-0000104859
Component 00000000091326,00001-00004-00001-91326,00003-00006-00006-86183,2045966673-091326,1922445016-091326,1798923359-0091326,1423875426-091326,2041483711-00091326,411894431-091326,290043975-0000091326
Component 00000000081565,00001-00003-81565,00002-00005-00002-59932,412637765-081565,1506493668-081565,452865924-0081565,851299709-081565,1824471135-00081565,1378113581-081565,1651184053-0000081565
Component 00000000018829,00004-00006-00005-18829,00003-00003-32945,1149185933-018829,1737466734-018829,178263888-0018829,689775547-018829,2043338836-00018829,1469376970-018829,794597608-0000018829
Component 00000000073266,00001-00004-00011-73266,00004-00010-74669,125079172-073266,404138894-073266,683198616-0073266,774573807-073266,1526758844-00073266,635043946-073266,1352665319-0000073266
Component 00000000059075,00002-00003-59075,00003-00001-00001-47958,454772220-059075,209579395-059075,2111870217-0059075,374080266-059075,1600044391-00059075,1570418502-059075,622959811-0000059075
Component 00000000122027,00002-00003-00009-122027,00003-00003-00003-80993,1742585815-122027,332775331-122027,1070448494-0122027,2086254045-122027,545371877-00122027,643675640-122027,1678719693-0000122027
Component 00000000092736,00001-00007-92736,00001-00002-2121,329563496-092736,775541536-092736,1221519576-0092736,484661966-092736,402255413-00092736,261672946-092736,129300504-0000092736
Component 00000000094596,00001-00005-00008-94596,00003-00006-54190,595008141-094596,1698901341-094596,655310894-0094596,446737166-094596,1369722107-00094596,2042274213-094596,2112831030-0000094596
Component 00000000036391,00001-00005-00004-36391,00004-00006-00008-30519,1172886678-036391,1677675777-036391,34981229-0036391,959096039-036391,582634191-00036391,1780443313-036391,882526894-0000036391
Component 00000000106225,00002-106225,00002-00005-00004-9182,704060879-106225,1869758667-106225,887972808-0106225,1405828775-106225,2019790776-00106225,822979881-106225,1226458743-0000106225
Component 00000000108018,00003-00001-00001-108018,00006-00009-59380,406350149-108018,1986319892-108018,1418805988-0108018,799213216-108018,1489299089-00108018,1082970168-108018,2082633653-0000108018
Component 00000000114517,00002-00004-114517,00004-00003-117835,2068422268-114517,974803507-114517,2028668393-0114517,1641261711-114517,666904575-00114517,1114329268-114517,1441762321-0000114517
Component 00000000069851,00001-00005-00002-69851,00002-00006-00007-102577,233042562-069851,1721069521-069851,1061612833-0069851,461647899-069851,1611447692-00069851,791376243-069851,1355903812-0000069851
Component 00000000042490,00006-42490,00004-77770,200218669-042490,76644695-042490,2100554368-0042490,649331871-042490,1267201741-00042490,711118858-042490,340269005-0000042490
Component 00000000119973,00003-00009-119973,00003-00003-00010-23488,470630668-119973,1002915191-119973,1535199714-0119973,1590368093-119973,1076429125-00119973,250484008-119973,27937389-0000119973
Component 00000000031022,00002-00005-00004-31022,00002-00012-3717,699038385-031022,1626038248-031022,405554464-0031022,1635116977-031022,1295084956-00031022,97875222-031022,1399253900-0000031022
Component 00000000106411,00001-00004-00006-106411,00001-00004-00001-14431,1217957164-106411,1884985601-106411,404530391-0106411,282839830-106411,1242664939-00106411,1023067435-106411,2111425423-0000106411
Component 00000000015659,00004-00007-15659,00002-00002-00006-67762,2048985654-015659,1682166330-015659,1315347006-0015659,1438117616-015659,1124730589-00015659,1621527278-015659,1983808003-0000015659
Component 00000000074518,00003-00003-00002-74518,00001-00006-00011-109731,37336183-074518,1561740245-074518,938660660-0074518,956489192-074518,1924403470-00074518,194287161-074518,347211923-0000074518
Component 00000000087224,00004-00004-00007-87224,00001-00002-00001-94901,1425400235-087224,665728527-087224,2053540466-0087224,1088544396-087224,591935642-00087224,1468380250-087224,1444679648-0000087224
Component 00000000038875,00004-00005-38875,00003-00010-100058,2134906527-038875,104809390-038875,222195900-0038875,1385701321-038875,798768771-00038875,1327008066-038875,720819425-0000038875
Component 00000000105073,00003-00003-00007-105073,00003-00006-00003-100428,753971590-105073,33635457-105073,1460782971-0105073,1251149315-105073,557862686-00105073,537575558-105073,744747830-0000105073
Component 00000000004910,00003-00009-4910,00004-00005-00008-13879,1289454625-004910,757189187-004910,224923749-0004910,1244384646-004910,1758228189-00004910,1510517365-004910,1795328733-0000004910
Component 00000000010573,00003-00003-00004-10573,00003-00002-00007-48848,36065508-010573,698128761-010573,1360192014-0010573,1007620397-010573,1992271426-00010573,1750330594-010573,693010805-0000010573
Component 00000000006059,00004-00004-00001-6059,00004-00006-00004-46024,1920307857-006059,185994159-006059,599164108-0006059,1557955737-006059,1639589639-00006059,277628939-006059,1688487500-0000006059
Component 00000000026200,00006-00005-26200,00003-00004-115808,1345294999-026200,886153446-026200,427011893-0026200,1625507972-026200,1773732090-00026200,781336925-026200,1772745173-0000026200
Component 00000000119614,00004-00005-00001-119614,00004-00002-00007-13449,1168810642-119614,167404792-119614,1313482589-0119614,1992750798-119614,557329107-00119614,345970076-119614,703812781-0000119614
Component 00000000032809,00004-00010-32809,00001-00001-00006-53761,1405242057-032809,125141420-032809,992524430-0032809,523645102-032809,481697346-00032809,89953597-032809,484751143-0000032809
Component 00000000080303,00003-00006-00002-80303,00006-00003-24625,1494359832-080303,1748224712-080303,2002089592-0080303,921904630-080303,1800063877-00080303,794972190-080303,1506136620-0000080303
Component 00000000114968,00003-00009-114968,1436259974,984731079-114968,1609788426-114968,87362126-0114968,161499527-114968,1331180086-00114968,922712677-114968,649365843-0000114968
Component 00000000074338,00003-00005-00004-74338,00001-00002-104665,322846624-074338,354020435-074338,385194246-0074338,761034634-074338,605165579-00074338,1819189552-074338,1259426492-0000074338
Component 00000000100208,00003-00003-00004-100208,00003-00005-00002-87778,431385719-100208,422927600-100208,414469481-0100208,1094908771-100208,1137199366-00100208,25396007-100208,14245350-0000100208
Component 00000000043382,00002-00003-00001-43382,00004-00004-00003-102729,381956040-043382,137939773-043382,2041407153-0043382,358327149-043382,1578408484-00043382,1554077106-043382,1715237110-0000043382
Component 00000000038843,00003-00012-38843,00003-00006-00004-99168,1572656226-038843,1691751044-038843,1810845862-0038843,906303958-038843,310829868-00038843,846756549-038843,1051308070-0000038843
Component 00000000007566,00001-00006-7566,00004-00004-00008-88239,1157606419-007566,906483787-007566,655361155-0007566,1863060649-007566,971190162-00007566,1988621965-007566,620161578-0000007566
