Component 00000000092151,00001-00003-00007-92151,00005-109270,515055907-092151,1245366982-092151,1975678057-0092151,501662869-092151,1145074788-00092151,1210249155-092151,1685218635-0000092151
Component 00000000055083,00003-00002-55083,00003-00001-00009-59718,1195712348-055083,1510629372-055083,1825546396-0055083,1436802483-055083,2009701010-00055083,1279343971-055083,138412316-0000055083
Component 00000000118217,00002-00001-00008-118217,00004-00003-00011-97849,1403230018-118217,1201667571-118217,1000105124-0118217,1291127750-118217,151456338-00118217,318167150-118217,876876555-0000118217
Component 00000000043715,00009-43715,00003-00005-00012-112033,1221604905-043715,1669318711-043715,2117032517-0043715,1460888026-043715,1369802643-00043715,1237031123-043715,1433818465-0000043715
Component 00000000060421,00001-00004-00010-60421,00001-00003-85660,1575801036-060421,872594447-060421,169387858-0060421,756277998-060421,2124827296-00060421,34139469-060421,123259169-0000060421
Component 00000000048005,00006-00009-48005,00001-00011-108626,336684627-048005,168316031-048005,2147431082-0048005,760742309-048005,1602585289-00048005,844926607-048005,892776371-0000048005
Component 00000000042417,00002-00004-00011-42417,00003-00001-00001-75713,543734125-042417,1559699095-042417,428180418-0042417,425911289-042417,1788537380-00042417,2065412451-042417,1379145764-0000042417
Component 00000000107825,00004-00003-107825,00001-00006-53976,315816575-107825,448947102-107825,582077629-0107825,1403938017-107825,738285382-00107825,263630930-107825,1590288675-0000107825
Component 00000000085777,00002-00006-00003-85777,00004-00003-00004-54344,1445369174-085777,1988936203-085777,385019585-0085777,964824493-085777,394472995-00085777,1766782802-085777,2083911597-0000085777
Component 00000000111661,00001-00004-00004-111661,00003-00002-00002-37858,77365399-111661,1062430805-111661,2047496211-0111661,608397356-111661,2125521267-00111661,115864653-111661,1304473393-0000111661
Component 00000000116383,00003-00001-00007-116383,00005-00010-46485,144155258-116383,213827200-116383,283499142-0116383,1375760798-116383,1027401088-00116383,1340924827-116383,936297333-0000116383
Component 00000000100820,00006-00005-100820,00001-00006-00009-104971,1861705650-100820,253389619-100820,792557235-0100820,94047615-100820,1693176829-00100820,1971947454-100820,1718383862-0000100820
Component 00000000097467,00002-00006-00006-97467,00001-00003-00006-11056,1863241944-097467,1979467678-097467,2095693412-0097467,1057739102-097467,476610432-00097467,999626235-097467,1074323467-0000097467
Component 00000000100758,00003-00008-100758,00001-00002-00006-103161,1690747889-100758,684813036-100758,1826361830-0100758,1221289576-100758,1955996547-00100758,650515179-100758,1775286290-0000100758
Component 00000000019163,00003-00004-00001-19163,00002-00008-42310,699759651-019163,747980930-019163,796202209-0019163,1964749859-019163,1723643464-00019163,866897396-019163,281042135-0000019163
Component 00000000032512,00002-00004-00012-32512,,1441451832-032512,916998805-032512,392545778-0032512,701541963-032512,1176323451-00032512,2037510300-032512,2000312420-0000032512
Component 00000000020054,00004-00006-00008-20054,00004-00006-00007-67269,1975635608-020054,1137559754-020054,299483900-0020054,2131145982-020054,2026557958-00020054,402700262-020054,595603273-0000020054
Component 00000000047353,00003-00005-00007-47353,00002-00001-00007-90357,1537310669-047353,780409620-047353,23508571-0047353,261089968-047353,1898111566-00047353,1713282316-047353,1506763923-0000047353
Component 00000000047829,00004-00005-00002-47829,00003-00001-00012-103713,1347528646-047829,214055121-047829,1228065243-0047829,1134895682-047829,359812366-00047829,627890621-047829,952812884-0000047829
Component 00000000031585,00001-00008-31585,00004-00006-00003-19529,1958443700-031585,110127593-031585,409295133-0031585,1435683861-031585,2087329808-00031585,1286100091-031585,668733710-0000031585
Component 00000000070968,00003-00002-00001-70968,00003-00009-10318,1293358598-070968,152837402-070968,1159799853-0070968,1812655414-070968,1072810453-00070968,235432365-070968,1440820810-0000070968
Component 00000000018406,00001-00003-00011-18406,29120,847629053-018406,544039428-018406,240449803-0018406,82175946-018406,1600124071-00018406,1307712582-018406,2031391526-0000018406
Component 00000000070286,00001-00006-00008-70286,00001-00001-00002-114766,521762495-070286,1423116154-070286,176986166-0070286,214000193-070286,2199192-00070286,837065187-070286,790958195-0000070286
Component 00000000042262,00002-00003-00012-42262,00001-00006-71415,644198085-042262,1619868661-042262,448055590-0042262,719580787-042262,136195201-00042262,231745499-042262,1600236346-0000042262
Component 00000000069936,00001-00006-00009-69936,00002-00002-00001-105002,154589752-069936,582033466-069936,1009477180-0069936,1558257058-069936,1568522135-00069936,1344535201-069936,1063915305-0000069936
Component 00000000031551,00001-00002-31551,00001-00003-00008-18546,15188293-031551,1249246384-031551,335820828-0031551,811205414-031551,1083365900-00031551,1267918192-031551,602098042-0000031551
Component 00000000026239,00004-00003-00005-26239,00001-00006-116915,1438537923-026239,1289461912-026239,1140385901-0026239,1724544154-026239,322440562-00026239,725340336-026239,1981640292-0000026239
Component 00000000085373,00003-00001-00002-85373,00001-00003-00003-43046,870928726-085373,320697324-085373,1917949569-0085373,2101993140-085373,558182856-00085373,229625194-085373,1759802900-0000085373
Component 00000000017469,00004-00004-00010-17469,00003-00007-118450,1369688761-017469,1238499702-017469,1107310643-0017469,375728517-017469,1031673812-00017469,1515064870-017469,1962933342-0000017469
Component 00000000101228,00003-00001-00010-101228,00001-00005-00007-116331,1574597775-101228,1715940802-101228,1857283829-0101228,913541820-101228,206826685-00101228,1916612130-101228,1565627820-0000101228
Component 00000000116849,00004-00005-00005-116849,00002-00004-00005-59532,1321084058-116849,1630896044-116849,1940708030-0116849,1314579850-116849,1913003567-00116849,1159673857-116849,1009958378-0000116849
Component 00000000037061,00001-00003-00011-37061,00003-00005-00008-49278,1529085532-037061,637981898-037061,1894361911-0037061,1260232223-037061,1420783099-00037061,1705784040-037061,184698033-0000037061
Component 00000000071217,00002-00006-00003-71217,00003-00002-17318,659277794-071217,1756477021-071217,706192601-0071217,1260090952-071217,69062111-00071217,1785233162-071217,1542309261-0000071217
Component 00000000082917,00002-00002-00003-82917,00001-00005-9885,141994546-082917,1696600644-082917,1103723095-0082917,378462654-082917,1195366752-00082917,1748643252-082917,1173480995-0000082917
Component 00000000001875,00006-00003-1875,00004-00001-00010-2584,1271640047-001875,291064971-001875,1457973542-0001875,958389095-001875,1566297181-00001875,1448676633-001875,1097108254-0000001875
Component 00000000053108,00003-00006-00003-53108,00002-00003-00011-4392,1330616380-053108,237186197-053108,1291239661-0053108,912601856-053108,2084785477-00053108,385575124-053108,2021829295-0000053108
Component 00000000047937,00002-00001-00006-47937,00002-00005-106722,1732646963-047937,8012260-047937,430861204-0047937,765984277-047937,799223204-00047937,554559805-047937,248952971-0000047937
Component 00000000095105,00003-00010-95105,00002-00009-68467,1888954352-095105,933759183-095105,2126047661-0095105,1732887066-095105,66411970-00095105,1136742827-095105,284249927-0000095105
Component 00000000005027,00002-00001-00009-5027,00001-00005-17165,707247366-005027,2125203524-005027,1395676035-0005027,758644325-005027,111314476-00005027,49666246-005027,120149104-0000005027
Component 00000000067072,00002-00005-00005-67072,00004-00001-00005-24809,1943330443-067072,545461506-067072,1295076216-0067072,1792421879-067072,191831976-00067072,1417614524-067072,1495387828-0000067072
Component 00000000009194,00004-00003-00003-9194,00002-00002-10257,1548027933-009194,1193364091-009194,838700249-0009194,1526700772-009194,1152536335-00009194,1704032693-009194,1795752688-0000009194
Component 00000000119709,00004-00002-00005-119709,00004-00009-16090,129091609-119709,1323312754-119709,370050252-0119709,1140500496-119709,1611845712-00119709,1617131747-119709,1321881238-0000119709
Component 00000000118036,00001-00002-00009-118036,00003-00005-00002-92783,1744273304-118036,2100384994-118036,309013037-0118036,1835821093-118036,55262643-00118036,1657765248-118036,326987688-0000118036
Component 00000000079924,00004-00005-79924,00001-00006-00009-13971,915635966-079924,1049670562-079924,1183705158-0079924,973862931-079924,303689951-00079924,906845633-079924,460136768-0000079924
Component 00000000045786,00001-00006-45786,00005-00010-46485,1961491940-045786,761099511-045786,1708190729-0045786,650775779-045786,210286983-00045786,177230170-045786,1005952758-0000045786
Component 00000000046398,00003-00002-00001-46398,00001-00007-63616,1644989828-046398,1633654471-046398,1622319114-0046398,21483190-046398,78159975-00046398,1100892692-046398,934748135-0000046398
Component 00000000094615,00003-00001-94615,,1408052702-094615,105104197-094615,949639339-0094615,1565817796-094615,1638109380-00094615,1143550225-094615,1104962841-0000094615
Component 00000000115501,00001-00001-00009-115501,00001-00005-00004-21831,1035837277-115501,1436408884-115501,1836980491-0115501,62465570-115501,207091182-00115501,935921590-115501,485564386-0000115501
Component 00000000070827,00002-00001-00003-70827,00004-00010-6419,1894907367-070827,932373204-070827,2117322688-0070827,1382898872-070827,1900602393-00070827,790424130-070827,1771942988-0000070827
Component 00000000035591,00001-00003-00010-35591,1436259974,1664712667-035591,408201242-035591,1299173464-0035591,1927192494-035591,1767298678-00035591,1481706383-035591,1268692679-0000035591
Component 00000000067068,00003-00001-00001-67068,00001-00004-00012-24686,609065778-067068,1385162573-067068,13775721-0067068,668796513-067068,1083279832-00067068,1354489939-067068,503289145-0000067068
Component 00000000004306,00001-00001-00003-4306,00001-00001-00009-120506,627569532-004306,611567403-004306,595565274-0004306,925208099-004306,1005218744-00004306,2006950987-004306,1504285679-0000004306
Component 00000000069863,00003-00003-00001-69863,00003-00011-102945,1005344385-069863,1721156044-069863,289484056-0069863,288729671-069863,1004638670-00069863,1004565665-069863,1319396716-0000069863
Component 00000000068488,00003-00004-68488,00001-64415,1347810940-068488,1170987316-068488,994163692-0068488,1361799764-068488,98434237-00068488,1450211576-068488,232021984-0000068488
Component 00000000065106,00001-00006-00002-65106,00004-00006-00012-93274,2126833778-065106,606764481-065106,1234178831-0065106,344175048-065106,1502070592-00065106,30467873-065106,161481740-0000065106
Component 00000000117293,00003-00001-00007-117293,00003-00003-00004-71998,512491255-117293,319101494-117293,125711733-0117293,796764258-117293,1763713063-00117293,1967200962-117293,1023647637-0000117293
Component 00000000032327,00002-00001-00009-32327,00003-00005-00009-40283,1545677414-032327,1775676405-032327,2005675396-0032327,889468419-032327,1886957111-00032327,1848210747-032327,1958356091-0000032327
Component 00000000009104,00004-00004-00004-9104,00009-7770,1253418352-009104,375247178-009104,1644559651-0009104,1611789353-009104,1707677929-00009104,2050874940-009104,1832502759-0000009104
Component 00000000046226,00001-00005-00011-46226,00002-00006-00002-58827,1676402757-046226,305969247-046226,1083019384-0046226,1782370579-046226,44603541-00046226,320103687-046226,391298927-0000046226
Component 00000000109251,00001-00002-00012-109251,00003-00006-00006-93918,1431613702-109251,458556121-109251,1632982187-0109251,409219434-109251,979540045-00109251,1969490048-109251,3722730-0000109251
Component 00000000047081,00001-00006-00008-47081,00004-00006-00003-82774,2021059636-047081,740439138-047081,1607302287-0047081,40507599-047081,1159148-00047081,680817848-047081,1990870218-0000047081
Component 00000000101718,00003-00001-00006-101718,00001-00001-00011-6511,114303116-101718,2096809590-101718,1931832417-0101718,1776586637-101718,453988855-00101718,785333400-101718,199220209-0000101718
Component 00000000115934,00004-115934,00003-00001-00002-33958,103183320-115934,1540022929-115934,829378891-0115934,2144169476-115934,1402422372-00115934,352007848-115934,2069827925-0000115934
Component 00000000057641,00001-00003-00012-57641,00001-00003-00001-7801,1856925439-057641,1309014353-057641,761103267-0057641,1053041532-057641,1645113315-00057641,1326997075-057641,764703081-0000057641
Component 00000000104709,00004-00003-00007-104709,00006-90265,305236189-104709,1115474704-104709,1925713219-0104709,2020840344-104709,117131416-00104709,541979263-104709,1721205203-0000104709
Component 00000000045213,00003-00012-45213,00003-00006-00008-30428,829920536-045213,1376515833-045213,1923111130-0045213,496246853-045213,2058237662-00045213,1296691028-045213,1729319219-0000045213
Component 00000000032372,00002-00004-00002-32372,00002-00004-00007-41542,604379143-032372,270672877-032372,2084450258-0032372,1599494418-032372,1120542101-00032372,1766347551-032372,1484819861-0000032372
Component 00000000011384,00004-00002-00009-11384,00006-71630,1240156019-011384,2137655718-011384,887671770-0011384,745476657-011384,552945456-00011384,1370468631-011384,880708775-0000011384
Component 00000000042197,00002-00001-00012-42197,00002-00004-00005-69542,898402386-042197,1282328290-042197,1666254194-0042197,191455907-042197,419310034-00042197,2146976602-042197,238983043-0000042197
Component 00000000011647,00002-00006-00012-11647,00002-00005-78967,291480156-011647,106136868-011647,2068277227-0011647,2039748923-011647,818981716-00011647,2132420567-011647,1036480499-0000011647
Component 00000000031587,00002-00003-00010-31587,00004-00012-19590,1173826138-031587,1791943406-031587,262577027-0031587,1087742578-031587,144639885-00031587,778683944-031587,317468482-0000031587
Component 00000000017988,00003-00005-00009-17988,00003-00001-00007-9458,2001511069-017988,688865474-017988,1523703526-0017988,1688967298-017988,1809744332-00017988,1271548272-017988,1491742114-0000017988
Component 00000000010162,00002-00005-00009-10162,00002-00001-00005-37367,1098685115-010162,1248505490-010162,1398325865-0010162,848780538-010162,99678663-00010162,1847612174-010162,195718456-0000010162
Component 00000000019869,00004-00003-00005-19869,00001-00003-00002-62051,1056216971-019869,23902059-019869,1139070794-0019869,381067620-019869,1247674886-00019869,897225076-019869,183621783-0000019869
Component 00000000098222,00002-00005-00007-98222,00003-00006-00003-32178,1502522435-098222,1354949473-098222,1207376511-0098222,787684719-098222,1525549529-00098222,861471200-098222,2116851665-0000098222
Component 00000000074587,00002-00002-00006-74587,00006-00004-111635,1183902088-074587,1688864521-074587,46343307-0074587,978518148-074587,601189630-00074587,1799778755-074587,356996178-0000074587
Component 00000000095686,00001-00003-00006-95686,00003-00001-84708,124974759-095686,798248079-095686,1471521399-0095686,566476074-095686,1495076768-00095686,229839414-095686,1751959412-0000095686
Component 00000000062896,00001-00001-00002-62896,00004-00005-00010-31379,2118677557-062896,1351660745-062896,584643933-0062896,1425584174-062896,965700940-00062896,1809092580-062896,1147051433-0000062896
Component 00000000106791,00001-00006-00009-106791,25025,2017059572-106791,155906037-106791,442236149-0106791,871684475-106791,1587517562-00106791,728519419-106791,1170433208-0000106791
Component 00000000027926,00001-00003-00002-27926,00006-00008-40620,1897550349-027926,1930647727-027926,1963745105-0027926,1355289535-027926,1189802645-00027926,1338740846-027926,258388404-0000027926
Component 00000000010844,00004-00001-00002-10844,00002-00005-00012-56432,848469667-010844,160920398-010844,1620854776-0010844,788326649-010844,2078589347-00010844,58359460-010844,312635677-0000010844
Component 00000000001655,00003-00004-1655,00004-00004-00011-46239,116581570-001655,471330253-001655,826078936-0001655,1215765343-001655,1589505575-00001655,2112132825-001655,265395348-0000001655
Component 00000000045540,00005-00001-45540,00001-00005-00004-39576,14191664-045540,1370556127-045540,579436943-0045540,299616886-045540,2107729159-00045540,695176478-045540,1698799573-0000045540
Component 00000000110557,00002-00006-00005-110557,00003-00011-6940,1735127898-110557,1565815436-110557,1396502974-0110557,2113408079-110557,812486742-00110557,50580663-110557,1198927962-0000110557
Component 00000000070674,00004-00002-00006-70674,00001-00002-2121,770637448-070674,902367031-070674,1034096614-0070674,1790813106-070674,1132165191-00070674,651206491-070674,575122847-0000070674
Component 00000000101096,00001-00002-00008-101096,00001-00002-00011-36346,1397183005-101096,2058797261-101096,572927870-0101096,1273219716-101096,112632083-00101096,942412588-101096,1175794477-0000101096
Component 00000000115368,00003-00001-00006-115368,00001-00005-00003-18086,1473871712-115368,958717290-115368,443562868-0115368,111202362-115368,539490825-00115368,368779573-115368,1987499932-0000115368
Component 00000000048266,00001-00001-00010-48266,00002-00002-00012-66572,1294572287-048266,2018233750-048266,594411566-0048266,958673067-048266,1635333046-00048266,1670584159-048266,1776848823-0000048266
Component 00000000065592,00002-00002-00007-65592,00004-00005-00001-106874,355028023-065592,2127664962-065592,1752818254-0065592,1502315508-065592,1229065401-00065592,1689738862-065592,677534978-0000065592
Component 00000000044800,00002-44800,00003-00004-00007-18883,1197129072-044800,925231797-044800,653334522-0044800,1968754940-044800,1180757668-00044800,1030961754-044800,429352503-0000044800
Component 00000000062262,00002-00004-00005-62262,00003-00004-00009-13633,1533457240-062262,921258766-062262,309060292-0062262,1906602309-062262,672627385-00062262,65217899-062262,201603461-0000062262
Component 00000000102024,00004-00006-102024,00003-00003-00006-17153,1823628661-102024,941568155-102024,59507649-0102024,1993367060-102024,2108702296-00102024,286913666-102024,1369927443-0000102024
Component 00000000028195,00006-00011-28195,00002-00001-00012-48112,66966083-028195,127581446-028195,188196809-0028195,1933069365-028195,1629992550-00028195,829019860-028195,359015219-0000028195
Component 00000000039816,00001-00010-39816,00002-00001-00010-2857,288887162-039816,1578345133-039816,720319457-0039816,1624314816-039816,1619475902-00039816,2053327654-039816,946399536-0000039816
Component 00000000047061,00001-00001-47061,00001-00004-00005-82191,1367485376-047061,450802943-047061,1681604157-0047061,931802139-047061,1220247010-00047061,316401532-047061,1397282351-0000047061
Component 00000000051077,00002-00005-51077,00002-00006-00006-71077,219070262-051077,1270605222-051077,174656535-0051077,1826391941-051077,863684435-00051077,1300624461-051077,172862030-0000051077
Component 00000000018674,00004-00005-00006-18674,00001-00003-28616,1299452542-018674,1763842754-018674,80749319-0018674,200057707-018674,25590294-00018674,2115346248-018674,2054844919-0000018674
Component 00000000076257,00002-00006-00012-76257,00004-00005-34879,2123255376-076257,690711282-076257,1405650835-0076257,1364343521-076257,2084613050-00076257,2080615568-076257,92222492-0000076257
Component 00000000034711,00001-00005-00001-34711,00004-00006-107029,1862582582-034711,1071513541-034711,280444500-0034711,1076697916-034711,737075827-00034711,398490613-034711,984416081-0000034711
Component 00000000068779,00004-00004-00009-68779,00004-00001-72580,1108811483-068779,1343750953-068779,1578690423-0068779,1765957543-068779,591260193-00068779,1648487808-068779,1047791558-0000068779
Component 00000000026913,00003-00005-00003-26913,00002-00002-00006-12252,1131183099-026913,910725461-026913,690267823-0026913,1176405891-026913,131210434-00026913,1286634710-026913,2125465694-0000026913
Component 00000000054086,00001-00004-00006-54086,00004-00001-00011-31809,716966120-054086,1568505476-054086,272561185-0054086,1214435593-054086,1251706107-00054086,788665915-054086,1557330317-0000054086
Component 00000000089894,00004-00012-89894,00001-00005-46116,1474569247-089894,153781620-089894,980477640-0089894,767136924-089894,928624118-00089894,353788914-089894,1037755786-0000089894
Component 00000000101819,00004-00004-00003-101819,00004-00001-9335,1872429636-101819,826925621-101819,1928905253-0101819,1631350613-101819,416419747-00101819,1080360797-101819,462672736-0000101819
Component 00000000046710,00006-00001-46710,00006-00007-72365,1809147716-046710,1110563520-046710,411979324-0046710,140068915-046710,1485506248-00046710,489361013-046710,605145252-0000046710
Component 00000000116514,00004-00006-00008-116514,00004-00002-50169,12394263-116514,924950831-116514,1837507399-0116514,1321714871-116514,1053899325-00116514,865436587-116514,668248023-0000116514
Component 00000000075454,00004-00001-00002-75454,00001-00003-12405,865390163-075454,773136573-075454,680882983-0075454,686058342-075454,1147326292-00075454,732185137-075454,1467324043-0000075454
Component 00000000054223,00003-00001-54223,00001-00002-35646,1263186672-054223,1330931819-054223,1398676966-0054223,1327600831-054223,988875096-00054223,219986434-054223,721044570-0000054223
Component 00000000121608,00003-00004-00006-121608,00001-00003-00006-69296,1162515935-121608,1959151478-121608,608303374-0121608,70892301-121608,382681880-00121608,746316353-121608,1867658427-0000121608
Component 00000000116313,00003-00001-00002-116313,00002-00012-44550,52777661-116313,1281144580-116313,362027852-0116313,572772940-116313,873389286-00116313,1032331304-116313,1717062592-0000116313
Component 00000000110561,00001-00003-00009-110561,00004-00006-00001-7034,691572087-110561,945942471-110561,1200312855-0110561,143633829-110561,1019265556-00110561,16448637-110561,439413237-0000110561
Component 00000000050758,00003-00001-00006-50758,00004-00008-62174,1284371807-050758,1489113512-050758,1693855217-0050758,1550668088-050758,526959563-00050758,374555412-050758,750826380-0000050758
Component 00000000074679,00004-00003-00007-74679,00004-00002-00009-114214,1734659907-074679,1703761054-074679,1672862201-0074679,1309807360-074679,1464301625-00074679,251514963-074679,1514677106-0000074679
Component 00000000049854,00004-00012-49854,00004-00003-36845,2063408048-049854,198485738-049854,481047075-0049854,1808989187-049854,396182502-00049854,593966695-049854,1757942507-0000049854
Component 00000000064472,00002-00002-00005-64472,00004-00001-00003-75559,1283884475-064472,719889673-064472,155894871-0064472,1847423989-064472,372430705-00064472,2129421390-064472,1768675077-0000064472
Component 00000000104750,00002-00009-104750,00002-00005-00003-91432,178472181-104750,1134736786-104750,2091001391-0104750,386407113-104750,2047535029-00104750,982016634-104750,897822990-0000104750
Component 00000000002415,00010-2415,00001-00003-00011-67546,1414371387-002415,332327091-002415,1397766442-0002415,474830559-002415,1590084745-00002415,1015852707-002415,1659845885-0000002415
Component 00000000013845,00006-13845,00003-00011-16950,869101126-013845,1765187741-013845,513790709-0013845,305887190-013845,120421409-00013845,931585706-013845,966363481-0000013845
Component 00000000070143,00003-00003-00008-70143,00004-00006-00001-110774,267004382-070143,1118182015-070143,1969359648-0070143,1820672113-070143,1859751242-00070143,321341473-070143,2011910523-0000070143
Component 00000000110305,00006-110305,00003-00006-00001-123423,1448477982-110305,947425961-110305,446373940-0110305,1843516904-110305,53809715-00110305,1020301091-110305,1600668740-0000110305
Component 00000000062215,00006-00010-62215,00004-00008-12345,989411493-062215,1962413239-062215,787931338-0062215,935355940-062215,365314504-00062215,448855067-062215,725227797-0000062215
Component 00000000012130,00006-00001-12130,00001-00006-00007-92476,82149725-012130,2136304754-012130,2042976136-0012130,1998162693-012130,317322136-00012130,2044827002-012130,535863358-0000012130
Component 00000000020515,00005-00001-20515,00004-00006-80164,1551661713-020515,1994663750-020515,290182140-0020515,488682214-020515,421155676-00020515,1340923019-020515,525983421-0000020515
Component 00000000048691,00001-00006-00006-48691,00002-00010-4300,1216651825-048691,1241855212-048691,1267058599-0048691,1365274271-048691,1239257336-00048691,278930754-048691,128166931-0000048691
Component 00000000122767,00002-00001-00008-122767,00002-00005-101717,1306794594-122767,290316293-122767,1421321639-0122767,325979053-122767,1113403264-00122767,1907960027-122767,183816761-0000122767
Component 00000000036166,00001-00004-36166,00002-00005-00003-58217,2084233359-036166,500237526-036166,1063725340-0036166,1496104927-036166,826149504-00036166,1214361020-036166,874797709-0000036166
Component 00000000093961,00001-00010-93961,00004-00001-36414,2035189700-093961,438668874-093961,989631695-0093961,1913340931-093961,1306010473-00093961,564117697-093961,941073084-0000093961
Component 00000000013163,00003-00003-00007-13163,00001-00002-00002-121396,258956724-013163,915348896-013163,1571741068-0013163,2029206008-013163,894728795-00013163,1701009922-013163,746993437-0000013163
Component 00000000053028,00003-00003-00001-53028,00002-00005-00011-2182,236930902-053028,1735683918-053028,1086953287-0053028,2059491827-053028,1008177688-00053028,1310115319-053028,693198783-0000053028
Component 00000000050854,00004-00006-00011-50854,00004-00005-00004-64874,1462204478-050854,149082726-050854,983444621-0050854,52825269-050854,175983088-00050854,709386145-050854,1349081280-0000050854
Component 00000000094009,00004-00006-00006-94009,37765,52400945-094009,424019839-094009,795638733-0094009,896048128-094009,1185437305-00094009,710238681-094009,464991230-0000094009
Component 00000000071722,00002-00001-71722,00001-00008-98925,1371487419-071722,293296204-071722,1362588636-0071722,1692562843-071722,641067977-00071722,1157916627-071722,881515491-0000071722
Component 00000000011410,00009-11410,00001-00005-00004-72336,1624341622-011410,641768890-011410,1806679805-0011410,1214204354-011410,1832100720-00011410,1705490720-011410,1229179953-0000011410
Component 00000000017262,00002-00011-17262,00002-00001-00011-112617,2029503965-017262,332703268-017262,783386218-0017262,265306923-017262,159375820-00017262,39965448-017262,196830181-0000017262
Component 00000000058527,00002-00001-58527,00002-00001-00003-32607,345106789-058527,447345621-058527,549584453-0058527,1008722847-058527,497528687-00058527,957603431-058527,1982977384-0000058527
Component 00000000018666,00001-00004-00011-18666,00002-00005-00001-28432,395155483-018666,185235975-018666,2122800114-0018666,951477580-018666,2001075120-00018666,1056437334-018666,1155494856-0000018666
Component 00000000017178,00003-00005-17178,00003-00005-00004-110283,1193581360-017178,508891562-017178,1971685411-0017178,198380862-017178,1474346205-00017178,540725761-017178,179653894-0000017178
Component 00000000029924,00004-00006-00011-29924,00002-00009-96560,1908615389-029924,214349768-029924,667567794-0029924,267369533-029924,148763050-00029924,40760520-029924,1208153467-0000029924
Component 00000000066279,00004-00003-00005-66279,00004-00006-2580,1987951073-066279,1041386336-066279,94821599-0066279,102976092-066279,540832483-00066279,1650000284-066279,553243292-0000066279
Component 00000000072577,00002-00001-00011-72577,00003-00006-00012-55418,1757406174-072577,1544213519-072577,1331020864-0072577,1081238818-072577,2147202093-00072577,114093322-072577,771423337-0000072577
Component 00000000112501,00001-00004-00012-112501,00004-00003-00010-61344,108083725-112501,1427312399-112501,599057426-0112501,1813648651-112501,1659956222-00112501,1154034314-112501,961257235-0000112501
Component 00000000057491,00001-00005-57491,00004-00003-00006-3594,1883109743-057491,1451919321-057491,1020728899-0057491,297727099-057491,306195562-00057491,513322310-057491,1214537003-0000057491
Component 00000000121631,00001-00006-00003-121631,00001-00009-69910,5267959-121631,1385803114-121631,618854622-0121631,1462971743-121631,1002746909-00121631,1846445989-121631,785614195-0000121631
Component 00000000039627,00002-00003-39627,00001-121121,172079578-039627,346578092-039627,521076606-0039627,45322919-039627,1320313996-00039627,2105557309-039627,1956615290-0000039627
Component 00000000119417,00002-00004-00012-119417,00004-00007-7924,951219824-119417,918079506-119417,884939188-0119417,1491398048-119417,1657099638-00119417,1507968207-119417,206789469-0000119417
Component 00000000009063,00003-00005-00002-9063,00002-00001-00011-6602,350907782-009063,950842107-009063,1550776432-0009063,456693310-009063,1751988979-00009063,1230467971-009063,1627188428-0000009063
Component 00000000075526,00001-00003-00009-75526,00001-00004-00001-14431,1308991476-075526,1710247732-075526,2111503988-0075526,1442567069-075526,1583769436-00075526,1241938941-075526,422836458-0000075526
Component 00000000085008,00003-00001-85008,00003-00001-00012-10893,1105395972-085008,1073276679-085008,1041157386-0085008,621352085-085008,781948550-00085008,1711153555-085008,1137304854-0000085008
Component 00000000102276,00001-00006-00005-102276,00003-00002-00008-22108,622370736-102276,1683694642-102276,597534901-0102276,556972649-102276,1692804060-00102276,26310696-102276,55440793-0000102276
Component 00000000002680,00006-00002-2680,00003-74945,764340734-002680,110226578-002680,1603596069-0002680,1252058873-002680,227662359-00002680,1579115951-002680,1495391036-0000002680
Component 00000000115559,00004-00003-00002-115559,00003-00001-00006-23458,1750768408-115559,391025708-115559,1178766655-0115559,227756868-115559,584019427-00115559,907628218-115559,737167988-0000115559
Component 00000000065608,00003-00004-00010-65608,00001-00005-00008-107336,1130476419-065608,11253081-065608,1039513390-0065608,535235701-065608,1836385097-00065608,1094847370-065608,641112130-0000065608
Component 00000000061297,00002-00005-00002-61297,00001-00011-110160,2130458787-061297,832583301-061297,1682191462-0061297,1460523479-061297,1507449968-00061297,2109461222-061297,1634350049-0000061297
Component 00000000082696,00001-00005-00003-82696,00001-00005-91616,1543571336-082696,514258257-082696,1632428825-0082696,2087752709-082696,791867163-00082696,1528667425-082696,1401866270-0000082696
Component 00000000024000,00004-00002-24000,00001-00006-00011-54221,2081722178-024000,867670864-024000,1801103197-0024000,1182291918-024000,810097547-00024000,1789317575-024000,720402797-0000024000
Component 00000000001586,00001-00004-1586,00001-00005-00006-44336,910749825-001586,1900291025-001586,742348578-0001586,1658857791-001586,1006119085-00001586,1164087191-001586,1379316896-0000001586
Component 00000000106626,00001-00002-106626,00004-00009-20419,1189425257-106626,1006785363-106626,824145469-0106626,921324986-106626,1834524456-00106626,1012644933-106626,294213159-0000106626
Component 00000000110780,00005-00007-110780,00002-00003-00012-13142,1335302649-110780,1514439050-110780,1693575451-0110780,359741686-110780,1611543328-00110780,1343915309-110780,1464824731-0000110780
Component 00000000010329,00004-00004-00007-10329,00002-00010-42065,161453412-010329,1157127951-010329,5318843-0010329,133286496-010329,1597364742-00010329,709191050-010329,534955759-0000010329
Component 00000000070714,00004-00007-70714,00001-00006-00002-3226,2003567509-070714,115387663-070714,374691464-0070714,621158152-070714,1472122794-00070714,1565248075-070714,1209772591-0000070714
