Component 00000000011892,00002-00006-00010-11892,00003-85813,765188718-011892,1019854467-011892,1274520216-0011892,1305317486-011892,31988741-00011892,104242788-011892,1143141531-0000011892
Component 00000000065349,00004-00004-00011-65349,00001-00005-00004-100091,1571479298-065349,1798742437-065349,2026005576-0065349,782581481-065349,1793749433-00065349,1742691735-065349,1954661938-0000065349
Component 00000000087353,00003-00006-87353,00003-00003-00005-98493,1831059527-087353,1246185506-087353,661311485-0087353,308215096-087353,1085101554-00087353,1674393930-087353,1088604788-0000087353
Component 00000000053014,00004-00003-53014,00003-00006-1813,800748936-053014,853101919-053014,905454902-0053014,118643141-053014,2004361873-00053014,1166208473-053014,1921930841-0000053014
Component 00000000006023,00003-00003-00004-6023,00001-00001-00005-45011,1078593323-006023,1089132383-006023,1099671443-0006023,1589737733-006023,1537042433-00006023,1584468203-006023,1811480366-0000006023
Component 00000000118721,00001-00001-00005-118721,00001-00001-00006-112001,1331098301-118721,1029831207-118721,728564113-0118721,1752029771-118721,1110881594-00118721,1902663318-118721,1554920815-0000118721
Component 00000000099913,00003-00002-00008-99913,00012-79520,123080944-099913,1269012911-099913,267461231-0099913,939948345-099913,1652739451-00099913,1440724185-099913,1840398508-0000099913
Component 00000000101196,00001-00004-00004-101196,00001-00004-00001-115441,1006424986-101196,1298661734-101196,1590898482-0101196,147521735-101196,833821642-00101196,1403361-101196,1680685960-0000101196
Component 00000000073432,00002-00002-00008-73432,00001-00004-00010-118206,1714945065-073432,1291979267-073432,869013469-0073432,528456685-073432,495802028-00073432,739939584-073432,2045293959-0000073432
Component 00000000033255,00005-00001-33255,00001-00001-00008-66256,341643153-033255,1660761604-033255,832396408-0033255,968120440-033255,814979126-00033255,1382303038-033255,1150724201-0000033255
Component 00000000038574,00004-00004-00003-38574,00002-00005-00001-91677,2101765839-038574,1323299277-038574,544832715-0038574,853359581-038574,450725097-00038574,1242592862-038574,266357032-0000038574
Component 00000000096876,00001-00003-96876,00006-118020,803494080-096876,1255211135-096876,1706928190-0096876,163192954-096876,52091326-00096876,1011076250-096876,183162843-0000096876
Component 00000000044358,00003-00006-00002-44358,00001-00001-00011-6511,1169869057-044358,1222365625-044358,1274862193-0044358,1568468958-044358,1305986118-00044358,1542220674-044358,1342421870-0000044358
Component 00000000116451,00001-00006-00010-116451,00003-00012-48450,1278989288-116451,1988130024-116451,549787113-0116451,1312576632-116451,2061840246-00116451,958006264-116451,1506587216-0000116451
Component 00000000023947,00002-00001-23947,00002-00002-52717,455491697-023947,475990010-023947,496488323-0023947,375918054-023947,273426489-00023947,1439410721-023947,1729480454-0000023947
Component 00000000033498,00003-00003-00010-33498,00002-00001-00011-53922,1275134576-033498,1599219244-033498,1923303912-0033498,1960855445-033498,340432105-00033498,1798813111-033498,182618209-0000033498
Component 00000000074758,00003-00005-00008-74758,00003-00001-00012-116453,1127049460-074758,192847024-074758,1406128235-0074758,915387901-074758,1291432787-00074758,1382489119-074758,1686525643-0000074758
Component 00000000097836,00001-00004-00011-97836,00004-00007-21340,1225902298-097836,62540365-097836,1046662079-0097836,1711165193-097836,1085523917-00097836,1219104336-097836,2026525098-0000097836
Component 00000000120587,00002-00005-00012-120587,00002-00005-00005-40682,993478617-120587,553525997-120587,113573377-0120587,1130613017-120587,1182892470-00120587,1350589327-120587,540334461-0000120587
Component 00000000105055,00006-00002-105055,00003-00004-99935,1687763046-105055,236050991-105055,931822583-0105055,1072946906-105055,1889056240-00105055,725061110-105055,934303965-0000105055
Component 00000000096852,00002-00002-96852,00004-00003-00006-117344,1464139391-096852,1439716971-096852,1415294551-0096852,279652021-096852,401764121-00096852,291863231-096852,1555985462-0000096852
Component 00000000071538,00003-00005-00012-71538,00005-98670,1212209995-071538,469513926-071538,1874301504-0071538,624930824-071538,43443875-00071538,2070020682-071538,1161163490-0000071538
Component 00000000092886,00001-00003-00001-92886,00001-00003-00004-6296,1261455335-092886,68512203-092886,1023052718-0092886,1385771902-092886,908036621-00092886,1982243468-092886,1445288741-0000092886
Component 00000000009345,00011-9345,00004-00004-00012-14494,904081013-009345,1866639664-009345,681714668-0009345,1417277176-009345,899451215-00009345,2009739674-009345,437931404-0000009345
Component 00000000105026,00001-00005-00012-105026,00003-00006-00004-99168,610612312-105026,1325906434-105026,2041200556-0105026,942638877-105026,1661135561-00105026,584991816-105026,1944971220-0000105026
Component 00000000080066,00001-00012-80066,00002-00002-17992,472508028-080066,617996722-080066,763485416-0080066,1086258746-080066,358815276-00080066,1013514399-080066,66910618-0000080066
Component 00000000064726,00001-00004-00012-64726,00006-00005-82620,65491354-064726,1560669320-064726,908363639-0064726,1714662354-064726,681223465-00064726,967073371-064726,353981223-0000064726
Component 00000000091850,00003-00005-91850,00003-00002-00004-100858,185240688-091850,469291088-091850,753341488-0091850,1076783206-091850,1804014853-00091850,934758006-091850,1898254861-0000091850
Component 00000000053560,00003-53560,00002-00001-00007-17102,1515561945-053560,903920173-053560,292278401-0053560,1915707061-053560,678948627-00053560,74044300-053560,1813551490-0000053560
Component 00000000067346,00001-00006-00006-67346,00004-00002-00006-32454,1233980690-067346,1413561632-067346,1593142574-0067346,1353721789-067346,455817079-00067346,1263931318-067346,865230448-0000067346
Component 00000000108954,00004-00006-00001-108954,00004-00003-00007-85599,1524156120-108954,1313566301-108954,1102976482-0108954,974226310-108954,2027175405-00108954,5779396-108954,415601830-0000108954
Component 00000000081707,00002-00003-00002-81707,00003-00006-00002-63923,1412069158-081707,98336402-081707,932087293-0081707,2120539902-081707,99269094-00081707,629922633-081707,436659327-0000081707
Component 00000000074106,00001-00004-00006-74106,00002-00005-00011-98187,1209901434-074106,1240034547-074106,1270167660-0074106,1597615591-074106,1446950026-00074106,508807211-074106,834222336-0000074106
Component 00000000018883,00003-00004-00007-18883,00001-00006-00007-26046,1366273640-018883,1066949585-018883,767625530-0018883,807700678-018883,156837306-00018883,2031104529-018883,484329470-0000018883
Component 00000000010839,00004-00003-00010-10839,00005-14950,66994479-010839,1107382484-010839,286842-0010839,59947017-010839,1300457933-00010839,613494838-010839,1830920708-0000010839
Component 00000000035741,00001-00006-00004-35741,00003-00002-12313,393813187-035741,827132618-035741,1260452049-0035741,1008710944-035741,989597436-00035741,1865793052-035741,156503272-0000035741
Component 00000000088379,00004-00004-00005-88379,00003-00006-00009-3688,478443360-088379,230863275-088379,2130766837-0088379,281969296-088379,1519869721-00088379,1479501162-088379,1821332412-0000088379
Component 00000000021896,00001-00004-21896,00004-00006-00001-35244,1002847765-021896,1429619701-021896,1856391637-0021896,226450191-021896,240074158-00021896,13064223-021896,353935032-0000021896
Component 00000000080795,00001-80795,00004-00005-00003-38379,843852318-080795,2046793234-080795,1102250503-0080795,1204428275-080795,1632174636-00080795,602957817-080795,1252499934-0000080795
Component 00000000006895,00005-6895,00003-00001-00002-69448,854707742-006895,111166523-006895,1515108951-0006895,226438796-006895,1796661244-00006895,1671951229-006895,920116507-0000006895
Component 00000000094005,00002-00002-94005,00003-00006-00012-37673,633423988-094005,1648399617-094005,515891599-0094005,1541359937-094005,761449086-00094005,2107613946-094005,1696099915-0000094005
Component 00000000104086,00001-00003-00008-104086,00002-00006-00001-72827,530342157-104086,2031442596-104086,1385059388-0104086,1393011274-104086,329960020-00104086,1716202878-104086,2143586454-0000104086
Component 00000000066676,00001-00001-00012-66676,00004-00001-13664,858051558-066676,274340538-066676,1838113165-0066676,465354499-066676,1236425952-00066676,757210009-066676,1907454112-0000066676
Component 00000000085111,00001-00005-85111,00002-00005-00005-35677,2144858638-085111,1687848384-085111,1230838130-0085111,1454697789-085111,1592265412-00085111,1683202916-085111,1345442759-0000085111
Component 00000000040842,00002-00004-00009-40842,00004-00003-00004-31594,722978116-040842,1096074175-040842,1469170234-0040842,564525978-040842,846529330-00040842,1451719772-040842,206076918-0000040842
Component 00000000085468,00003-00005-00006-85468,00001-00006-00008-45716,1937340742-085468,1329951945-085468,722563148-0085468,1470013322-085468,211990013-00085468,699965897-085468,1935032333-0000085468
Component 00000000091905,00002-00008-91905,00003-00002-00001-102363,4070743-091905,785342988-091905,1566615233-0091905,314810803-091905,703416872-00091905,997916504-091905,862183100-0000091905
Component 00000000103651,00001-00002-00002-103651,00003-00004-00006-60638,643627479-103651,878148169-103651,1112668859-0103651,1280462709-103651,107859259-00103651,1163202364-103651,1018532631-0000103651
Component 00000000046962,00002-00006-00006-46962,00003-00001-00002-79458,1806462514-046962,1238435914-046962,670409314-0046962,26976178-046962,719625531-00046962,310989478-046962,564828234-0000046962
Component 00000000083820,00002-00009-83820,,1584517614-083820,1663185602-083820,1741853590-0083820,1104947738-083820,711607798-00083820,1065613744-083820,387772014-0000083820
Component 00000000082237,00002-00001-00012-82237,00003-00005-00003-78783,1271508766-082237,1129081119-082237,986653472-0082237,1879960651-082237,444615239-00082237,877432651-082237,96694831-0000082237
Component 00000000076397,00002-00006-00009-76397,00003-00005-00012-38778,275900300-076397,1303699669-076397,184015391-0076397,1805787639-076397,961758088-00076397,218146131-076397,1489978995-0000076397
Component 00000000070096,00001-00005-70096,00003-00001-00006-109453,1435442385-070096,2129558130-070096,676190228-0070096,1814059489-070096,490964411-00070096,393259793-070096,813920716-0000070096
Component 00000000093751,00001-00008-93751,00004-00006-00008-30519,407806465-093751,1871283129-093751,1187276146-0093751,519464318-093751,1792015586-00093751,1935209633-093751,753596639-0000093751
Component 00000000034053,00003-00005-00006-34053,00002-00006-00008-88577,1080178473-034053,496264465-034053,2059834104-0034053,677636496-034053,1449722889-00034053,969593500-034053,1556159259-0000034053
Component 00000000054786,00001-00004-00004-54786,00002-00005-00012-51427,273359938-054786,1145710462-054786,2018060986-0054786,1780171059-054786,1713385733-00054786,1343995797-054786,556918674-0000054786
Component 00000000026098,00003-00002-00007-26098,00002-00003-35997,2079821048-026098,1260026861-026098,440232674-0026098,2048250448-026098,1852254089-00026098,1384405718-026098,892592837-0000026098
Component 00000000071187,00002-00004-00012-71187,00003-00001-16458,1235839576-071187,1054590206-071187,873340836-0071187,1035179719-071187,1941426569-00071187,1125804404-071187,1161185708-0000071187
Component 00000000057928,00003-00003-57928,00004-00003-00010-15844,515936575-057928,1238709521-057928,1961482467-0057928,1210686104-057928,1891788668-00057928,849299631-057928,330738989-0000057928
Component 00000000098765,00002-00004-98765,00001-00002-00008-47406,1249278638-098765,703726809-098765,158174980-0098765,1633560519-098765,66352370-00098765,832594610-098765,1770891026-0000098765
Component 00000000063886,00001-00004-00004-63886,00003-00002-00005-59103,1321246585-063886,2090102785-063886,711475338-0063886,2103550286-063886,406752933-00063886,1719122186-063886,1532829828-0000063886
Component 00000000089376,00001-00001-89376,00004-00001-31564,1065078446-089376,13631983-089376,1109669167-0089376,535790695-089376,1498055716-00089376,2135255750-089376,736549757-0000089376
Component 00000000100741,00001-00004-00004-100741,00003-102700,1866785231-100741,1413107472-100741,959429713-0100741,264508566-100741,385413714-00100741,1565089269-100741,2027170142-0000100741
Component 00000000072908,00003-00003-00004-72908,00006-00007-64630,2091371242-072908,965020630-072908,1986153665-0072908,1150457735-072908,339759854-00072908,1713633041-072908,612085678-0000072908
Component 00000000013782,00002-00006-00002-13782,00003-00001-00001-15198,2069682099-013782,830621537-013782,1739044622-0013782,2104786958-013782,1857638827-00013782,576833592-013782,894841191-0000013782
Component 00000000108474,00004-00002-00002-108474,00006-00009-72120,310861615-108474,1604152765-108474,749960268-0108474,758456627-108474,734451818-00108474,111811052-108474,1017596362-0000108474
Component 00000000077792,00002-00001-77792,00002-00001-00005-77862,1832300276-077792,1719722753-077792,1607145230-0077792,1740999528-077792,156403496-00077792,723546466-077792,602744764-0000077792
Component 00000000120658,00003-00006-00005-120658,00003-00006-00012-42678,755664339-120658,2102705806-120658,1302263626-0120658,588924255-120658,296167861-00120658,989145345-120658,508423898-0000120658
Component 00000000026387,00002-00004-00010-26387,00003-00005-00011-121028,483868351-026387,715270527-026387,946672703-0026387,969455652-026387,1959928419-00026387,853754564-026387,574499658-0000026387
Component 00000000118269,00004-00004-00008-118269,00002-00006-00002-99322,1307973801-118269,1522978071-118269,1737982341-0118269,998262661-118269,2070724958-00118269,890760526-118269,2067706547-0000118269
Component 00000000061574,00004-00002-00006-61574,00004-00006-00007-99119,1967655760-061574,1323651483-061574,679647206-0061574,1871961207-061574,797015298-00061574,1120221522-061574,501532349-0000061574
Component 00000000052426,00001-00003-00010-52426,00001-00009-108871,1348658577-052426,1885606225-052426,275070226-0052426,1620815741-052426,1083561148-00052426,1352341917-052426,272823499-0000052426
Component 00000000069674,00004-00003-00007-69674,00002-00001-00011-97602,837613455-069674,755631139-069674,673648823-0069674,1156438423-069674,1566350003-00069674,1197429581-069674,1845952043-0000069674
Component 00000000026727,00002-00001-00012-26727,00002-00002-00008-7002,850958238-026727,1864250077-026727,730058269-0026727,1677230372-026727,905738471-00026727,96842629-026727,324421972-0000026727
Component 00000000062591,00001-00004-00009-62591,00004-00005-100755,1618514256-062591,1001746596-062591,384978936-0062591,1770053804-062591,558924810-00062591,2078437634-062591,2115435513-0000062591
Component 00000000026332,00002-00005-00007-26332,00002-00002-00009-119492,220478407-026332,994780373-026332,1769082339-0026332,1266901759-026332,1690359223-00026332,879750776-026332,542575505-0000026332
Component 00000000064870,00001-64870,00003-00001-00006-86703,2076074117-064870,1168757023-064870,261439929-0064870,1020867998-064870,1262486174-00064870,1474526545-064870,1471064961-0000064870
Component 00000000101387,00002-00006-101387,00002-00002-00008-120752,1962493282-101387,1923617482-101387,1884741682-0101387,77016982-101387,271395982-00101387,96454882-101387,1951273774-0000101387
Component 00000000092480,00003-00011-92480,00005-00011-118480,398822814-092480,830690899-092480,1262558984-0092480,943330290-092480,931473512-00092480,1801138071-092480,534764748-0000092480
Component 00000000016616,00001-00005-00002-16616,00003-00005-00010-94533,2146289723-016616,816073080-016616,1633340084-0016616,981550124-016616,1190182398-00016616,572916622-016616,1228127346-0000016616
Component 00000000074259,00004-00003-00003-74259,00005-00006-102485,1411167217-074259,1453384161-074259,1495601105-0074259,1311205354-074259,1100120634-00074259,1290096882-074259,1710032568-0000074259
Component 00000000117257,00002-00010-117257,00003-00001-00012-70953,457198231-117257,1669506121-117257,734330364-0117257,1272072427-117257,1652983918-00117257,665918482-117257,1896152865-0000117257
Component 00000000076655,00005-00007-76655,00004-00006-00004-46024,906497426-076655,1848099498-076655,642217923-0076655,1477041331-076655,1063998265-00076655,1006240295-076655,463110319-0000076655
Component 00000000049712,00002-00005-49712,00003-00004-00006-32883,1673229731-049712,340234449-049712,1154722814-0049712,1447467964-049712,1669993433-00049712,2113965605-049712,1445168996-0000049712
Component 00000000035664,00004-00006-00005-35664,00001-00012-10165,1623524380-035664,1271017022-035664,918509664-0035664,1706786693-035664,1321839836-00035664,1883040372-035664,1784340149-0000035664
Component 00000000102236,00001-00001-00004-102236,00003-00005-00012-21033,1303072727-102236,1980439348-102236,510322322-0102236,869357317-102236,1777491506-00102236,1604415830-102236,810868639-0000102236
Component 00000000068501,00001-00006-00004-68501,00003-00005-00004-64783,796420070-068501,835887474-068501,875354878-0068501,563105517-068501,365768497-00068501,543371815-068501,1660275778-0000068501
Component 00000000047309,00004-00003-00002-47309,00001-00006-89160,235087755-047309,204259313-047309,173430871-0047309,887391965-047309,1041534175-00047309,902806186-047309,511839538-0000047309
Component 00000000039882,00002-00003-00011-39882,00005-00011-4730,869936752-039882,265575355-039882,1808697605-0039882,549438232-039882,1423761570-00039882,1925360754-039882,226109689-0000039882
Component 00000000034298,00003-00005-00004-34298,00003-00006-00003-95423,1274920927-034298,544210365-034298,1960983450-0034298,195197022-034298,1701266185-00034298,560552303-034298,1720659070-0000034298
Component 00000000013992,00002-00006-00004-13992,00003-00003-21063,637557795-013992,163929144-013992,1837784140-0013992,215146515-013992,435806123-00013992,1525702664-013992,1653839143-0000013992
Component 00000000105547,00002-00001-105547,00002-00011-113722,1173039567-105547,1289675118-105547,1406310669-0105547,1461154673-105547,877976918-00105547,329095074-105547,1887210114-0000105547
Component 00000000057319,00004-00003-00002-57319,00004-00003-00006-122349,26826727-057319,906733223-057319,1786639719-0057319,1900102490-057319,1795537304-00057319,1460149242-057319,160645717-0000057319
Component 00000000045875,00004-00011-45875,00002-00001-48972,697832069-045875,1798965687-045875,752615658-0045875,415721367-045875,1352504218-00045875,2012638205-045875,1207986910-0000045875
Component 00000000045559,00004-00003-00007-45559,00001-00002-00004-40161,356060142-045559,1608220641-045559,712897493-0045559,2030044051-045559,64208850-00045559,330221978-045559,327195500-0000045559
Component 00000000118559,00004-00012-118559,00002-00005-00008-107427,350736034-118559,1619710519-118559,741201357-0118559,692714617-118559,790293133-00118559,1131969198-118559,289243598-0000118559
Component 00000000025825,00002-00007-25825,00004-00001-00009-105309,735735357-025825,794961128-025825,854186899-0025825,386959780-025825,90830925-00025825,1431088718-025825,1453230397-0000025825
Component 00000000026941,00001-00005-00005-26941,00004-00004-00002-12989,1686712774-026941,1455123931-026941,1223535088-0026941,118330300-026941,1276274515-00026941,1307866545-026941,1814610030-0000026941
Component 00000000081905,00005-00005-81905,00001-00006-00009-69481,1086586633-081905,91072663-081905,1243042340-0081905,48799322-081905,731401878-00081905,546556307-081905,1834488101-0000081905
Component 00000000028706,00001-00006-00002-28706,00003-00006-00005-62418,1911843447-028706,1825003290-028706,1738163133-0028706,921321303-028706,1355522088-00028706,2038483205-028706,149338517-0000028706
Component 00000000052779,00004-00006-00012-52779,00001-00003-00009-72796,1736678622-052779,1210240489-052779,683802356-0052779,900491112-052779,1385198130-00052779,89968355-052779,1544281357-0000052779
Component 00000000110451,00001-00005-00003-110451,00001-00004-00005-3931,1333179371-110451,1465707491-110451,1598235611-0110451,1318342250-110451,655701650-00110451,1252078190-110451,257140238-0000110451
Component 00000000023071,00001-00006-00009-23071,00002-00007-28217,1435673899-023071,1123089903-023071,810505907-0023071,1307735622-023071,723171955-00023071,1464027620-023071,1119496341-0000023071
Component 00000000118732,00002-00005-00003-118732,00002-00003-112310,895744605-118732,1836484089-118732,629739926-0118732,1424452992-118732,1015722866-00118732,954083250-118732,1698304655-0000118732
Component 00000000050450,00001-00010-50450,00001-00001-00008-53516,398165597-050450,574871259-050450,751576921-0050450,378455616-050450,1642410953-00050450,290102785-050450,317108613-0000050450
Component 00000000013288,00003-00002-00002-13288,00003-00004-00005-1383,2010507553-013288,981075529-013288,2099127152-0013288,1475178270-013288,179887449-00013288,1989894282-013288,1970695165-0000013288
Component 00000000074030,00005-00008-74030,00003-00011-96068,388680500-074030,866682508-074030,1344684516-0074030,2096941418-074030,1854415025-00074030,1857940414-074030,914396049-0000074030
Component 00000000033982,00002-00004-33982,00002-00001-00006-86612,734844523-033982,11090896-033982,1434820916-0033982,1066273789-033982,390074630-00033982,354408779-033982,936865906-0000033982
Component 00000000036453,00003-00004-00001-36453,00004-32270,1359798666-036453,786404430-036453,213010194-0036453,1467465631-036453,39469517-00036453,1754162749-036453,1012883550-0000036453
Component 00000000085890,00012-85890,00001-00001-00007-57506,1485479594-085890,1441571612-085890,1397663630-0085890,1503426114-085890,1722966024-00085890,1525380105-085890,1483582178-0000085890
Component 00000000101048,00003-00003-00012-101048,00001-00003-00003-111296,193725525-101048,387770296-101048,581815067-0101048,2088704154-101048,1118480299-00101048,917939945-101048,1404264963-0000101048
Component 00000000022444,00004-00002-00006-22444,00001-00008-10655,2096870546-022444,12253742-022444,75120585-0022444,1924686961-022444,1610352746-00022444,819511716-022444,1790920233-0000022444
Component 00000000060911,00001-00004-00006-60911,00003-00004-00011-99383,1200269335-060911,1164886492-060911,1129503649-0060911,557943273-060911,734857488-00060911,1649376518-060911,145612499-0000060911
Component 00000000112907,00002-00004-00002-112907,00004-00002-00008-72704,1794927142-112907,191334313-112907,735225131-0112907,256344404-112907,1831857608-00112907,2131882642-112907,2132827800-0000112907
Component 00000000040030,00004-00003-40030,00003-00002-00003-8843,701555041-040030,659866838-040030,618178635-0040030,1900902666-040030,2109343681-00040030,848004944-040030,2093785882-0000040030
Component 00000000004813,00003-00004-00003-4813,00002-00005-00010-11177,114641953-004813,1268977087-004813,275828574-0004813,265321130-004813,936096401-00004813,1835637210-004813,331978679-0000004813
Component 00000000084762,00002-00006-00002-84762,00003-00010-25945,1985166272-084762,1108897583-084762,232628894-0084762,1362065972-084762,1448442123-00084762,726458493-084762,1416835774-0000084762
Component 00000000021948,00003-00003-00004-21948,00003-00008-120323,785972827-021948,1607271203-021948,281085932-0021948,1964238417-021948,5230184-00021948,1553589229-021948,112259704-0000021948
Component 00000000109088,00003-00005-109088,00004-00004-00001-52014,1702205553-109088,2072048060-109088,294406920-0109088,1385956143-109088,1684227255-00109088,127293066-109088,1972022865-0000109088
Component 00000000039267,00002-00004-00007-39267,00002-00004-00008-62122,698990740-039267,1537360013-039267,228245639-0039267,1631453011-039267,1734573940-00039267,138526551-039267,1655899723-0000039267
Component 00000000015455,00006-00011-15455,00001-00003-00002-62051,421374997-015455,950467843-015455,1479560689-0015455,312574264-015455,1962077328-00015455,48027841-015455,1601486005-0000015455
Component 00000000087237,00002-00003-00007-87237,00004-00004-00001-95239,1075140787-087237,83370450-087237,1239083760-0087237,1292661500-087237,1956545891-00087237,714804845-087237,775453431-0000087237
Component 00000000060325,00006-00005-60325,,1608814710-060325,1478913172-060325,1349011634-0060325,1751041058-060325,253065101-00060325,1815991827-060325,1478878059-0000060325
Component 00000000061407,00002-00003-00008-61407,00005-113230,643524623-061407,1823261982-061407,855515694-0061407,952469889-061407,1496234035-00061407,1436343033-061407,880604738-0000061407
Component 00000000045778,00003-00005-00005-45778,00002-00002-00001-63142,436046721-045778,1935279363-045778,1287028358-0045778,134385860-045778,1228157238-00045778,1532253186-045778,465182227-0000045778
Component 00000000056369,00004-00005-00001-56369,00001-00001-00003-95761,927159896-056369,445385640-056369,2111095031-0056369,1183428597-056369,1444816230-00056369,1424315725-056369,414744050-0000056369
Component 00000000077675,00003-77675,00002-00006-00009-74577,962441352-077675,351445740-077675,1887933775-0077675,1393925228-077675,153935994-00077675,1699423034-077675,293369770-0000077675
Component 00000000039068,00003-00001-00003-39068,00003-00001-00007-105463,1328049132-039068,249433891-039068,1318302297-0039068,1628559295-039068,579184559-00039068,1094125092-039068,1292867521-0000039068
Component 00000000072658,00003-00005-00001-72658,00001-00005-57660,53706713-072658,204319386-072658,354932059-0072658,1989712236-072658,1236648871-00072658,840664076-072658,339433682-0000072658
Component 00000000042398,00003-00006-00005-42398,00001-00004-00012-75191,96486251-042398,1585034663-042398,926099428-0042398,1424123882-042398,423832763-00042398,679849676-042398,1360630088-0000042398
Component 00000000007563,00003-00003-00010-7563,00003-00004-00008-88148,26879303-007563,1335065871-007563,495768792-0007563,1196902088-007563,1098420189-00007563,542808804-007563,2065886536-0000007563
Component 00000000061282,00002-00004-61282,00001-00001-00002-109761,1021973344-061282,1765999075-061282,362541159-0061282,1673741122-061282,101096114-00061282,227986433-061282,1798878072-0000061282
Component 00000000107875,00005-00001-107875,00003-00002-00004-55358,1601067909-107875,1931935178-107875,115318800-0107875,1542003103-107875,2035150405-00107875,302827645-107875,800883463-0000107875
Component 00000000118168,00003-00001-00011-118168,00002-00002-00011-96497,742447150-118168,1477677868-118168,65424939-0118168,2041398621-118168,512728678-00118168,1673783262-118168,698402072-0000118168
Component 00000000039175,00003-00006-39175,00002-108472,2105643552-039175,84620858-039175,211081811-0039175,722807008-039175,90502243-00039175,1733318355-039175,1544133130-0000039175
Component 00000000009640,00001-00007-9640,00003-00005-00007-22783,1515472203-009640,1972556548-009640,282157246-0009640,1135484642-009640,997546564-00009640,1980684293-009640,1095466346-0000009640
Component 00000000040779,00004-00004-00011-40779,00003-00004-29813,1297681260-040779,1814793758-040779,184422609-0040779,607833649-040779,169754806-00040779,349277400-040779,1629239137-0000040779
Component 00000000056778,00003-00001-00007-56778,00001-00004-00009-107181,2138778482-056778,947713291-056778,1904131747-0056778,1280433364-056778,793308378-00056778,802224136-056778,389893580-0000056778
Component 00000000115235,00001-00003-115235,00004-00003-14339,1114895361-115235,1307743499-115235,1500591637-0115235,1878095466-115235,913854776-00115235,1781671397-115235,345048744-0000115235
Component 00000000042827,00002-00001-00005-42827,00001-87165,1141641642-042827,280231709-042827,1566305423-0042827,1239191008-042827,1251273379-00042827,596154151-042827,1822921792-0000042827
Component 00000000062865,00005-00010-62865,,2032549811-062865,191326970-062865,497587776-0062865,1853813373-062865,322509343-00062865,1700682970-062865,599152490-0000062865
Component 00000000095925,00004-00011-95925,00001-00007-91371,1220226671-095925,171895797-095925,1271048570-0095925,1915786810-095925,714990239-00095925,292468600-095925,1979823168-0000095925
Component 00000000029887,00002-00004-29887,00004-00004-00012-95484,262905529-029887,848304665-029887,1433703801-0029887,737476214-029887,2105447828-00029887,444776646-029887,1212889008-0000029887
Component 00000000040430,00005-40430,00002-00006-00010-20082,1566939563-040430,1971642544-040430,228861878-0040430,793939495-040430,917908237-00040430,1665329828-040430,1590034295-0000040430
Component 00000000038857,00002-38857,00001-00011-61475,1851718086-038857,158373313-038857,612512187-0038857,255133358-038857,131922635-00038857,28063921-038857,1867025435-0000038857
Component 00000000023154,00004-00005-00001-23154,00004-00006-00008-30519,1497185001-023154,1939813541-023154,234958434-0023154,1489832721-023154,1424173668-00023154,1268518451-023154,704471805-0000023154
Component 00000000046063,00003-00003-00004-46063,00003-00003-00004-54253,804136663-046063,403693293-046063,3249923-0046063,709986041-046063,564719244-00046063,910207726-046063,1214189462-0000046063
Component 00000000030332,00002-00001-00003-30332,00005-00002-107980,148802205-030332,1991508863-030332,1686731874-0030332,1473245591-030332,849646889-00030332,551892262-030332,1472060833-0000030332
Component 00000000096904,00004-00003-00002-96904,00003-00005-00007-118788,401669193-096904,1451849504-096904,354546168-0096904,869548572-096904,2061097958-00096904,1418200240-096904,358054938-0000096904
Component 00000000013546,00001-00001-13546,00004-00003-00006-8599,621146115-013546,47616725-013546,1621570982-0013546,722258111-013546,1442421414-00013546,1009022806-013546,185524481-0000013546
Component 00000000037742,00002-00005-00003-37742,00004-00003-00003-68344,865994473-037742,825524026-037742,785053579-0037742,2124403264-037742,179271852-00037742,1070896664-037742,1017156011-0000037742
Component 00000000045332,00002-00001-45332,00002-00005-33805,397574516-045332,469163206-045332,540751896-0045332,1722142334-045332,1364198884-00045332,1686347989-045332,1327149514-0000045332
Component 00000000100177,00002-00012-100177,00003-00006-86950,931217438-100177,1367402835-100177,1803588232-0100177,1685114546-100177,1651671208-00100177,393280024-100177,1668596414-0000100177
Component 00000000023611,00001-00003-23611,00001-00002-00001-32566,36685997-023611,1205165411-023611,226161178-0023611,873362754-023611,1473416625-00023611,289123047-023611,1277069876-0000023611
Component 00000000089420,00002-00006-89420,00003-00005-00007-32793,1894294909-089420,868157434-089420,1989503606-0089420,445009429-089420,1280729510-00089420,2031819990-089420,1743140276-0000089420
Component 00000000048587,00002-00006-48587,00003-00004-00005-1383,432901381-048587,415751812-048587,398602243-0048587,674889108-048587,760636953-00048587,1757205716-048587,1597822696-0000048587
Component 00000000083173,00003-00006-00012-83173,00001-00006-00009-104971,1869416200-083173,1536194877-083173,1202973554-0083173,1814309387-083173,1332932355-00083173,907178225-083173,403371594-0000083173
Component 00000000075798,00003-00002-00008-75798,00001-00005-00002-22076,1176554095-075798,1891019780-075798,458001818-0075798,394659642-075798,1117298511-00075798,1111168623-075798,155338459-0000075798
Component 00000000087727,00002-00003-00003-87727,00003-00001-00010-108963,1606040277-087727,1682560358-087727,1759080439-0087727,2096038735-087727,1713438330-00087727,984036871-087727,511207667-0000087727
Component 00000000029393,00003-29393,00002-00003-00010-81637,576704940-029393,807716387-029393,1038727834-0029393,2117083708-029393,962026473-00029393,927836161-029393,719930679-0000029393
