Component 00000000007798,00003-00011-7798,00002-00012-94717,1462395347-007798,1224383759-007798,986372171-0007798,656251564-007798,1846309504-00007798,775257358-007798,703875137-0000007798
Component 00000000088522,00002-00005-88522,00002-00003-00003-7647,1450264177-088522,1587047828-088522,1723831479-0088522,568078486-088522,2031643878-00088522,1573428484-088522,375846270-0000088522
Component 00000000091209,00004-00006-00001-91209,00002-00005-82927,2107688130-091209,451393700-091209,942582917-0091209,1234303214-091209,925840776-00091209,2062450429-091209,785916382-0000091209
Component 00000000112090,00006-00004-112090,00002-00001-00007-49862,993011806-112090,1557671820-112090,2122331834-0112090,461735074-112090,1933402298-00112090,179405067-112090,366681185-0000112090
Component 00000000086967,00002-00006-00010-86967,00002-00005-00002-87687,743739500-086967,579897470-086967,416055440-0086967,1387335633-086967,59062136-00086967,1469256648-086967,953093655-0000086967
Component 00000000011016,00001-00005-00005-11016,00003-00005-00001-61283,586865683-011016,1964024494-011016,1193699658-0011016,1880816783-011016,1437473669-00011016,118495554-011016,1062056012-0000011016
Component 00000000061807,00002-00004-00005-61807,00004-00005-00010-894,1592276168-061807,1963121669-061807,186483523-0061807,1324671967-061807,1617928109-00061807,65507393-061807,1523509208-0000061807
Component 00000000120407,00002-00001-120407,00002-00001-00010-35617,373628616-120407,1834094401-120407,1147076539-0120407,1413000661-120407,553122677-00120407,1756509592-120407,5503617-0000120407
Component 00000000079122,00002-00001-00004-79122,00003-00010-115073,1586979253-079122,1299614834-079122,1012250415-0079122,1608448637-079122,897787085-00079122,678389023-079122,941989712-0000079122
Component 00000000091681,00001-00002-00005-91681,00004-00005-00007-96129,1565195841-091681,989005956-091681,412816071-0091681,463532006-091681,1196997784-00091681,1825368772-091681,504056457-0000091681
Component 00000000091647,00002-00003-00010-91647,00004-00004-00005-2839,305293164-091647,782360824-091647,1259428484-0091647,1968238204-091647,1730383551-00091647,1729704374-091647,1182265758-0000091647
Component 00000000015591,00001-00002-00004-15591,00003-00002-65858,1985809578-015591,1258141377-015591,530473176-0015591,2127382005-015591,1470755716-00015591,1417474282-015591,1722309414-0000015591
Component 00000000042218,00003-00001-00007-42218,00006-00003-70125,533787707-042218,1661487721-042218,641704088-0042218,1540147211-042218,196614435-00042218,976297204-042218,816015776-0000042218
Component 00000000020449,00004-00002-20449,00002-00008-28205,846247759-020449,621751177-020449,397254595-0020449,695581767-020449,1818064677-00020449,807830058-020449,1205767390-0000020449
Component 00000000108127,00002-00005-00006-108127,00003-00006-00005-62418,828354473-108127,1751198903-108127,526559686-0108127,489152741-108127,169897885-00108127,27730526-108127,223827314-0000108127
Component 00000000076253,00003-00002-00008-76253,00001-00001-00007-34756,423779815-076253,1999446329-076253,1427629196-0076253,1681678099-076253,245796470-00076253,893844842-076253,1280146012-0000076253
Component 00000000039968,00003-00005-00006-39968,00001-00005-7155,1326307363-039968,342046157-039968,1505268598-0039968,834279106-039968,1460617842-00039968,1326409709-039968,499244638-0000039968
Component 00000000099523,00003-00004-00008-99523,00001-00007-68621,1096649470-099523,97832806-099523,1246499789-0099523,2046165147-099523,597797526-00099523,398089832-099523,2112902767-0000099523
Component 00000000101369,00004-00002-00008-101369,00002-00004-00003-120292,813838874-101369,666533552-101369,519228230-0101369,111981698-101369,848508308-00101369,185634359-101369,702310825-0000101369
Component 00000000014394,00004-00002-00003-14394,00001-00005-32331,568151272-014394,1679896201-014394,644157483-0014394,1874430977-014394,610673626-00014394,244816689-014394,1449849580-0000014394
Component 00000000083994,00004-00001-00001-83994,00003-00006-00003-4423,1582712471-083994,1588082953-083994,1593453435-0083994,1843180848-083994,1816328438-00083994,1840495607-083994,667934199-0000083994
Component 00000000034044,00004-00003-00010-34044,00002-00001-00001-88362,1025619079-034044,696280638-034044,366942197-0034044,1158832043-034044,658040601-00034044,249759440-034044,52280666-0000034044
Component 00000000106684,00004-00004-00006-106684,00006-22015,133373334-106684,359304420-106684,585235506-0106684,353612770-106684,1371440987-00106684,240647227-106684,2119528117-0000106684
Component 00000000064688,00003-00001-64688,00003-00002-00007-81608,2036976200-064688,1085625626-064688,134275052-0064688,993629948-064688,1455415524-00064688,1469305235-064688,573072326-0000064688
Component 00000000076167,00002-76167,00002-00001-00005-32362,1001521691-076167,262583106-076167,1671128168-0076167,596480494-076167,2143689772-00076167,2039691610-076167,1659975645-0000076167
Component 00000000044650,00004-00008-44650,1436259974,247855430-044650,50041038-044650,1999710293-0044650,1391275653-044650,232863966-00044650,1490182849-044650,1747014460-0000044650
Component 00000000102542,00002-00006-00011-102542,00004-00003-00011-29599,969770172-102542,2057027680-102542,996801541-0102542,14668135-102542,1020831536-00102542,1618523028-102542,697651868-0000102542
Component 00000000061622,00002-00001-00002-61622,00002-00002-00011-119247,1410074233-061622,1315939104-061622,1221803975-0061622,65745947-061622,536421592-00061622,1186555335-061622,2074625841-0000061622
Component 00000000018874,00004-00002-00011-18874,1436259974,1238628812-018874,1717593674-018874,49074889-0018874,846104502-018874,598763839-00018874,606622071-018874,1191044282-0000018874
Component 00000000067873,00003-00001-67873,00001-00006-00005-47221,177678580-067873,1699143577-067873,1073124927-0067873,2028028760-067873,863154716-00067873,193554438-067873,1763572781-0000067873
Component 00000000046197,00002-00004-00008-46197,00004-00006-00010-58029,813711829-046197,883886570-046197,954061311-0046197,995961297-046197,645087592-00046197,2034615750-046197,642640492-0000046197
Component 00000000043864,00004-00002-00002-43864,00004-00004-00006-116239,378792902-043864,1047749818-043864,1716706734-0043864,610948623-043864,1561131337-00043864,276470165-043864,1447741866-0000043864
Component 00000000044312,00002-00002-00008-44312,00002-00009-5222,1403900386-044312,255822598-044312,1255228457-0044312,1556702490-044312,854640489-00044312,2130741384-044312,1056548834-0000044312
Component 00000000030092,00002-00006-00010-30092,00001-00006-00008-101226,921555891-030092,1800649730-030092,532259922-0030092,1681675966-030092,1581174065-00030092,168387223-030092,210888572-0000030092
Component 00000000031994,00004-00004-00001-31994,00003-00001-00008-30948,1551347175-031994,1660415580-031994,1769483985-0031994,1472455700-031994,927113675-00031994,344179674-031994,1743979087-0000031994
Component 00000000015515,00003-00006-15515,00003-00001-00008-63708,284154614-015515,2140177986-015515,1848717711-0015515,106974982-015515,1564276357-00015515,1326446943-015515,522279745-0000015515
Component 00000000019559,00004-00001-00007-19559,00002-00006-00002-26977,57237672-019559,863651728-019559,1670065784-0019559,513613742-019559,776510756-00019559,110406714-019559,998825304-0000019559
Component 00000000020562,00002-00003-00009-20562,00004-00006-00004-81514,1806688455-020562,897430236-020562,2135655664-0020562,1731079597-020562,1982403398-00020562,1111966883-020562,1041382741-0000020562
Component 00000000100173,00003-00003-00008-100173,00002-00006-86827,107632289-100173,64570356-100173,21508423-0100173,1240354009-100173,1455663674-00100173,188143152-100173,1997624016-0000100173
Component 00000000028348,00003-00005-00008-28348,00004-00006-52409,1312707378-028348,1140794148-028348,968880918-0028348,1564850311-028348,276932814-00028348,1650806926-028348,1802050743-0000028348
Component 00000000104499,00004-00003-00005-104499,00001-00004-00009-84431,930756674-104499,1877562358-104499,676884395-0104499,1753675761-104499,1314614635-00104499,1280272919-104499,455950289-0000104499
Component 00000000027028,00003-00001-00001-27028,00003-00001-15445,1603381951-027028,945840259-027028,288298567-0027028,1924864594-027028,917605760-00027028,106151793-027028,973018991-0000027028
Component 00000000093076,00001-00004-00009-93076,00002-00003-00002-11637,1612362684-093076,1156479358-093076,700596032-0093076,976857843-093076,1108790826-00093076,1204799506-093076,2060726271-0000093076
Component 00000000015372,00002-00006-15372,00003-00001-00009-59718,288965026-015372,164012262-015372,39059498-0015372,671206913-015372,1295970733-00015372,733683295-015372,1139007541-0000015372
Component 00000000015899,00004-00002-15899,00003-00004-74455,1176912561-015899,1944575544-015899,564754880-0015899,827603414-015899,1284255793-00015899,1517513746-015899,1643192014-0000015899
Component 00000000085493,00003-00002-00005-85493,00003-00004-00009-46393,106965844-085493,2014959282-085493,1775469073-0085493,302850766-085493,1500301811-00085493,1496337694-085493,1050306950-0000085493
Component 00000000044410,00002-00002-44410,00005-00003-7985,1397938597-044410,2116299428-044410,687176612-0044410,804958725-044410,1508121864-00044410,1519520133-044410,1219127203-0000044410
Component 00000000077115,00003-00012-77115,00003-00004-00011-58888,647796461-077115,98267843-077115,1696222872-0077115,1912945899-077115,365621695-00077115,40226561-077115,1800367676-0000077115
Component 00000000038898,00003-00006-00002-38898,00005-00011-100735,1153717003-038898,817999318-038898,482281633-0038898,977536633-038898,508641411-00038898,71653652-038898,1602670563-0000038898
Component 00000000020618,00003-00003-20618,00001-00003-00007-83051,91923714-020618,1605375034-020618,971342707-0020618,479868736-020618,1502546724-00020618,1870626723-020618,901942412-0000020618
Component 00000000057080,00002-00010-57080,00001-00004-115626,880965513-057080,691061645-057080,501157777-0057080,260562503-057080,1210081843-00057080,355514437-057080,1573232-0000057080
Component 00000000088934,00004-00006-00001-88934,00001-00004-00003-19191,1331751513-088934,244485033-088934,1304702200-0088934,138934761-088934,1280299867-00088934,682568001-088934,1212859684-0000088934
Component 00000000034661,00001-00004-00003-34661,00001-00002-00008-105646,1927421-034661,1840935282-034661,1532459496-0034661,73237329-034661,1615616259-00034661,227475222-034661,977739110-0000034661
Component 00000000111840,00001-00001-111840,1436259974,1820122668-111840,614834441-111840,1557029861-0111840,271960304-111840,2003434145-00111840,1948346241-111840,855849771-0000111840
Component 00000000025986,00001-00002-00012-25986,00003-00012-109823,1431615168-025986,1416981388-025986,1402347608-0025986,721876838-025986,795045738-00025986,729193728-025986,1238810511-0000025986
Component 00000000051733,00003-00003-00006-51733,00002-00002-00005-89497,1940953248-051733,1650452691-051733,1359952134-0051733,1810319939-051733,1115339077-00051733,881828394-051733,1947815696-0000051733
Component 00000000012851,00001-00006-00007-12851,00002-00003-00002-112647,52266281-012851,1102097336-012851,4444744-0012851,503206744-012851,1696502410-00012851,1052033040-012851,608010488-0000012851
Component 00000000094547,00002-00005-00011-94547,00004-00008-52840,1404883880-094547,1908770344-094547,265173161-0094547,73573620-094547,1849108594-00094547,1969114035-094547,1148696649-0000094547
Component 00000000115549,00004-00005-115549,00001-00002-00011-23151,989276046-115549,454830605-115549,2067868811-0115549,1912217745-115549,289477656-00115549,1105698642-115549,1065701074-0000115549
Component 00000000065973,00003-00005-00011-65973,00004-00003-00004-117589,699190628-065973,1683800307-065973,520926339-0065973,134378002-065973,1653780548-00065973,715814986-065973,78249351-0000065973
Component 00000000051307,00002-00004-00009-51307,00002-00010-77555,736184575-051307,178784053-051307,1768867178-0051307,1619546669-051307,111581985-00051307,1898246930-051307,635796227-0000051307
Component 00000000084571,00001-00004-00006-84571,00001-00005-00005-20571,575046184-084571,1420794784-084571,119059737-0084571,791663991-084571,857888285-00084571,368789691-084571,381663699-0000084571
Component 00000000008332,00002-00002-00012-8332,00003-00006-109668,2095841045-008332,326935717-008332,705514036-0008332,55794870-008332,310386922-00008332,940247534-008332,1943830661-0000008332
Component 00000000014755,00006-14755,00002-00005-42432,1710653496-014755,1236966111-014755,763278726-0014755,1285393617-014755,1506346895-00014755,448495486-014755,1173004520-0000014755
Component 00000000110687,00002-00003-00005-110687,00003-00007-10563,718867007-110687,597981195-110687,477095383-0110687,1298356066-110687,1902785126-00110687,1358798972-110687,1186812775-0000110687
Component 00000000026696,00001-00005-00007-26696,00003-00004-00007-6143,1489046001-026696,1462901215-026696,1436756429-0026696,221023880-026696,351747810-00026696,234096273-026696,1175081283-0000026696
Component 00000000118293,00003-00006-118293,00003-00003-00002-99998,1530559944-118293,1708221672-118293,1885883400-0118293,1557219164-118293,668910524-00118293,1468388300-118293,400379822-0000118293
Component 00000000116583,00003-00005-00012-116583,00002-00003-64080,2027507916-116583,1308531214-116583,589554512-0116583,1516876221-116583,816792437-00116583,1876364572-116583,1652996741-0000116583
Component 00000000085381,00001-00002-00010-85381,00001-00001-00010-43261,1403461041-085381,370290095-085381,1484602796-0085381,686794041-085381,1557681477-00085381,1203379514-085381,1801548101-0000085381
Component 00000000061114,00004-00004-00001-61114,00003-00005-00006-105033,1785495178-061114,1675538859-061114,1565582540-0061114,1821322824-061114,223620772-00061114,802559160-061114,270706591-0000061114
Component 00000000005663,00003-00008-5663,00001-00004-00010-34941,1286738034-005663,171517835-005663,1203781283-0005663,1959391381-005663,1093041435-00005663,1443259657-005663,1790135329-0000005663
Component 00000000005826,00001-00002-00002-5826,00001-00001-00009-39516,575597118-005826,1815894384-005826,908708003-0005826,600472403-005826,841437014-00005826,2127807417-005826,1850234172-0000005826
Component 00000000065850,00001-00005-65850,00001-00002-00011-114151,559931434-065850,195008583-065850,1977569379-0065850,1114784160-065850,791914768-00065850,223503762-065850,1964278288-0000065850
Component 00000000075701,00001-00003-00002-75701,00002-00010-19315,647271314-075701,611986944-075701,576702574-0075701,1083463016-075701,1259884866-00075701,1101105201-075701,167732873-0000075701
Component 00000000108632,00002-00006-00004-108632,00001-00003-00010-76541,1823529362-108632,1286842817-108632,750156272-0108632,490293870-108632,1026242948-00108632,1832378966-108632,1300524486-0000108632
Component 00000000092951,00001-00005-00001-92951,00003-00006-00004-8168,723637913-092951,2141504752-092951,1411887944-0092951,1844444724-092951,1197561470-00092951,61769481-092951,1734933351-0000092951
Component 00000000083298,00003-00005-00007-83298,00004-00006-00008-10499,604789710-083298,1027431155-083298,1450072600-0083298,701805146-083298,736081568-00083298,1564226247-083298,1304946462-0000083298
Component 00000000030298,00003-00002-00008-30298,00004-00006-107029,470404862-030298,1703037410-030298,788186311-0030298,123541324-030298,402829525-00030298,1654708697-030298,788419521-0000030298
Component 00000000013910,00001-13910,00005-00010-19185,406893188-013910,1390309317-013910,226241799-0013910,1931677034-013910,1309563683-00013910,366227146-013910,1876580990-0000013910
Component 00000000034567,00002-00001-34567,00005-00002-102975,817933695-034567,1863074127-034567,760730912-0034567,2115120766-034567,1184385900-00034567,1592550550-034567,1198572009-0000034567
Component 00000000067513,00003-00005-00004-67513,00001-00002-00010-37151,137661026-067513,1166388849-067513,47633025-0067513,1712578384-067513,863906563-00067513,124472649-067513,761327534-0000067513
Component 00000000106121,00001-00001-00002-106121,00001-00003-00004-6296,228594407-106121,2021943587-106121,1667809120-0106121,1306683757-106121,929872445-00106121,410009167-106121,471218653-0000106121
Component 00000000101235,00001-00004-101235,00001-00001-00010-116516,582489519-101235,506515451-101235,430541383-0101235,1192714515-101235,1572584855-00101235,1230701549-101235,542331777-0000101235
Component 00000000009594,00004-00004-9594,00004-00004-00005-21494,958356416-009594,1073352821-009594,1188349226-0009594,1166972941-009594,591990916-00009594,35732915-009594,1952358641-0000009594
Component 00000000061898,00003-00004-00005-61898,00003-00005-00012-97928,931684554-061898,179729048-061898,1575257189-0061898,969064512-061898,433874748-00061898,1345042265-061898,773555651-0000061898
Component 00000000096150,00005-00002-96150,00003-97695,428646972-096150,346380244-096150,264113516-0096150,733677958-096150,1145011598-00096150,774811322-096150,1767952635-0000096150
Component 00000000082522,00002-00006-00011-82522,00003-86765,446453130-082522,442224273-082522,437995416-0082522,1315095389-082522,1336239674-00082522,243467994-082522,50078859-0000082522
Component 00000000066131,00001-00002-66131,00001-00006-00002-121981,1151077466-066131,1830676020-066131,362790927-0066131,1899352630-066131,648843507-00066131,1559553353-066131,2080522418-0000066131
Component 00000000037448,00003-00005-00008-37448,00001-00004-60116,862146309-037448,60774509-037448,1406886356-0037448,650319655-037448,362211361-00037448,1051005555-037448,1655709600-0000037448
Component 00000000026136,00001-00005-00006-26136,00003-00003-00001-113998,766021479-026136,491051755-026136,216082031-0026136,314891747-026136,1689740367-00026136,452376609-026136,1293811513-0000026136
Component 00000000088583,00003-00005-00001-88583,00001-00006-9366,1036345302-088583,1922879067-088583,661929185-0088583,9818141-088583,2019600257-00088583,640293082-088583,139686571-0000088583
Component 00000000013882,00002-00001-00011-13882,00002-00002-17992,1376992607-013882,462222569-013882,1694936178-0013882,2107802351-013882,239201600-00013882,417703723-013882,586426904-0000013882
Component 00000000038333,00003-00001-00009-38333,00003-00004-00003-84893,2025007543-038333,2075162259-038333,2125316975-0038333,162543975-038333,2059254042-00038333,137466617-038333,216574002-0000038333
Component 00000000115595,00004-00012-115595,00001-00004-00001-24441,1820340308-115595,1948468531-115595,2076596754-0115595,518366359-115595,2025208891-00115595,1528044071-115595,1121837370-0000115595
Component 00000000012798,00003-00002-00006-12798,00004-00002-00002-111204,246649319-012798,449465023-012798,652280727-0012798,1493276375-012798,479197855-00012798,1391868523-012798,1836663358-0000012798
Component 00000000098041,00001-00006-00008-98041,00002-00006-00003-27082,1467087330-098041,535287803-098041,1750971923-0098041,298225034-098041,662255375-00098041,1837866621-098041,183189220-0000098041
Component 00000000057751,00001-00001-00005-57751,00001-00002-00007-10901,449090111-057751,2135536438-057751,1674499118-0057751,1711100208-057751,1868803161-00057751,1941618868-057751,1318627422-0000057751
Component 00000000117118,00003-00001-00001-117118,00002-00006-00007-67087,1431222238-117118,1416039932-117118,1400857626-0117118,694880397-117118,770791927-00117118,702471550-117118,557534172-0000117118
Component 00000000057618,00003-00001-00002-57618,00001-00005-7155,2130642745-057618,1100350520-057618,70058295-0057618,479851890-057618,1336345721-00057618,2068739826-057618,449599410-0000057618
Component 00000000023924,00004-00005-00004-23924,00004-00003-52104,1705069134-023924,1881756989-023924,2058444844-0023924,610753690-023924,1874798062-00023924,1596151586-023924,1711790911-0000023924
Component 00000000111482,00002-00007-111482,00003-00011-32823,1610269083-111482,285812002-111482,1108838568-0111482,724868241-111482,904702705-00111482,313354958-111482,400371064-0000111482
Component 00000000096996,00001-00004-00003-96996,00001-00002-00002-121396,1022753686-096996,852398142-096996,682042598-0096996,1350444390-096996,54738463-00096996,1435622162-096996,1406491868-0000096996
Component 00000000061780,00005-00004-61780,00001-00002-156,1679285671-061780,1732566028-061780,1785846385-0061780,1042157515-061780,775755730-00061780,2089259160-061780,1780021419-0000061780
Component 00000000002617,00002-00006-00004-2617,00003-00005-73195,83830759-002617,1071450326-002617,2059069893-0002617,1812481348-002617,1169350807-00002617,244929741-002617,358847797-0000002617
Component 00000000042157,00002-00003-00011-42157,00001-00004-00004-68436,861513582-042157,30206424-042157,1346382913-0042157,1345305712-042157,1206874208-00042157,1760959291-042157,1216447657-0000042157
Component 00000000060441,00001-00003-00004-60441,00002-00009-86212,282118450-060441,1512640662-060441,595679227-0060441,1980387263-060441,122743497-00060441,1365126157-060441,2041438048-0000060441
Component 00000000045696,00001-00001-45696,00002-00001-43967,2042850239-045696,1830177836-045696,1617505433-0045696,1391915105-045696,307793473-00045696,424509483-045696,2131707944-0000045696
Component 00000000025926,00001-00005-00004-25926,00003-00002-00008-108103,1451839518-025926,776722633-025926,101605748-0025926,1994667124-025926,1075284255-00025926,1258483743-025926,572082500-0000025926
Component 00000000068354,00004-00006-68354,00003-00006-00010-60668,2001233406-068354,121165112-068354,388580465-0068354,1012234321-068354,1822641203-00068354,1952268468-068354,689824141-0000068354
Component 00000000075389,00004-00006-00002-75389,00003-00007-10563,691186868-075389,1819203862-075389,799737209-0075389,1712919902-075389,367802226-00075389,1148911405-075389,486849959-0000075389
Component 00000000089837,00002-00006-00007-89837,00004-00004-00003-44489,1086632933-089837,937737933-089837,788842933-0089837,307676374-089837,1052151374-00089837,382123874-089837,34003656-0000089837
Component 00000000010157,00002-00004-10157,00004-00006-00003-37274,1887875820-010157,946605198-010157,5334576-0010157,1333407240-010157,1744793056-00010157,1804042551-010157,885528337-0000010157
Component 00000000048451,00001-00004-48451,00004-00008-121090,1385752969-048451,405821398-048451,1573373474-0048451,29970186-048451,634660747-00048451,1593677795-048451,81778059-0000048451
Component 00000000030396,00001-00002-00002-30396,00001-00003-00001-41926,984972888-030396,1892210422-030396,651964309-0030396,2036320347-030396,1795099971-00030396,1582701580-030396,691411861-0000030396
Component 00000000019528,00003-00005-00002-19528,00003-00005-52533,1421829438-019528,112295972-019528,950246153-0019528,186482100-019528,291698489-00019528,841248833-019528,65729227-0000019528
Component 00000000099587,00002-00005-00007-99587,00001-00002-00006-70401,284704297-099587,1577157998-099587,722128052-0099587,1765424856-099587,1745607292-00099587,45456182-099587,1251311575-0000099587
Component 00000000100663,00003-00003-00004-100663,00004-100520,566118601-100663,1020811459-100663,1475504317-0100663,1143885744-100663,1017905101-00100663,916539315-100663,771103175-0000100663
Component 00000000078031,00001-00002-00005-78031,00002-00003-84555,2007039116-078031,1476406631-078031,945774146-0078031,967425534-078031,1473104312-00078031,158999953-078031,2133364105-0000078031
Component 00000000060025,00004-60025,00001-00003-00004-74546,1788631637-060025,1354471808-060025,920311979-0060025,1132974577-060025,1156290075-00060025,276312668-060025,1887062643-0000060025
Component 00000000111080,00004-00008-111080,00004-00005-21585,430057790-111080,140291087-111080,1998008031-0111080,335016400-111080,1783849915-00111080,1553641575-111080,1897188901-0000111080
Component 00000000092664,00004-00005-92664,00003-00011-63,1726287431-092664,849749243-092664,2120694702-0092664,16374606-092664,104098252-00092664,454643700-092664,1163482440-0000092664
Component 00000000050630,00006-00008-50630,00002-00006-00004-58582,1403060131-050630,1761893732-050630,2120727333-0050630,552878780-050630,906194422-00050630,1447203803-050630,727742693-0000050630
Component 00000000028015,00001-28015,00002-00001-00012-43107,1964344126-028015,1543479923-028015,1122615720-0028015,1953524927-028015,1910362295-00028015,1090215205-028015,1568446936-0000028015
Component 00000000055910,00001-00010-55910,00001-00004-82866,696551358-055910,1982143137-055910,1120251269-0055910,1844468700-055910,1858960746-00055910,127930987-055910,547537349-0000055910
Component 00000000101075,00002-101075,00004-00001-00004-112064,412588290-101075,67831363-101075,1870558083-0101075,1945488330-101075,1521789318-00101075,1044124970-101075,1239803992-0000101075
Component 00000000059765,00006-00004-59765,00004-00006-00007-67269,972661017-059765,365197524-059765,1905217678-0059765,501710841-059765,1391544659-00059765,1879184411-059765,417799381-0000059765
Component 00000000078214,00004-00003-00006-78214,00002-00005-00008-89682,1130944034-078214,1383558006-078214,1636171978-0078214,497819794-078214,1382233581-00078214,371512808-078214,477513219-0000078214
Component 00000000020277,00002-00005-00010-20277,00002-00002-73502,715206882-020277,1475432204-020277,88173879-0020277,1078913000-020277,1572753684-00020277,698800339-020277,778046457-0000020277
Component 00000000010356,00001-00003-00008-10356,00002-00004-42800,789690229-010356,63927261-010356,1485647940-0010356,2097408280-010356,1431255826-00010356,312806117-010356,711582000-0000010356
Component 00000000049463,00003-00001-00011-49463,00002-00004-00010-79622,2134216854-049463,1018491097-049463,2050248987-0049463,634866991-049463,1918528482-00049463,118988046-049463,1806306265-0000049463
Component 00000000002867,00002-00004-00007-2867,00003-00011-80195,624144935-002867,599800453-002867,575455971-0002867,1590921205-002867,1712643615-00002867,1603093446-002867,690336365-0000002867
Component 00000000026510,00001-00003-26510,00003-00009-42675,1322320329-026510,923916885-026510,525513441-0026510,1327106118-026510,1171639691-00026510,1526307840-026510,1007662363-0000026510
Component 00000000052406,00001-00004-00003-52406,00004-00003-00007-108349,1891286178-052406,2098277940-052406,157786055-0052406,1192968400-052406,158009590-00052406,1089472519-052406,769770856-0000052406
Component 00000000056475,00006-00003-56475,00003-00001-00012-98708,1280426936-056475,481496817-056475,1830050345-0056475,113279987-056475,1960446935-00056475,1586486870-056475,636449928-0000056475
Component 00000000043192,00002-00002-00006-43192,00001-00011-97420,14570308-043192,291252028-043192,567933748-0043192,548731846-043192,1312806893-00043192,410390986-043192,1927542023-0000043192
Component 00000000004669,00004-00002-4669,00003-00005-00003-6438,1228502868-004669,1711148645-004669,46310775-0004669,2088244759-004669,1822499521-00004669,773180047-004669,810800362-0000004669
Component 00000000060695,00005-00011-60695,00001-00005-00009-93336,62447238-060695,310053886-060695,557660534-0060695,1333951431-060695,95918191-00060695,1210148107-060695,1084266411-0000060695
Component 00000000021432,00002-00005-00008-21432,00006-00011-29560,137535392-021432,478045639-021432,818555886-0021432,546155019-021432,991087431-00021432,1449641719-021432,1063300522-0000021432
Component 00000000020389,00004-00005-00005-20389,00001-00001-28120,1241689501-020389,1327287841-020389,1412886181-0020389,1098241697-020389,670249997-00020389,1055442527-020389,1087231167-0000020389
Component 00000000063362,00002-00005-63362,00004-00002-00012-44459,737995252-063362,1858576561-063362,831674223-0063362,325355740-063362,1164900136-00063362,838806909-063362,1076094221-0000063362
Component 00000000016101,00001-00001-00007-16101,00003-00002-00010-80103,1752382161-016101,909323217-016101,66264273-0016101,1666212670-016101,1586540096-00016101,2087742142-016101,363142815-0000016101
Component 00000000104762,00002-00008-104762,00003-91770,694423266-104762,2039601958-104762,1237297003-0104762,1511080418-104762,1227637899-00104762,838491072-104762,1936473818-0000104762
Component 00000000025475,00002-00008-25475,00001-00001-00005-95516,789975627-025475,1949009410-025475,960559546-0025475,94797457-025475,742079483-00025475,589022389-025475,520690809-0000025475
Component 00000000077422,00002-00002-00007-77422,00001-00001-00007-67516,679918218-077422,914131337-077422,1148344456-0077422,228094431-077422,1204512483-00077422,1184729695-077422,1728604918-0000077422
Component 00000000020656,00001-00006-00012-20656,00004-00003-00010-32679,2127131420-020656,1646765318-020656,1166399216-0020656,304211943-020656,558558806-00020656,544394994-020656,189185930-0000020656
Component 00000000073008,00003-00005-73008,00004-00004-00001-67484,1472796423-073008,1800544477-073008,2128292531-0073008,188707866-073008,697451243-00073008,24833839-073008,248402986-0000073008
Component 00000000085597,00002-00001-00005-85597,00004-00005-49340,238381917-085597,1971436512-085597,1557007460-0085597,1613409365-085597,1538070978-00085597,1820623891-085597,1572592118-0000085597
Component 00000000025247,00002-00005-00001-25247,00004-00003-00010-89099,61569149-025247,1681953340-025247,1154853884-0025247,267049297-025247,755062930-00025247,530599025-025247,624679306-0000025247
Component 00000000077048,00003-00006-00010-77048,00010-57015,1342800558-077048,927051033-077048,511301508-0077048,1580043242-077048,1511307220-00077048,714176181-077048,1494014574-0000077048
Component 00000000035095,00004-00008-35095,00008-117775,1250475943-035095,352027280-035095,1601062264-0035095,1699130551-035095,1896406572-00035095,1074613059-035095,1868010230-0000035095
Component 00000000044972,00002-00004-00005-44972,00005-00010-23735,1728593649-044972,1443194767-044972,1157795885-0044972,771649754-044972,51160517-00044972,914349195-044972,783597891-0000044972
Component 00000000072582,00002-00006-00003-72582,00001-00003-00005-55541,1290847702-072582,941693615-072582,592539528-0072582,463001835-072582,61288623-00072582,1711320702-072582,1219208336-0000072582
Component 00000000038349,00004-00003-00012-38349,00004-00003-00009-85354,729056896-038349,1363094089-038349,1997131282-0038349,341347875-038349,1466129204-00038349,1098071102-038349,544229023-0000038349
Component 00000000018723,00003-00005-00003-18723,00004-00004-00008-29999,1190602865-018723,215573895-018723,1388028572-0018723,1146338054-018723,1726515610-00018723,1633852539-018723,1391246923-0000018723
Component 00000000115697,00002-00001-00010-115697,,143890842-115697,1797852533-115697,1304330577-0115697,1977879740-115697,150522226-00115697,77157071-115697,1303833134-0000115697
Component 00000000083977,00002-00005-00010-83977,00001-00004-00005-3931,87033408-083977,1992283726-083977,1750050397-0083977,149877010-083977,1361043655-00083977,1344735498-083977,95319915-0000083977
Component 00000000106203,00003-00006-00006-106203,00003-00001-8568,1365428106-106203,1221879146-106203,1078330186-0106203,845754487-106203,1563499287-00106203,917528967-106203,2113166238-0000106203
Component 00000000097890,00002-97890,00001-00012-22905,1528511889-097890,859368721-097890,190225553-0097890,1287322946-097890,338071492-00097890,1621894530-097890,1698352660-0000097890
Component 00000000010904,00004-00005-00010-10904,00002-00003-00003-58152,1109579247-010904,251118488-010904,1540141376-0010904,1350163552-010904,1347500053-00010904,705652108-010904,1776147541-0000010904
Component 00000000050430,00002-00003-50430,00004-00004-00006-52994,936559028-050430,951146650-050430,965734272-0050430,1644058695-050430,1571120585-00050430,1636764884-050430,526582034-0000050430
