Component 00000000083064,00004-00002-00007-83064,00001-00002-00007-101901,1600831610-083064,451981592-083064,1450615221-0083064,1716180559-083064,1017979708-00083064,143121921-083064,976712288-0000083064
Component 00000000031268,00003-00006-00003-31268,00004-00005-00003-10624,1098932478-031268,549345565-031268,2147242299-0031268,1287512785-031268,1887963703-00031268,488564418-031268,772953675-0000031268
Component 00000000023404,00004-00003-00004-23404,1436259974,2037640091-023404,628382961-023404,1366609478-0023404,260662343-023404,864497052-00023404,965290908-023404,123028339-0000023404
Component 00000000073978,00003-00002-00008-73978,00001-00012-94626,758140294-073978,1398687961-073978,2039235628-0073978,686189262-073978,1778418221-00073978,1439657252-073978,1256409620-0000073978
Component 00000000035474,00004-00005-00010-35474,00003-00002-00004-4853,1317383677-035474,1152215342-035474,987047007-0035474,822912194-035474,1648753869-00035474,1979238185-035474,169041856-0000035474
Component 00000000092962,00002-00002-00012-92962,00001-00006-8476,969610996-092962,314073779-092962,1806020209-0092962,314568853-092962,1444771291-00092962,1716079285-092962,2141670470-0000092962
Component 00000000042321,00001-00006-00006-42321,00001-00001-00003-73011,1297560166-042321,1416167466-042321,1534774766-0042321,607563275-042321,14526775-00042321,548259625-042321,1242368222-0000042321
Component 00000000096169,00004-00003-00008-96169,00003-00003-00007-98248,617874968-096169,1832812384-096169,900266153-0096169,1560281175-096169,1928045036-00096169,952812467-096169,1625412409-0000096169
Component 00000000115809,00004-00001-00005-115809,00003-00001-00012-30458,1065712795-115809,978805861-115809,891898927-0115809,1145693790-115809,1580228460-00115809,1189147257-115809,1406736209-0000115809
Component 00000000018718,00003-00011-18718,00001-00002-29876,1312429917-018718,1313896749-018718,1315363581-0018718,1383571269-018718,1376237109-00018718,1382837853-018718,66413206-0000018718
Component 00000000009734,00004-00004-00010-9734,00006-00009-13425,968173444-009734,1021280767-009734,1074388090-0009734,322653139-009734,57116524-00009734,1369841301-009734,531862728-0000009734
Component 00000000080092,00002-00005-00012-80092,00005-00010-18730,27508348-080092,838180104-080092,1648851860-0080092,690382868-080092,931991382-00080092,285046990-080092,2013325733-0000080092
Component 00000000085797,00002-00005-00010-85797,00001-00003-14521,1990391509-085797,1071102486-085797,151813463-0085797,1428288657-085797,1729766478-00085797,814191345-085797,2119417692-0000085797
Component 00000000011055,00002-00005-11055,00003-00006-00009-17793,1537698795-011055,339829903-011055,1289444658-0011055,1423116002-011055,970009521-00011055,2022050448-011055,559727706-0000011055
Component 00000000023744,00004-00006-23744,00002-00004-00003-47037,2086368330-023744,1484764334-023744,883160338-0023744,825861935-023744,1686398268-00023744,1126663933-023744,1880041221-0000023744
Component 00000000117498,00003-00003-00004-117498,00002-00002-38495,370239530-117498,1859965893-117498,1202208609-0117498,681265961-117498,1822568734-00117498,1010144603-117498,749322904-0000117498
Component 00000000117623,00003-00002-00012-117623,00003-00001-00010-81208,894259587-117623,1708174217-117623,374605200-0117623,1714413496-117623,1939807640-00117623,1307456181-117623,1937722889-0000117623
Component 00000000051602,00002-00005-00005-51602,00003-85813,418778590-051602,934675396-051602,1450572202-0051602,1817453564-051602,1385453181-00051602,1559505161-051602,188546233-0000051602
Component 00000000077176,00001-00001-00008-77176,00003-00002-00002-60608,1502627182-077176,1039799507-077176,576971832-0077176,1604063238-077176,1770717966-00077176,761735252-077176,246758253-0000077176
Component 00000000043578,00003-00003-00002-43578,00002-00012-70147,2011273191-043578,932985051-043578,2002180558-0043578,1253905929-043578,202895688-00043578,1793049999-043578,130909127-0000043578
Component 00000000037140,00005-00012-37140,00005-00011-59785,774844724-037140,80735658-037140,1534110239-0037140,1470293375-037140,645871411-00037140,1817347908-037140,615857297-0000037140
Component 00000000087925,00005-00006-87925,00004-00004-00011-114489,1131764585-087925,666138184-087925,200511783-0087925,1097462430-087925,1278110788-00087925,256533807-087925,223145155-0000087925
Component 00000000041764,00004-00002-00008-41764,00001-00007-57415,1950857406-041764,1871129000-041764,1791400594-0041764,231513362-041764,630155392-00041764,271377565-041764,107547507-0000041764
Component 00000000034108,00003-00004-00009-34108,00002-00003-90142,2121514485-034108,52102524-034108,130174210-0034108,1613023962-034108,1222665532-00034108,1573988119-034108,1422710386-0000034108
Component 00000000109703,00003-00006-00009-109703,00001-00003-00001-106536,263093375-109703,520268344-109703,777443313-0109703,924919313-109703,1786528115-00109703,1870073652-109703,386006578-0000109703
Component 00000000061374,00004-00005-00001-61374,00002-00003-112310,713575180-061374,482878851-061374,252182522-0061374,1335963282-061374,341961280-00061374,377569623-061374,18433711-0000061374
Component 00000000088353,00003-00006-00005-88353,00003-00006-00006-2918,1903001485-088353,1299429171-088353,695856857-0088353,547031667-088353,1417409590-00088353,848817824-088353,1426214032-0000088353
Component 00000000117732,00002-00006-00004-117732,00003-00003-00008-84248,523847360-117732,504470773-117732,485094186-0117732,657824714-117732,754707649-00117732,1741254831-117732,215877486-0000117732
Component 00000000081146,00001-00002-81146,00004-00004-00004-48234,1130994103-081146,1789618646-081146,300759542-0081146,1935771557-081146,790132489-00081146,532717462-081146,1902731404-0000081146
Component 00000000076829,00004-00004-00012-76829,00006-00006-50875,966554413-076829,2140469027-076829,1166899994-0076829,2066838370-076829,492232594-00076829,1479881063-076829,615684062-0000076829
Component 00000000020082,00002-00006-00010-20082,00002-00005-00007-27697,1135801919-020082,1247966275-020082,1360130631-0020082,133322244-020082,1719984111-00020082,77240066-020082,1397472878-0000020082
Component 00000000087991,00001-00001-00007-87991,00003-00004-00004-116393,2097936184-087991,1915125282-087991,1732314380-0087991,1821542025-087991,588112888-00087991,1912947476-087991,965515-0000087991
Component 00000000061607,00002-61607,00003-00002-00002-118848,1999521378-061607,381664322-061607,911290913-0061607,842865454-061607,342216146-00061607,1651793982-061607,1136596247-0000061607
Component 00000000039433,00003-00002-00004-39433,00001-00004-00012-115686,1027661793-039433,1308918726-039433,1590175659-0039433,709979338-039433,1451178320-00039433,1643092695-039433,1662464903-0000039433
Component 00000000118032,00002-00005-00005-118032,00001-00002-00010-92661,1786972586-118032,132815851-118032,626142763-0118032,2091007701-118032,1771856788-00118032,1844344245-118032,830654342-0000118032
Component 00000000070577,00002-00003-70577,00001-00004-00003-122931,54158165-070577,1206347903-070577,211053994-0070577,100785636-070577,782287887-00070577,1672174414-070577,1910107773-0000070577
Component 00000000117961,00001-00004-00012-117961,00003-00007-90695,1042658576-117961,1277065790-117961,1511473004-0117961,1673990220-117961,501954150-00117961,1556786613-117961,1489964678-0000117961
Component 00000000090539,00004-00001-00007-90539,00004-00001-64169,1490925666-090539,818929707-090539,146933748-0090539,37634536-090539,1250130684-00090539,1447374339-090539,424195928-0000090539
Component 00000000050496,00001-00005-00004-50496,00004-00001-54835,96464301-050496,510202595-050496,923940889-0050496,835418737-050496,914210914-00050496,628549590-050496,2133786696-0000050496
Component 00000000088177,00002-00005-00011-88177,00002-00004-00002-121552,1302869903-088177,642340069-088177,2129293882-0088177,1479427659-088177,487109535-00088177,1809692576-088177,839633054-0000088177
Component 00000000110243,00003-00003-110243,00002-00003-00001-121642,508337338-110243,704404528-110243,900471718-0110243,1427661465-110243,447325515-00110243,1329627870-110243,8352182-0000110243
Component 00000000111870,00003-00005-111870,00001-00004-00011-43691,387090696-111870,1129363411-111870,1871636126-0111870,953837198-111870,1537440917-00111870,1656442664-111870,206067034-0000111870
Component 00000000047891,00001-00004-00012-47891,00002-00005-00002-105432,1044297526-047891,1806150052-047891,420518931-0047891,1486923038-047891,1972627702-00047891,1105996775-047891,327443696-0000047891
Component 00000000047538,00003-00001-00010-47538,00001-00003-00009-95546,648756186-047538,10219501-047538,1519166463-0047538,818239845-047538,1863439623-00047538,63766364-047538,785767581-0000047538
Component 00000000007302,00002-00001-00009-7302,00004-00003-00005-80839,2024706922-007302,379291541-007302,881359807-0007302,605214059-007302,242356376-00007302,354179926-007302,1143239061-0000007302
Component 00000000002247,00002-00011-2247,00003-00002-00006-62848,55808601-002247,603186621-002247,1150564641-0002247,833838807-002247,244432354-00002247,560149797-002247,260089685-0000002247
Component 00000000050076,00001-00005-50076,00002-00006-00008-43077,992712079-050076,91469497-050076,1337710562-0050076,232119792-050076,443365408-00050076,682741083-050076,1863250319-0000050076
Component 00000000037506,00001-00001-37506,00003-00003-00006-61743,1898426870-037506,38381323-037506,325819423-0037506,806789191-037506,1517082338-00037506,663070141-037506,2075409999-0000037506
Component 00000000013932,00002-00002-00009-13932,00001-00009-19405,436903381-013932,788771310-013932,1140639239-0013932,1396370585-013932,1784514587-00013932,146694797-013932,1278709296-0000013932
Component 00000000115790,00003-00012-115790,00001-00002-00006-29906,1512271803-115790,1457342220-115790,1402412637-0115790,2069412498-115790,196576766-00115790,1023135466-115790,1256856758-0000115790
Component 00000000080187,00002-00002-00003-80187,00001-00012-21371,938051761-080187,1707488886-080187,329442364-0080187,674788501-080187,1122570170-00080187,1363811762-080187,633306873-0000080187
Component 00000000023232,00002-00006-00001-23232,00005-00009-32730,668156812-023232,1481176399-023232,146712339-0023232,371159312-023232,601028671-00023232,1038391342-023232,632877773-0000023232
Component 00000000030957,00002-00003-00004-30957,00004-00006-1904,1530003780-030957,1444796271-030957,1359588762-0030957,618665064-030957,1044702609-00030957,1735010642-030957,837349472-0000030957
Component 00000000048931,00001-00001-00012-48931,00004-00006-11024,2021041217-048931,1368809242-048931,716577267-0048931,1526303311-048931,492495892-00048931,778677475-048931,2109972566-0000048931
Component 00000000120886,00001-00003-00012-120886,00003-00001-49063,1422122661-120886,1364966606-120886,1307810551-0120886,1871279464-120886,9576092-00120886,826115668-120886,746355019-0000120886
Component 00000000069769,00004-00011-69769,00002-00010-100305,205776791-069769,164458989-069769,123141187-0069769,349347041-069769,555936051-00069769,370005942-069769,848106371-0000069769
Component 00000000030854,00004-00005-00005-30854,00004-00003-00004-122594,1191523730-030854,994402266-030854,797280802-0030854,221067314-030854,1206674634-00030854,319628046-030854,1575087449-0000030854
Component 00000000039117,00002-00001-39117,00004-00011-106845,1555145388-039117,1091936996-039117,628728604-0039117,564374846-039117,732933159-00039117,795979042-039117,2031888555-0000039117
Component 00000000060765,00005-00003-60765,00006-95270,1420860435-060765,1674239432-060765,1927618429-0060765,1898581731-060765,631686746-00060765,698150409-060765,1416422937-0000060765
Component 00000000072876,00001-00006-00011-72876,00005-63770,1484725703-072876,2026917169-072876,421624988-0072876,2011208040-072876,1447734357-00072876,1740112307-072876,1234990243-0000072876
Component 00000000096907,00002-00006-00005-96907,00006-00008-118880,738900336-096907,647577159-096907,556253982-0096907,1678435369-096907,2135051254-00096907,650355134-096907,397061722-0000096907
Component 00000000069666,00001-00002-00012-69666,00001-00011-97420,834167949-069666,1940728472-069666,899805348-0069666,1889003963-069666,651168642-00069666,261981878-069666,446874439-0000069666
Component 00000000004209,00004-00002-00010-4209,00003-00005-5803,801111576-004209,1620442212-004209,292289201-0004209,1883941776-004209,2082255890-00004209,1474276458-004209,1081291311-0000004209
Component 00000000069939,00004-00002-00012-69939,00004-00003-00002-105094,1824439626-069939,1221854987-069939,619270348-0069939,1590113869-069939,308069770-00069939,817664365-069939,496788884-0000069939
Component 00000000072102,00002-00002-00004-72102,00004-00003-42094,216437227-072102,592974766-072102,969512305-0072102,224896869-072102,489692821-00072102,1110369923-072102,1840979777-0000072102
Component 00000000101672,00002-00004-00012-101672,00002-00002-5252,1272234439-101672,1672615284-101672,2072996129-0101672,289610775-101672,435190197-00101672,1163162176-101672,1636385259-0000101672
Component 00000000064421,00001-00006-64421,00003-00005-00011-101918,1814973463-064421,1189400418-064421,563827373-0064421,465710015-064421,1446091593-00064421,1852238361-064421,1099238358-0000064421
Component 00000000090655,00005-00006-90655,00004-00006-67424,864797611-090655,1660385469-090655,308489680-0090655,796103078-090655,1113131082-00090655,398309149-090655,995087347-0000090655
Component 00000000071319,00004-00003-00001-71319,00002-00003-00005-20142,1560265695-071319,2024413003-071319,341076664-0071319,449090016-071319,275837123-00071319,217016362-071319,562739120-0000071319
Component 00000000025591,00001-00006-00007-25591,00004-00004-00004-98739,712770762-025591,1328882816-025591,1944994870-0025591,529434323-025591,1743841347-00025591,221378296-025591,1199686603-0000025591
Component 00000000115275,00006-00004-115275,00001-00006-00006-15476,1316714265-115275,332906530-115275,1496582442-0115275,1920421175-115275,397008909-00115275,1338583219-115275,962189041-0000115275
Component 00000000006437,00002-00004-00002-6437,00002-00003-00006-56647,2024927367-006437,934539403-006437,1991635086-0006437,680718641-006437,1837691167-00006437,1225912623-006437,1512910099-0000006437
Component 00000000088650,00002-00003-88650,00004-00004-00007-11239,1355701369-088650,1216249586-088650,1076797803-0088650,2108482658-088650,658257926-00088650,1104466726-088650,2004813485-0000088650
Component 00000000122147,00002-00004-00012-122147,00001-00001-84371,699734944-122147,716801153-122147,733867362-0122147,453704257-122147,368373212-00122147,1518912976-122147,781836802-0000122147
Component 00000000031251,00001-00003-00012-31251,00001-00012-10165,1971198509-031251,1835837249-031251,1700475989-0031251,1848628340-031251,377950993-00031251,1916308970-031251,1423157950-0000031251
Component 00000000079027,00002-00004-79027,00002-00005-00008-112432,1949371719-079027,1516825760-079027,1084279801-0079027,1371987354-079027,1387233502-00079027,514518510-079027,1884246646-0000079027
Component 00000000015449,00004-00005-15449,00001-00012-61866,960676892-015449,1178901421-015449,1397125950-0015449,1880890137-015449,789767492-00015449,698036049-015449,1894234751-0000015449
Component 00000000122547,00002-00005-00009-122547,00002-00006-00001-95577,1776174561-122547,821521700-122547,2014352486-0122547,1646409213-122547,2124706224-00122547,1049993820-122547,484188212-0000122547
Component 00000000021095,00004-00009-21095,00004-00002-29094,990796060-021095,1596903563-021095,55527419-0021095,1395980721-021095,512926853-00021095,19185146-021095,119507974-0000021095
Component 00000000112257,00002-00005-00002-112257,00004-00001-00011-54559,169382556-112257,944247300-112257,1719112044-0112257,1243100641-112257,1663744215-00112257,855668269-112257,1995496435-0000112257
Component 00000000105788,00003-00004-00007-105788,00001-00001-00009-120506,507298086-105788,1455023120-105788,255264507-0105788,1374805648-105788,931147772-00105788,900943131-105788,2100430497-0000105788
Component 00000000099347,00002-00003-00001-99347,00003-00006-00004-63678,1488584985-099347,1098533028-099347,708481071-0099347,824676070-099347,627452208-00099347,2093443872-099347,1366225141-0000099347
Component 00000000064483,00003-00006-00003-64483,00001-00011-75866,687293765-064483,1569522738-064483,304268064-0064483,1599467839-064483,1483290268-00064483,84611529-064483,913412921-0000064483
Component 00000000085118,00003-00005-00007-85118,00002-00003-00012-35892,1131920009-085118,886806793-085118,641693577-0085118,2128830915-085118,1206913348-00085118,103903876-085118,1522244809-0000085118
Component 00000000104763,00003-00001-00009-104763,00002-00007-91800,195666778-104763,307623165-104763,419579552-0104763,256842430-104763,1844544142-00104763,1274606060-104763,1459838676-0000104763
Component 00000000016837,00002-00002-00002-16837,00005-00011-100735,125411738-016837,194013214-016837,262614690-0016837,1305099677-016837,962092297-00016837,1270798939-016837,1909769243-0000016837
Component 00000000050379,00004-00004-50379,00002-00005-51550,202796634-050379,448885271-050379,694973908-0050379,326935470-050379,1243975932-00050379,1277632975-050379,7779841-0000050379
Component 00000000018418,00003-00001-00010-18418,00001-00006-00011-21461,1696284389-018418,388331187-018418,1227861632-0018418,537579855-018418,634894924-00018418,1191556456-018418,1469875987-0000018418
Component 00000000067092,00002-00004-00012-67092,00001-00003-00003-25301,1292384238-067092,1366933534-067092,1441482830-0067092,613057800-067092,240311320-00067092,575783152-067092,237249216-0000067092
Component 00000000079320,00003-00007-79320,00004-00005-00002-120629,1814051561-079320,1962597560-079320,2111143559-0079320,1502339748-079320,759609753-00079320,354324925-079320,1479743775-0000079320
Component 00000000065079,00004-00001-65079,00003-00005-00004-92538,480070204-065079,297670159-065079,115270114-0065079,1297344433-065079,61861011-00065079,314802632-065079,1175196090-0000065079
Component 00000000014374,00004-00003-00009-14374,00002-00002-00001-31747,8167057-014374,870410667-014374,1732654277-0014374,1024792849-014374,1008542093-00014374,593671044-014374,826074604-0000014374
Component 00000000098909,00004-00006-00005-98909,00002-00005-00012-51427,1397913686-098909,194720230-098909,1139010421-0098909,1025089539-098909,598605878-00098909,1626686267-098909,648892945-0000098909
Component 00000000093080,00001-93080,00001-00001-00009-11761,1043639967-093080,969798645-093080,895957323-0093080,1757303144-093080,2126509754-00093080,1794223805-093080,969189399-0000093080
Component 00000000083878,00003-00004-00002-83878,00003-00004-1200,1076782291-083878,2083366297-083878,942466656-0083878,503982701-083878,1913513612-00083878,690698-083878,123308380-0000083878
Component 00000000045475,00003-00001-45475,37765,1331454166-045475,763621463-045475,195788760-0045475,635113658-045475,1326793526-00045475,1992771833-045475,1914997315-0000045475
Component 00000000069474,00004-00006-00002-69474,00001-92015,388458169-069474,532794520-069474,677130871-0069474,2020062075-069474,1298380320-00069474,874152076-069474,1997351290-0000069474
Component 00000000075164,00004-00005-00011-75164,00002-00010-4300,71733550-075164,439025502-075164,806317454-0075164,705524046-075164,1016547933-00075164,521878070-075164,2132954227-0000075164
Component 00000000098926,00001-00002-00009-98926,00002-00001-51857,625901285-098926,2019795939-098926,1266206946-0098926,1657798947-098926,1130776618-00098926,960851620-098926,1469826123-0000098926
Component 00000000104959,00004-00001-00010-104959,00004-00006-00011-97264,211762246-104959,198074466-104959,184386686-0104959,1695388563-104959,1763827463-00104959,1702232453-104959,489540559-0000104959
Component 00000000020807,00002-00003-00007-20807,00002-00001-00001-88362,1717846025-020807,1277817861-020807,837789697-0020807,1851316541-020807,1903973714-00020807,2071330623-020807,454028771-0000020807
Component 00000000031265,00003-31265,00002-00004-00002-10532,640655467-031265,411674493-031265,182693519-0031265,272496463-031265,1417401333-00031265,386986950-031265,2033611863-0000031265
Component 00000000103474,00004-00007-103474,00001-00004-00004-55696,115308127-103474,343175544-103474,571042961-0103474,1503201440-103474,363864355-00103474,315525908-103474,949409692-0000103474
Component 00000000116252,00002-00003-00006-116252,00002-00006-00010-42832,2070395813-116252,2015987357-116252,1961578901-0116252,1579069344-116252,1851111624-00116252,1606273572-116252,1548079295-0000116252
Component 00000000065416,00001-00001-65416,00002-00003-101962,1256991883-065416,1743477902-065416,82480274-0065416,155501864-065416,2018039063-00065416,986000678-065416,22294327-0000065416
Component 00000000080265,00003-00003-80265,00001-00001-00004-23521,1670849594-080265,475210225-080265,1427054503-0080265,590656843-080265,126402747-00080265,114734704-080265,717464332-0000080265
Component 00000000105870,00002-00011-105870,00003-00003-00007-46833,1185084574-105870,1873316653-105870,414065085-0105870,1278343877-105870,2132150776-00105870,2007969661-105870,1308959708-0000105870
Component 00000000070524,00004-00006-00012-70524,00002-00006-97272,1196161142-070524,1121966510-070524,1047771878-0070524,1892688784-070524,116178297-00070524,1929786100-070524,623835734-0000070524
Component 00000000057645,00003-57645,00004-00007-7924,1643728061-057645,912487281-057645,181246501-0057645,538288583-057645,2047008836-00057645,903908973-057645,1460639691-0000057645
Component 00000000060043,00003-00004-00009-60043,00004-00003-00011-75099,468381398-060043,1612436368-060043,609007691-0060043,120472621-060043,842648712-00060043,1695928783-060043,597013677-0000060043
Component 00000000114603,00003-00006-00008-114603,00003-00002-120200,200253278-114603,1177183649-114603,6630373-0114603,1410477861-114603,820793300-00114603,1995754499-114603,11296254-0000114603
Component 00000000024007,00002-00004-00009-24007,00001-00002-00001-54406,539360498-024007,1368638674-024007,50433203-0024007,2104646388-024007,105739155-00024007,1690007300-024007,1687675339-0000024007
Component 00000000054137,00002-00006-00005-54137,00002-00007-33222,1460573726-054137,74683740-054137,836277401-0054137,816902462-054137,1303901451-00054137,1509847455-054137,1205506799-0000054137
Component 00000000009587,00002-00004-00006-9587,00004-00006-00011-21279,627978123-009587,131881401-009587,1783268326-0009587,189607223-009587,522607186-00009587,437655584-009587,958087508-0000009587
Component 00000000057869,00004-00006-57869,00001-00006-00007-14216,599035706-057869,1396889719-057869,47260085-0057869,1713991514-057869,2019688743-00057869,241322684-057869,943932366-0000057869
Component 00000000041595,00001-00008-41595,00001-00004-00010-52686,936498224-041595,1643707009-041595,203432147-0041595,1950127768-041595,561567490-00041595,522781552-041595,1674083085-0000041595
Component 00000000118324,00004-00003-00011-118324,00003-00002-00004-100858,1112995706-118324,1077267946-118324,1041540186-0118324,1527682993-118324,1706321793-00118324,1545546873-118324,1808759497-0000118324
Component 00000000000482,00002-00006-00001-482,00003-00006-00002-13418,1115775434-000482,1641920747-000482,20582413-0000482,1937761174-000482,1454518256-00000482,600946694-000482,518265760-0000000482
Component 00000000109450,00005-00003-109450,00001-00001-00004-99506,175129449-109450,377984753-109450,580840057-0109450,1423677105-109450,409400585-00109450,1322249453-109450,1784842310-0000109450
Component 00000000046869,00004-00004-00004-46869,00002-00006-76817,973949953-046869,204246834-046869,1582027362-0046869,1224312504-046869,777860805-00046869,535422240-046869,1983896078-0000046869
Component 00000000105149,00004-00002-00005-105149,00004-00006-00005-45674,711702656-105149,1362484399-105149,2013266142-0105149,1136104310-105149,29679242-00105149,1884455262-105149,1877045605-0000105149
Component 00000000016707,00002-00005-00002-16707,00002-00006-00011-97082,2120218888-016707,1863632076-016707,1607045264-0016707,413176741-016707,1696110801-00016707,541470147-016707,1656373768-0000016707
Component 00000000070089,00004-00005-00006-70089,00005-109270,1528176531-070089,195343148-070089,1009993412-0070089,236525042-070089,458241016-00070089,1976683557-070089,1241065207-0000070089
Component 00000000110045,00005-110045,00001-116116,26404355-110045,495416375-110045,964428395-0110045,1298650855-110045,1101074402-00110045,1064144845-110045,2050099862-0000110045
Component 00000000007645,00001-00001-7645,00004-00002-00008-90449,1398621135-007645,1161615468-007645,924609801-0007645,1715006344-007645,752551032-00007645,759767354-007645,1924322828-0000007645
Component 00000000121514,00004-00001-00003-121514,00001-00004-66655,498315456-121514,89184094-121514,1827536379-0121514,2130280869-121514,2028454032-00121514,187362903-121514,1998228865-0000121514
Component 00000000082446,00001-82446,00002-00001-84617,692232515-082446,528813566-082446,365394617-0082446,282606253-082446,1099700998-00082446,1438057551-082446,607387541-0000082446
Component 00000000026066,00001-00005-00001-26066,00004-00001-00004-112064,1361835424-026066,324942043-026066,1435532309-0026066,1538372150-026066,280388114-00026066,983077017-026066,391399626-0000026066
Component 00000000060091,00001-00003-00005-60091,00003-00004-76388,1946585621-060091,1985725038-060091,2024864455-0060091,623621875-060091,427924790-00060091,1677793990-060091,1240684047-0000060091
Component 00000000098962,00002-00003-00006-98962,00002-00003-00005-52902,1607061761-098962,1446335776-098962,1285609791-0098962,1328044253-098962,2131674178-00098962,334665422-098962,2131673824-0000098962
Component 00000000068264,00004-00001-68264,00002-00005-00007-58182,1456949260-068264,269173525-068264,1228881437-0068264,758142758-068264,254570492-00068264,278288802-068264,571293685-0000068264
Component 00000000037028,00003-00005-00004-37028,00002-00001-00010-48357,629459272-037028,1159394724-037028,1689330176-0037028,561524930-037028,59331317-00037028,296557204-037028,918755397-0000037028
Component 00000000027396,00001-00005-00005-27396,00007-25760,206865280-027396,1477951981-027396,601555035-0027396,651286339-027396,738303775-00027396,1089484812-027396,1281983478-0000027396
Component 00000000031379,00004-00005-00010-31379,00006-00003-43280,433079883-031379,185921511-031379,2086246786-0031379,1330800723-031379,419108936-00031379,1454379909-031379,1652887993-0000031379
Component 00000000080932,00002-00005-00007-80932,00002-00006-42217,1852921880-080932,1756915359-080932,1660908838-0080932,417831082-080932,897863687-00080932,1539576166-080932,555766744-0000080932
Component 00000000017357,00002-00004-00002-17357,00004-00001-00009-115319,1728546431-017357,981224439-017357,233902447-0017357,1990651818-017357,1432294484-00017357,216829167-017357,460836901-0000017357
Component 00000000101390,00002-00003-101390,00004-00003-00009-120844,1663909555-101390,1287769917-101390,911630279-0101390,601006288-101390,334220831-00101390,789076107-101390,376887305-0000101390
Component 00000000090596,00001-00002-00012-90596,00005-00007-65735,223116402-090596,1032796099-090596,1842475796-0090596,1911617884-090596,10703046-00090596,433036212-090596,996031976-0000090596
Component 00000000027244,00004-00009-27244,00004-00004-00005-21494,1279762816-027244,2089886199-027244,752525935-0027244,842299422-027244,1086649801-00027244,1510979554-027244,1392919477-0000027244
Component 00000000016226,00001-00002-16226,00004-00003-00001-83604,1275189466-016226,1324435285-016226,1373681104-0016226,442386217-016226,196157122-00016226,1491505131-016226,1580872615-0000016226
Component 00000000089305,00006-00008-89305,00003-00006-29568,1862208797-089305,34817541-089305,354909932-0089305,1280562408-089305,1827584100-00089305,46774389-089305,1994242250-0000089305
Component 00000000048924,00004-00001-00005-48924,00002-00007-10810,701451989-048924,1833740079-048924,818544522-0048924,1930333179-048924,563860023-00048924,1364189134-048924,989662858-0000048924
Component 00000000104164,00004-00004-00008-104164,00002-00002-00010-75007,403912757-104164,1370975942-104164,190555480-0104164,1135578819-104164,595230188-00104164,1725789050-104164,1555750806-0000104164
Component 00000000082240,00004-00002-82240,00003-00007-8795,106305061-082240,1066521557-082240,2026738053-0082240,1579648530-082240,1073533344-00082240,1099540282-082240,1535226355-0000082240
Component 00000000073147,00002-00004-00009-73147,00003-00005-71323,1508942158-073147,1490749402-073147,1472556646-0073147,626593492-073147,717557272-00073147,635689870-073147,748333527-0000073147
Component 00000000099776,00001-00005-00001-99776,00002-00005-00009-75682,1019272865-099776,1974216862-099776,781677212-0099776,1163158309-099776,683405618-00099776,1759428134-099776,2112485978-0000099776
Component 00000000089767,00002-00006-00002-89767,00002-00006-42555,2106861266-089767,666233654-089767,1373089689-0089767,955898788-089767,1716585907-00089767,1676212594-089767,1058359668-0000089767
Component 00000000118433,00003-00003-118433,00003-00004-00002-103898,1438222534-118433,1875083025-118433,164459869-0118433,77378054-118433,40559246-00118433,932689632-118433,600163199-0000118433
Component 00000000088013,00003-00002-00003-88013,00001-00006-116915,1658966111-088013,1677010945-088013,1695055779-0088013,386656913-088013,296432743-00088013,377634496-088013,348831891-0000088013
Component 00000000116459,00004-00005-116459,,1939106381-116459,2135084706-116459,183579384-0116459,1780378732-116459,800487107-00116459,608647746-116459,1985473778-0000116459
Component 00000000055622,00002-00008-55622,00004-00003-74854,1777341967-055622,1375218370-055622,973094773-0055622,527958512-055622,391092850-00055622,1802762134-055622,803965916-0000055622
Component 00000000015692,00002-00005-00001-15692,00002-00003-00012-68652,11055230-015692,412265073-015692,813474916-0015692,1216121616-015692,1357556048-00015692,2089258518-015692,508414086-0000015692
Component 00000000078068,00003-00004-00003-78068,00004-00003-00007-85599,1219626333-078068,488543205-078068,1904943724-0078068,121832977-078068,1629764970-00078068,487374541-078068,1931004948-0000078068
Component 00000000092679,00004-00006-00002-92679,00004-00006-00004-524,355779339-092679,946515551-092679,1537251763-0092679,1089198210-092679,283000797-00092679,793830104-092679,1684331923-0000092679
Component 00000000092415,00001-00011-92415,00004-00007-116669,1244073968-092415,2962801-092415,909335281-0092415,105982661-092415,2016571202-00092415,1800280068-092415,1572463141-0000092415
Component 00000000015492,00002-00001-00009-15492,00004-00003-00005-63094,370569172-015492,1878190214-015492,1238327609-0015492,475745711-015492,1527575089-00015492,1869418837-015492,277505022-0000015492
Component 00000000094246,00001-00005-00009-94246,00002-00003-00002-44397,937815969-094246,202592549-094246,1614852776-0094246,1786702098-094246,1167851904-00094246,6830161-094246,1780060350-0000094246
Component 00000000114487,00002-00002-00009-114487,00001-00006-00002-116976,73004091-114487,1957840303-114487,1695192868-0114487,1293247199-114487,459000727-00114487,350829093-114487,900037075-0000114487
Component 00000000021963,00003-00004-00006-21963,00001-00006-00003-120721,1193824177-021963,1719666310-021963,98024796-0021963,2001105687-021963,1519378669-00021963,664442797-021963,1089744222-0000021963
Component 00000000016270,00002-00007-16270,00001-00010-84861,1780959547-016270,1913261943-016270,2045564339-0016270,1755174812-016270,1093662832-00016270,1689023614-016270,463786120-0000016270
