Component 00000000113248,00003-00002-00005-113248,00002-00002-00001-82252,1508863102-113248,396945365-113248,1432511275-0113248,194202209-113248,1458823600-00113248,1823902901-113248,1571994469-0000113248
Component 00000000088937,00002-00002-00004-88937,00002-00004-00003-19282,1442257543-088937,581684905-088937,1868595914-0088937,506673893-088937,514569789-00088937,936960212-088937,1842113719-0000088937
Component 00000000060071,00001-00004-00011-60071,,543647478-060071,1674455944-060071,657780763-0060071,1700766904-060071,341691868-00060071,1135362671-060071,1040719591-0000060071
Component 00000000096543,00003-00006-00005-96543,00001-00004-00006-108686,1079567790-096543,1398067881-096543,1716567972-0096543,420694851-096543,975678043-00096543,1335186629-096543,1493261393-0000096543
Component 00000000054080,00005-54080,00006-00009-31625,1927689888-054080,650013873-054080,1519821505-0054080,1163687100-054080,1109616234-00054080,728783284-054080,989249386-0000054080
Component 00000000049462,00002-00010-49462,00003-00001-00012-68223,1219914285-049462,1995177343-049462,622956754-0049462,165466952-049462,584118956-00049462,1925319070-049462,1977152120-0000049462
Component 00000000039423,00003-00006-00007-39423,00001-00010-54376,1965004356-039423,78970296-039423,340419883-0039423,686665620-039423,1526901332-00039423,1629682650-039423,284409836-0000039423
Component 00000000096860,00001-00010-96860,00004-00003-00004-117589,2012949974-096860,568044763-096860,1270623199-0096860,1728265768-096860,362857235-00096860,1376976550-096860,49906402-0000096860
Component 00000000102358,00003-00004-00009-102358,00001-00004-00001-24441,867754071-102358,802996384-102358,738238697-0102358,948231722-102358,1272020157-00102358,2054352389-102358,533761201-0000102358
Component 00000000075185,00005-00006-75185,00003-00002-00004-4853,1575180489-075185,90772391-075185,753847940-0075185,448348087-075185,1427937636-00075185,1190552136-075185,1103599798-0000075185
Component 00000000071843,00003-00002-00005-71843,00004-00003-00009-34849,1576848117-071843,2112138908-071843,499946052-0071843,694905893-071843,165935585-00071843,1501002321-071843,1384067308-0000071843
Component 00000000028341,00001-00005-00001-28341,00004-00002-00012-52194,1419643056-028341,1593514249-028341,1767385442-0028341,188719505-028341,1466847187-00028341,1175525732-028341,2108289542-0000028341
Component 00000000114034,00004-00004-00011-114034,00001-00003-00010-104296,1661481435-114034,1593240928-114034,1525000421-0114034,1573042316-114034,1914244851-00114034,533420746-114034,1098215723-0000114034
Component 00000000033156,00001-00004-00006-33156,00003-00003-00001-63493,1225663347-033156,2108269153-033156,843391312-0033156,1082371998-033156,964310262-00033156,641069095-033156,876879500-0000033156
Component 00000000053594,00004-00002-00008-53594,,931011497-053594,275991295-053594,1768454740-0053594,1374786405-053594,354920121-00053594,1702296506-053594,1232828583-0000053594
Component 00000000039587,00002-00002-00002-39587,00001-00001-120016,332357748-039587,1141169792-039587,1949981836-0039587,905036236-039587,1155943310-00039587,500630214-039587,791775276-0000039587
Component 00000000035122,00002-00003-00009-35122,00002-00004-00008-118542,1059346231-035122,249779569-035122,1587696554-0035122,450068770-035122,202934786-00035122,854852101-035122,2006959179-0000035122
Component 00000000072464,00004-00002-72464,00004-00005-00010-114644,1161736902-072464,25404518-072464,1036555781-0072464,1884191100-072464,1123402079-00072464,304873645-072464,772972650-0000072464
Component 00000000077600,00005-00003-77600,00003-00001-00009-72458,356522577-077600,349980548-077600,343438519-0077600,1112975994-077600,1145686139-00077600,42505185-077600,570409051-0000077600
Component 00000000064903,00003-00006-00007-64903,00004-00003-87594,1158403058-064903,1088226849-064903,1018050640-0064903,976082392-064903,1326963437-00064903,2084912320-064903,426801014-0000064903
Component 00000000070103,00003-00005-00007-70103,00003-00004-00009-109638,546142861-070103,1352245987-070103,10865466-0070103,987438826-070103,1251890490-00070103,584387263-070103,366692278-0000070103
Component 00000000058968,00003-58968,00004-00002-00008-44949,1962300118-058968,1999797340-058968,2037294562-0058968,1633431738-058968,1445945628-00058968,1614683127-058968,63687214-0000058968
Component 00000000088494,00004-00003-88494,00004-00005-00002-6879,340148078-088494,1257726670-088494,27821615-0088494,1893036850-088494,1600111184-00088494,1434247554-088494,401806115-0000088494
Component 00000000021125,00006-21125,00004-00006-00011-97264,97950422-021125,1172501813-021125,99569557-0021125,1747827181-021125,670037520-00021125,136809662-021125,1869686552-0000021125
Component 00000000094506,00001-00006-00009-94506,00002-00003-00006-51642,1220547321-094506,599886192-094506,2126708710-0094506,109511799-094506,1065333797-00094506,1493584187-094506,1960377793-0000094506
Component 00000000108562,00002-00006-00012-108562,00003-00004-00005-74638,1255536018-108562,476141240-108562,1844230109-0108562,2109594931-108562,1711601527-00108562,351808673-108562,1019975104-0000108562
Component 00000000120551,00001-00004-00002-120551,00003-00006-00005-39668,1304734064-120551,1633931763-120551,1963129462-0120551,1164695113-120551,1666190265-00120551,2073838087-120551,1714139834-0000120551
Component 00000000028778,00003-00001-00009-28778,00003-00004-64445,152897129-028778,378304038-028778,603710947-0028778,1421455804-028778,294421259-00028778,235010526-028778,1867565266-0000028778
Component 00000000114478,00003-114478,00004-00002-00011-116699,1903835364-114478,1916864914-114478,1929894464-0114478,388284892-114478,323137142-00114478,381770117-114478,1405998011-0000114478
Component 00000000107231,00001-00005-00007-107231,00002-00006-00006-46052,982007465-107231,617190922-107231,252374379-0107231,1542016129-107231,1218615197-00107231,650682577-107231,334702728-0000107231
Component 00000000093118,00003-00004-00012-93118,00002-00006-00006-12837,1750627538-093118,605329134-093118,1607514377-0093118,2038229766-093118,1322270845-00093118,463395321-093118,552483667-0000093118
Component 00000000022669,00004-00003-00010-22669,00004-00006-16919,1684857749-022669,311479029-022669,1085583956-0022669,1647982886-022669,2072425545-00022669,187188599-022669,1833776854-0000022669
Component 00000000010882,00002-00004-00001-10882,00003-00004-57568,343927289-010882,1897140689-010882,1302870442-0010882,512849544-010882,1336717132-00010882,1883726491-010882,2035537779-0000010882
Component 00000000121100,00005-121100,00002-00008-55050,2081153855-121100,1494995781-121100,908837707-0121100,1569774677-121100,205597753-00121100,1862853714-121100,818064972-0000121100
Component 00000000003711,00001-00001-00006-3711,00004-00004-103835,1607558202-003711,1049951893-003711,492345584-0003711,1407197803-003711,2047745701-00003711,612259134-003711,2145683998-0000003711
Component 00000000081356,00001-00002-00002-81356,00003-00002-00005-54098,472630851-081356,1249957816-081356,2027284781-0081356,592024831-081356,1000357300-00081356,1277103172-081356,1086170316-0000081356
Component 00000000109050,00004-00006-109050,88270,1187583978-109050,754244209-109050,320904440-0109050,571699828-109050,590915026-00109050,1862111536-109050,1479201366-0000109050
Component 00000000067927,00002-00006-00002-67927,00005-00001-48725,2127480774-067927,358206582-067927,736416037-0067927,69544695-067927,325981067-00067927,954181791-067927,1448383454-0000067927
Component 00000000041638,00003-00002-00012-41638,00004-00005-00012-53884,1329067919-041638,146820385-041638,1112056498-0041638,1972120989-041638,1440907718-00041638,415761109-041638,111749257-0000041638
Component 00000000095103,00003-00001-00008-95103,00001-00002-68406,2112080879-095103,854038166-095103,1743479100-0095103,152809591-095103,572215-00095103,1855572771-095103,1555624753-0000095103
Component 00000000069226,00001-00003-00001-69226,00003-00002-00010-85108,1005663729-069226,379548069-069226,1900916056-0069226,703825277-069226,1686919930-00069226,1016883107-069226,1147436420-0000069226
Component 00000000008986,00001-00005-00003-8986,00003-00009-4455,726898532-008986,1362945815-008986,1998993098-0008986,436678876-008986,1551409755-00008986,1192397058-008986,1219857332-0000008986
Component 00000000055314,00004-00012-55314,00001-00004-66196,17036146-055314,1402626446-055314,640733099-0055314,646172639-055314,160672080-00055314,2100861136-055314,1003494066-0000055314
Component 00000000065158,00003-00002-00002-65158,00002-00012-94717,1944548490-065158,2018943919-065158,2093339348-0065158,184017679-065158,1959524181-00065158,1220561788-065158,1124258227-0000065158
Component 00000000026933,00003-00004-00010-26933,00004-00006-00008-12774,1813673852-026933,1587831439-026933,1361989026-0026933,523993233-026933,1653205298-00026933,1710656263-026933,397762503-0000026933
Component 00000000104937,00002-00001-104937,00003-00006-00002-96683,1363350541-104937,1393096192-104937,1422841843-0104937,1732272791-104937,1583544536-00104937,643658142-104937,730505899-0000104937
Component 00000000051490,00005-00010-51490,00001-00002-00010-82651,35202203-051490,1138269093-051490,93852336-0051490,1994338840-051490,773971684-00051490,1442805395-051490,819858767-0000051490
Component 00000000119046,00001-00004-00005-119046,00004-00001-00003-121059,374542941-119046,1843532106-119046,1165037624-0119046,1827298916-119046,924804032-00119046,19062510-119046,1454601965-0000119046
Component 00000000117733,00003-00005-117733,00004-00006-84279,1052210673-117733,1581843054-117733,2111475435-0117733,2043319211-117733,1542640953-00117733,704761197-117733,943785025-0000117733
Component 00000000077438,00003-00004-00010-77438,00004-00002-00006-67944,1088067939-077438,127555268-077438,1314526244-0077438,674101806-077438,1181697867-00077438,80616318-077438,1927734975-0000077438
Component 00000000017300,00003-00010-17300,00001-00004-00006-113691,970454362-017300,789499153-017300,608543944-0017300,1857803137-017300,615095535-00017300,874538918-017300,966967485-0000017300
Component 00000000116493,00003-00006-116493,00004-00003-49585,1548144239-116493,1948685606-116493,201743326-0116493,573305892-116493,718082704-00116493,1446777032-116493,1841822070-0000116493
Component 00000000111863,00003-00003-00011-111863,00002-00002-00009-43507,2008221204-111863,1323530702-111863,638840200-0111863,1012986562-111863,141471778-00111863,1355331813-111863,1509339612-0000111863
Component 00000000118370,00005-118370,00001-00001-102116,815457128-118370,554667437-118370,293877746-0118370,2125800820-118370,1282265628-00118370,1182453842-118370,1192226042-0000118370
Component 00000000016359,00004-00005-16359,00006-00007-87380,887343381-016359,1127928488-016359,1368513595-0016359,744561012-016359,1689119124-00016359,1698010282-016359,1283222760-0000016359
Component 00000000002522,00002-00002-2522,00002-00004-70555,457365756-002522,1436997824-002522,269146245-0002522,724880820-002522,121687774-00002522,235064786-002522,1193595085-0000002522
Component 00000000092469,00004-00006-92469,00003-00006-00003-118173,449696375-092469,1769221043-092469,941262064-0092469,22133363-092469,2014444611-00092469,1509854676-092469,612591998-0000092469
Component 00000000024497,00002-00004-00005-24497,00004-00005-00009-68129,1880952974-024497,629171656-024497,1524873985-0024497,1299101167-024497,1115556816-00024497,1924991826-024497,520038828-0000024497
Component 00000000122286,00001-00003-00008-122286,00002-00001-00005-45102,1459975510-122286,1901765793-122286,196072429-0122286,338225942-122286,276758174-00122286,1191072624-122286,1957525060-0000122286
Component 00000000009649,00004-00003-00003-9649,00003-00005-00005-23028,202167595-009649,1670149332-009649,990647422-0009649,1606063312-009649,708605568-00009649,1945814267-009649,1167633654-0000009649
Component 00000000028840,00006-28840,00004-00007-66164,877503180-028840,1117123758-028840,1356744336-0028840,1761682978-028840,563580088-00028840,1641872689-028840,1040543050-0000028840
Component 00000000067397,00002-00001-00005-67397,00002-00003-00006-33897,2013744550-067397,990177345-067397,2114093787-0067397,689117165-067397,1511985896-00067397,127158944-067397,27306589-0000067397
Component 00000000072757,00002-00006-00009-72757,00003-00006-00012-60423,175970153-072757,1123150447-072757,2070330741-0072757,1017057825-072757,576123649-00072757,543467678-072757,1283376010-0000072757
Component 00000000011049,00004-00003-00012-11049,,1450470045-011049,1939730581-011049,281507470-0011049,1557285924-011049,1258466891-00011049,1312655656-011049,1821427881-0000011049
Component 00000000071411,00001-00004-00002-71411,00001-00006-00010-22721,1141292205-071411,1291923264-071411,1442554323-0071411,930705802-071411,177550507-00071411,1929132096-071411,1629438726-0000071411
Component 00000000002101,00001-00001-00008-2101,00005-58765,2087007861-002101,1135858470-002101,184709079-0002101,2127160808-002101,440456822-00002101,1528993680-002101,1571437505-0000002101
Component 00000000089072,00002-00004-00009-89072,00004-00001-00010-23059,2073391139-089072,1379183408-089072,684975677-0089072,1690312714-089072,866384075-00089072,963674756-089072,308397657-0000089072
Component 00000000052318,00003-00006-52318,00002-00006-00012-72162,2017646197-052318,1457938349-052318,898230501-0052318,641619333-052318,1292674926-00052318,921473257-052318,361468174-0000052318
Component 00000000086536,00001-00002-00008-86536,00004-00003-00007-75589,1906980070-086536,120809224-086536,482122025-0086536,1177039919-086536,1517959561-00086536,2070125342-086536,317444629-0000086536
Component 00000000071839,00004-00005-00001-71839,00005-00002-34725,548811356-071839,1781740783-071839,867186563-0071839,1290088273-071839,1567892079-00071839,1747365383-071839,230675458-0000071839
Component 00000000029492,00002-00001-00008-29492,00001-00004-00009-84431,1110829047-029492,2043700665-029492,829088636-0029492,1257945933-029492,888555137-00029492,791510124-029492,1671755531-0000029492
Component 00000000089570,00005-89570,00003-00003-36998,1009815350-089570,45451910-089570,1228572117-0089570,1482828744-089570,2009678650-00089570,1965010464-089570,1039890679-0000089570
Component 00000000081808,00003-00006-00012-81808,00003-00003-00006-66748,533046455-081808,239603654-081808,2093644500-0081808,259714312-081808,1726928317-00081808,1480177536-081808,1524435694-0000081808
Component 00000000109549,00004-00006-00011-109549,00004-00004-00007-102239,427167436-109549,603746877-109549,780326318-0109549,1475077560-109549,592180355-00109549,313046016-109549,573232739-0000109549
Component 00000000056219,00004-00002-00007-56219,00004-00006-00004-91524,1231776112-056219,1304770387-056219,1377764662-0056219,1550772979-056219,1185801604-00056219,440534018-056219,1840497608-0000056219
Component 00000000004070,00003-00001-4070,00006-00008-113875,1981089095-004070,1147057995-004070,313026895-0004070,185286391-004070,60474597-00004070,602301941-004070,487090603-0000004070
Component 00000000038720,00003-00006-38720,00005-00011-95730,518183958-038720,1207565320-038720,1896946682-0038720,1740925310-038720,441502147-00038720,1396234629-038720,988278391-0000038720
Component 00000000049797,00002-00006-00007-49797,00004-00006-00010-35279,1510249848-049797,556507444-049797,1750248687-0049797,350899841-049797,824644567-00049797,827771043-049797,1111399929-0000049797
Component 00000000072365,00006-00007-72365,00004-00001-99814,1103939909-072365,644052701-072365,184165493-0072365,274246791-072365,426199184-00072365,504190395-072365,999406458-0000072365
Component 00000000054834,00004-00003-54834,00004-00006-00012-52779,648823128-054834,1841847741-054834,887388707-0054834,1602200213-054834,2079528089-00054834,2079429730-054834,863381-0000054834
Component 00000000084995,00001-00001-84995,00003-00006-00001-32423,255368493-084995,80619262-084995,2053353678-0084995,1443707201-084995,169969709-00084995,457339993-084995,268112727-0000084995
Component 00000000091372,00002-00001-00008-91372,00003-00002-87440,1870606679-091372,1746720615-091372,1622834551-0091372,157099869-091372,776530189-00091372,219042901-091372,30048305-0000091372
Component 00000000122865,00001-00002-122865,00003-00008-104450,273152879-122865,1543948073-122865,667259620-0122865,1777177672-122865,1865652643-00122865,1141780075-122865,226157318-0000122865
Component 00000000005195,00001-00008-5195,00001-00005-00004-21831,1962722095-005195,1005560961-005195,48399827-0005195,637563683-005195,1128402059-00005195,1116144250-005195,1044358037-0000005195
Component 00000000113434,00004-00006-00009-113434,00001-00006-00005-55866,813892451-113434,1897881763-113434,834387428-0113434,1847766555-113434,722787289-00113434,1305771899-113434,1621855783-0000113434
Component 00000000105043,00003-00001-00003-105043,00004-00005-00010-99629,1268820663-105043,135099970-105043,1148862924-0105043,1044200051-105043,270352575-00105043,537318574-105043,922951107-0000105043
Component 00000000036731,00001-00002-00006-36731,00003-00005-00011-40038,168173042-036731,1388426180-036731,461195671-0036731,1368391766-036731,1709577017-00036731,758265197-036731,1522182311-0000036731
Component 00000000009991,00001-00002-00007-9991,00002-00001-00003-32607,1367445521-009991,1339608815-009991,1311772109-0009991,17365280-009991,156548810-00009991,31283633-009991,641340388-0000009991
Component 00000000080220,00010-80220,00002-00006-00001-22322,2121036146-080220,1442469555-080220,763902964-0080220,349069364-080220,1594418672-00080220,1762094483-080220,1908946975-0000080220
Component 00000000084264,00004-00005-00011-84264,00001-00006-00003-11976,864034121-084264,648574464-084264,433114807-0084264,77917168-084264,1155215453-00084264,1259388820-084264,618653247-0000084264
Component 00000000057775,00004-00003-57775,00002-00006-00007-11577,2082053356-057775,1907483840-057775,1732914324-0057775,57882771-057775,930730351-00057775,145167529-057775,2130508827-0000057775
Component 00000000005998,00003-00006-00005-5998,00001-00005-00006-44336,1575066549-005998,1021853024-005998,468639499-0005998,1587756174-005998,58856505-00005998,790621113-005998,2064977789-0000005998
Component 00000000089281,00001-00003-00010-89281,,777488986-089281,885029196-089281,992569406-0089281,1698221877-089281,1160520827-00089281,1644451772-089281,1981601945-0000089281
Component 00000000062256,00001-00005-00012-62256,00004-00002-00007-13449,991165209-062256,386286965-062256,1928892368-0062256,1719341433-062256,448765359-00062256,2021780555-062256,1045865413-0000062256
Component 00000000023400,00006-23400,00002-00003-00009-37397,841968457-023400,950983577-023400,1059998697-0023400,1834234483-023400,1289158883-00023400,1779726923-023400,954406921-0000023400
Component 00000000032811,00001-00002-00012-32811,00002-00006-00002-53822,1877370123-032811,1680039386-032811,1482708649-0032811,1970505790-032811,809675828-00032811,995429335-032811,1630698541-0000032811
Component 00000000050315,00006-00005-50315,00004-00004-00001-49739,1522671134-050315,599323871-050315,1823460255-0050315,763743642-050315,1085512663-00050315,151675450-050315,491939579-0000050315
Component 00000000113993,00003-00005-00009-113993,00001-00002-00006-103161,1215404171-113993,253067949-113993,1438215374-0113993,1786737638-113993,155967807-00113993,120422102-113993,471497531-0000113993
Component 00000000069340,00005-00011-69340,00001-00003-00005-88301,822847443-069340,899553696-069340,976259949-0069340,1321875243-069340,938343978-00069340,209780293-069340,207172220-0000069340
Component 00000000037072,00002-00009-37072,00001-00008-49616,222230966-037072,2097954300-037072,1826193987-0037072,1000499491-037072,211817409-00037072,62637824-037072,660751792-0000037072
Component 00000000084834,00004-00001-00009-84834,00001-00004-00004-27941,1113549403-084834,1373023421-084834,1632497439-0084834,813137394-084834,1663250951-00084834,683400385-084834,1703655687-0000084834
Component 00000000083402,00002-00004-00007-83402,00003-00004-00004-111388,1015915830-083402,536560146-083402,57204462-0083402,1389485273-083402,1638780046-00083402,1629163115-083402,2093153589-0000083402
Component 00000000049495,00005-00004-49495,00002-00012-26805,1799567900-049495,1981402826-049495,15754105-0049495,2028627223-049495,1119452593-00049495,1937709760-049495,318667736-0000049495
Component 00000000016748,00003-00004-00004-16748,00003-00003-00007-98248,2065045064-016748,440716971-016748,963872525-0016748,1668285669-016748,1199991546-00016748,1406707892-016748,334629526-0000016748
Component 00000000117484,00004-00003-00003-117484,00004-00001-00011-77309,1297591038-117484,1970356009-117484,495637333-0117484,640695603-117484,1571838042-00117484,1378054941-117484,126931901-0000117484
Component 00000000021481,00001-00005-00005-21481,00001-00004-00009-107181,1049369873-021481,1090460381-021481,1131550889-0021481,894775864-021481,689323324-00021481,874230610-021481,57750828-0000021481
Component 00000000111541,00001-00003-00001-111541,00005-00004-34480,1299444045-111541,1369497184-111541,1439550323-0111541,1475795816-111541,1125530121-00111541,367027423-111541,788709527-0000111541
Component 00000000094640,94640,00003-00006-00012-55418,942670043-094640,818112476-094640,693554909-0094640,270337161-094640,893124996-00094640,1406357768-094640,496800195-0000094640
Component 00000000061446,00001-00008-61446,00001-00005-114366,403325154-061446,1625885774-061446,700962747-0061446,1715456755-061446,2045104596-00061446,1104176445-061446,1466365763-0000061446
Component 00000000052382,00002-00001-00005-52382,00003-00004-00003-107643,19839968-052382,882290531-052382,1744741094-0052382,2120244804-052382,2102959283-00052382,615277699-052382,1896325473-0000052382
Component 00000000044559,00004-00004-00008-44559,00004-00005-12129,634734538-044559,1751280459-044559,720342733-0044559,26378708-044559,886100044-00044559,541847571-044559,640487168-0000044559
Component 00000000035668,00003-00003-00009-35668,00001-00003-00003-10286,1078225430-035668,509856953-035668,2088972123-0035668,355899883-035668,1050258621-00035668,1713825945-035668,729530551-0000035668
Component 00000000077558,00003-00005-77558,00002-00004-71292,139398249-077558,695740361-077558,1252082473-0077558,1352186917-077558,717960004-00077558,1074015861-077558,464905111-0000077558
Component 00000000000741,00001-00006-741,00004-00002-00011-20694,1372138693-000741,1501193518-000741,1630248343-0000741,115104941-000741,1617314463-00000741,1124319352-000741,1413742161-0000000741
Component 00000000026356,00001-00001-00005-26356,00004-00010-120169,1009161283-026356,886993517-026356,764825751-0026356,1526475573-026356,2137314403-00026356,1587559456-026356,817930607-0000026356
Component 00000000060106,00001-00004-00007-60106,00002-00006-76817,1423541122-060106,2086779511-060106,602534253-0060106,304606460-060106,1283381809-00060106,1046729089-060106,173970916-0000060106
Component 00000000114947,00002-00001-114947,00001-00003-00004-6296,1792775916-114947,1009884200-114947,226992484-0114947,329749689-114947,2096724622-00114947,721195547-114947,2029588835-0000114947
Component 00000000108452,00002-00001-00006-108452,00001-00003-00005-50991,481863368-108452,1870548900-108452,1111750785-0108452,1261118613-108452,760141894-00108452,566775847-108452,1032344015-0000108452
Component 00000000006878,00003-00004-00001-6878,00005-00012-68990,519780957-006878,444288392-006878,368795827-0006878,79617025-006878,457079850-00006878,1191105131-006878,1137903786-0000006878
Component 00000000110702,00002-00004-00007-110702,00003-00003-00008-10993,962873212-110702,1098409308-110702,1233945404-0110702,1093922927-110702,416242447-00110702,1026154879-110702,180545858-0000110702
Component 00000000078532,00002-00006-00012-78532,00003-00004-00011-648,675401189-078532,1759841503-078532,696798170-0078532,1731148890-078532,603914614-00078532,1188928733-078532,1986886085-0000078532
Component 00000000018493,00003-00006-00007-18493,00001-00003-00008-23551,59921847-018493,633822073-018493,1207722299-0018493,2124279044-018493,1402261561-00018493,1837328931-018493,1410158435-0000018493
Component 00000000040185,00005-00002-40185,00005-00001-13235,1874933370-040185,329647982-040185,931846241-0040185,2090519697-040185,1227012049-00040185,715678744-040185,1507142760-0000040185
Component 00000000106874,00004-00005-00001-106874,00003-00001-00001-23843,105039690-106874,2073768553-106874,1895013769-0106874,25367254-106874,919141174-00106874,114744646-106874,1464578683-0000106874
Component 00000000069179,00004-00005-00006-69179,00002-00004-00002-83787,1177168222-069179,1541379127-069179,1905590032-0069179,587786115-069179,914215237-00069179,1479422486-069179,513884050-0000069179
Component 00000000078326,00001-00003-00001-78326,00003-00006-92813,1867250063-078326,1920497630-078326,1973745197-0078326,1228531592-078326,962293757-00078326,128165985-078326,1200055313-0000078326
Component 00000000102891,00001-00005-00009-102891,00004-00005-39330,2097484951-102891,1231085595-102891,364686239-0102891,879305478-102891,916334964-00102891,1312505156-102891,307538995-0000102891
Component 00000000093604,00004-00004-93604,00001-00002-26405,1830828603-093604,899681798-093604,2116018640-0093604,693623324-093604,1054390055-00093604,85454903-093604,721299933-0000093604
Component 00000000023775,00003-00011-23775,00003-00004-00006-47898,401513213-023775,1574897586-023775,600798312-0023775,402338658-023775,977867734-00023775,889388295-023775,1580025973-0000023775
Component 00000000010692,00002-00003-00006-10692,00004-00002-00012-52194,525092603-010692,1455712229-010692,238848208-0010692,562987877-010692,204857041-00010692,97678064-010692,1082468423-0000010692
Component 00000000011139,00004-00002-00011-11139,00003-00003-17930,1625718101-011139,1968202619-011139,163203490-0011139,1056348048-011139,1491409105-00011139,885105789-011139,1633051441-0000011139
Component 00000000091846,00001-00006-00001-91846,00005-00011-100735,728183269-091846,950821309-091846,1173459349-0091846,788709974-091846,1823003421-00091846,677390954-091846,1097703621-0000091846
Component 00000000095327,00002-00001-00011-95327,00004-00010-74669,1576091542-095327,2139371281-095327,555167373-0095327,2051613296-095327,1382698248-00095327,696231603-095327,1605327303-0000095327
Component 00000000027824,00004-00006-00004-27824,00003-00002-00003-44788,1911207540-027824,1272464272-027824,633721004-0027824,996930100-027824,2043162793-00027824,1316301734-027824,1097199214-0000027824
Component 00000000086061,00001-00003-00001-86061,00001-00003-62296,1119992662-086061,1665470624-086061,63464939-0086061,1805870055-086061,1225963892-00086061,1533131074-086061,873020633-0000086061
Component 00000000007027,00002-00006-00007-7027,00003-00004-00008-73133,1964464190-007027,276355779-007027,735731015-0007027,621843019-007027,472450486-00007027,392155401-007027,1427772673-0000007027
Component 00000000008518,00003-00006-00003-8518,00003-00004-00007-114888,1690951238-008518,1480391377-008518,1269831516-0008518,1142474391-008518,47790049-00008518,174012498-008518,1177119990-0000008518
Component 00000000007463,00003-00001-00001-7463,00002-00002-00009-10292,399938387-007463,1903581484-007463,1259740934-0007463,1385926417-007463,310161873-00007463,1707846692-007463,636610307-0000007463
Component 00000000086749,00004-00005-86749,00002-00004-00011-81547,828563449-086749,1460895659-086749,2093227869-0086749,1431904576-086749,417727173-00086749,1115738471-086749,1094827914-0000086749
Component 00000000116133,00003-00003-00004-116133,00001-00001-00009-39516,541042078-116133,1735729411-116133,782933097-0116133,1575061083-116133,2044075359-00116133,2051459240-116133,290697352-0000116133
Component 00000000100518,00003-00005-00002-100518,00002-00007-96467,206445865-100518,1962284871-100518,1570640230-0100518,1612775423-100518,1423514981-00100518,734855920-100518,451454498-0000100518
Component 00000000106160,00005-00002-106160,00002-00001-00001-7372,1009340089-106160,234739577-106160,1607622712-0106160,2095920903-106160,1673956169-00106160,335737512-106160,1633949436-0000106160
Component 00000000123015,00004-00009-123015,00001-00004-00006-108686,88553030-123015,115367788-123015,142182546-0123015,1389068793-123015,1254995003-00123015,1375661414-123015,1122339026-0000123015
Component 00000000051818,00003-00004-51818,00002-00006-91832,865742717-051818,1990879691-051818,968533018-0051818,1747794781-051818,417077205-00051818,1185226294-051818,731992812-0000051818
Component 00000000041459,00004-00005-00002-41459,00006-48880,1832916231-041459,532698140-041459,1379963696-0041459,2123106404-041459,34262271-00041459,1699473626-041459,547299987-0000041459
Component 00000000034501,00001-00005-00012-34501,00001-00012-101165,1464221155-034501,1092416829-034501,720612503-0034501,611580520-034501,323118503-00034501,797482683-034501,787589957-0000034501
Component 00000000115056,00001-00004-00006-115056,00001-00002-00010-9396,650264534-115056,1452400941-115056,107053701-0115056,1972916451-115056,109718063-00115056,498106424-115056,140414408-0000115056
Component 00000000039216,00001-00002-00008-39216,00003-00002-00005-109608,1286341604-039216,922186001-039216,558030398-0039216,1878405858-039216,1551700226-00039216,986741836-039216,1182566530-0000039216
Component 00000000011182,00002-00003-00002-11182,00002-00005-17997,1219098480-011182,1483112583-011182,1747126686-0011182,65138770-011182,892551902-00011182,1006873542-011182,1973850791-0000011182
Component 00000000105453,00003-00005-00010-105453,00001-111111,1473133357-105453,1621583640-105453,1770033923-0105453,1156779318-105453,414527903-00105453,8812353-105453,2079054603-0000105453
Component 00000000010962,00002-00003-10962,00001-15120,2019431933-010962,238122061-010962,604295836-0010962,1525249021-010962,1841863793-00010962,268420310-010962,1366199987-0000010962
Component 00000000029643,00003-00005-00003-29643,00003-00001-88700,1505921048-029643,1663630715-029643,1821340382-0029643,1638647133-029643,850098798-00029643,486050476-029643,189526281-0000029643
Component 00000000102075,00001-00012-102075,00001-00001-00011-16521,1714677555-102075,1007601681-102075,300525807-0102075,1781236018-102075,1021648094-00102075,2134773955-102075,431175767-0000102075
Component 00000000045416,00001-00007-45416,00002-00001-00006-36107,51696254-045416,173855467-045416,296014680-0045416,607708967-045416,2144396549-00045416,1620371184-045416,1430525707-0000045416
Component 00000000072629,00004-00004-00011-72629,00004-00007-56830,1049417661-072629,1604922685-072629,12944062-0072629,74123914-072629,1591566088-00072629,1943855049-072629,1559814704-0000072629
Component 00000000114757,00002-00006-00006-114757,00005-00010-985,1328977544-114757,1774739596-114757,73018001-0114757,1473600596-114757,1392273983-00114757,1250719570-114757,548825999-0000114757
Component 00000000115175,00004-00008-115175,00003-00001-00012-12713,1710870587-115175,1794478337-115175,1878086087-0115175,1470879168-115175,1052840418-00115175,1429075293-115175,1962067581-0000115175
Component 00000000047912,00002-00004-00007-47912,106015,1050158504-047912,1494756779-047912,1939355054-0047912,64596548-047912,2136572467-00047912,916039234-047912,1827838138-0000047912
Component 00000000114856,00001-00001-114856,00004-00006-00009-3779,968605257-114856,411255383-114856,2001389156-0114856,1854423779-114856,346205855-00114856,2133098716-114856,1151109541-0000114856
Component 00000000115297,00002-115297,00004-00009-16090,837830262-115297,1753662750-115297,522011591-0115297,158549343-115297,2021837844-00115297,1848116746-115297,546293670-0000115297
