Component 00000000053045,00006-00005-53045,00004-00009-2674,746050180-053045,1559123691-053045,224713555-0053045,451667994-053045,681267733-00053045,1118873062-053045,866444384-0000053045
Component 00000000102668,00003-00006-00007-102668,00004-00005-00005-33129,2031518359-102668,4497485-102668,124960258-0102668,357770085-102668,1902939867-00102668,1371280522-102668,1277972028-0000102668
Component 00000000052653,00003-00006-00003-52653,00001-00006-00007-115226,1418863128-052653,1427454251-052653,1436045374-0052653,761790770-052653,718835155-00052653,1831237032-052653,313027773-0000052653
Component 00000000001509,00004-00004-00001-1509,00002-00005-00002-42187,1075257702-001509,357943146-001509,1788112237-0001509,645240088-001509,2084329221-00001509,1003897366-001509,432356084-0000001509
Component 00000000010558,00003-00002-00002-10558,00005-00003-48480,1492807492-010558,1115604181-010558,738400870-0010558,1452057908-010558,1190590816-00010558,566917740-010558,1298016580-0000010558
Component 00000000107993,00003-00004-00002-107993,00002-00003-00012-58642,1916009677-107993,1527429625-107993,1138849573-0107993,249746331-107993,45162944-00107993,444036357-107993,1076290154-0000107993
Component 00000000030356,00001-00004-00001-30356,00001-00011-108626,410275964-030356,1037711444-030356,1665146924-0030356,776125686-030356,1933915580-00030356,462407946-030356,1569286227-0000030356
Component 00000000121697,00002-00002-00004-121697,00002-00002-00005-71752,945003607-121697,2101628336-121697,1110769418-0121697,132986318-121697,792313614-00121697,628415777-121697,529613909-0000121697
Component 00000000061954,00004-00004-00009-61954,00002-00006-00010-5067,919299549-061954,1261281965-061954,1603264381-0061954,325577549-061954,763149116-00061954,154586341-061954,1471433709-0000061954
Component 00000000113611,00001-00001-00004-113611,00003-00002-92445,1570578986-113611,1012113544-113611,453648102-0113611,254808813-113611,899652376-00113611,534041534-113611,1369948238-0000113611
Component 00000000046024,00004-00006-00004-46024,00004-00001-63480,12550219-046024,214011591-046024,415472963-0046024,1193492173-046024,186185313-00046024,1092761487-046024,1830801708-0000046024
Component 00000000113428,00003-00003-113428,00002-00006-00009-87317,1747046346-113428,1832134401-113428,1917222456-0113428,505107896-113428,79667621-00113428,1536305692-113428,1285062199-0000113428
Component 00000000004394,00004-00005-4394,00003-00001-00009-122963,1690166980-004394,411494455-004394,1280305577-0004394,877833457-004394,828745141-00004394,443427896-004394,2081378661-0000004394
Component 00000000034363,00003-00004-34363,00004-00006-00011-97264,998902239-034363,2032955464-034363,919525042-0034363,684617947-034363,1956802763-00034363,1241333158-034363,255868925-0000034363
Component 00000000105911,00001-00001-105911,00001-00002-00011-401,1170048708-105911,1927403407-105911,537274459-0105911,320787787-105911,828981586-00105911,1015852261-105911,1963132290-0000105911
Component 00000000120474,00004-00004-00003-120474,00004-00006-00001-37519,220289331-120474,1964131242-120474,1560489506-0120474,2118501605-120474,1989226638-00120474,172838826-120474,1637786168-0000120474
Component 00000000030251,00001-00004-30251,00003-00006-00001-105678,1206723344-030251,2103552729-030251,852898467-0030251,679533753-030251,490354122-00030251,1304860884-030251,1780847104-0000030251
Component 00000000002641,00001-00002-00002-2641,00002-00003-00010-73902,684057271-002641,1638562733-002641,445584548-0002641,1880415591-002641,1402855575-00002641,1403162860-002641,968565338-0000002641
Component 00000000070447,00002-00006-70447,00003-00005-00003-119278,1128582330-070447,74269681-070447,1167440679-0070447,460284558-070447,1436880509-00070447,2061182706-070447,1328493865-0000070447
Component 00000000041450,00003-00006-41450,00001-00002-00010-57171,368398416-041450,1424781901-041450,333681739-0041450,1137131734-041450,150181603-00041450,1682681815-041450,1928758335-0000041450
Component 00000000113171,00001-00002-00006-113171,00002-00006-00005-80072,467452254-113171,1932920552-113171,1250905203-0113171,675704356-113171,1938297454-00113171,2090453854-113171,107458722-0000113171
Component 00000000046225,00004-00010-46225,00001-00003-00010-58796,1344296662-046225,931440556-046225,518584450-0046225,648128344-046225,564925227-00046225,854556397-046225,218260679-0000046225
Component 00000000044300,00004-00009-44300,00001-00001-4915,1911904975-044300,583076303-044300,1401731278-0044300,1888223793-044300,2089916212-00044300,405154482-044300,857400628-0000044300
Component 00000000004318,00003-00006-00002-4318,,1393763761-004318,1256524453-004318,1119285145-0004318,1180108264-004318,1866304804-00004318,1248727918-004318,1801283224-0000004318
Component 00000000118616,00001-00001-00004-118616,00002-00005-00012-67352,574540970-118616,1509899392-118616,297774167-0118616,842267850-118616,460443034-00118616,374588639-118616,783377771-0000118616
Component 00000000048268,00003-00003-00012-48268,00004-00002-00004-115964,1655936191-048268,634744693-048268,1761036842-0048268,1520272419-048268,183778968-00048268,2030868168-048268,1828386858-0000048268
Component 00000000078679,00004-00006-00003-78679,00003-102700,85457971-078679,1366245177-078679,499548736-0078679,2074095346-078679,2112610257-00078679,1433701743-078679,241525123-0000078679
Component 00000000088348,00003-00001-88348,00003-00001-00006-16178,1208824141-088348,845898490-088348,482972839-0088348,1860541067-088348,1527685675-00088348,968262069-088348,1459184502-0000088348
Component 00000000093281,00001-00006-00006-93281,00004-00005-00011-17379,1426642382-093281,1511613851-093281,1596585320-0093281,179049511-093281,1901675813-00093281,1210305600-093281,713389584-0000093281
Component 00000000060339,00004-00006-00006-60339,00002-00006-00010-83327,1092478733-060339,1836530188-060339,433097996-0060339,1745494125-060339,172720497-00060339,299726574-060339,2011028755-0000060339
Component 00000000053909,00004-00002-00011-53909,00001-00005-86780,349476178-053909,1667502483-053909,838045141-0053909,922984384-053909,775303800-00053909,1337713055-053909,1710491319-0000053909
Component 00000000034401,00001-00003-00003-34401,00001-98371,2026869758-034401,548502967-034401,1217619823-0034401,119298922-034401,1068681936-00034401,1932224141-034401,1242644793-0000034401
Component 00000000006181,00001-00006-6181,00002-00010-49462,301111157-006181,835962243-006181,1370813329-0006181,471585064-006181,2092296928-00006181,204159521-006181,1339152756-0000006181
Component 00000000067003,00003-00006-00001-67003,00004-00003-00003-22844,938710145-067003,479844244-067003,20978343-0067003,1232292240-067003,1379138098-00067003,387983367-067003,171842167-0000067003
Component 00000000121852,00002-00003-00003-121852,00002-00001-00010-76112,663746052-121852,1677370900-121852,543512101-0121852,432427299-121852,1806754000-00121852,2073098522-121852,485399558-0000121852
Component 00000000073715,00005-00005-73715,00002-00002-00001-87257,196299707-073715,1104651733-073715,2013003759-0073715,1301700028-073715,1054907192-00073715,847524015-073715,414187480-0000073715
Component 00000000088096,00001-00001-00008-88096,00003-00005-00003-119278,1269975376-088096,1029307559-088096,788639742-0088096,1408746310-088096,464601748-00088096,455338395-088096,510829774-0000088096
Component 00000000069654,00004-00004-69654,00002-00001-00002-97112,1630207215-069654,291169717-069654,1099615866-0069654,1111397972-069654,1364134521-00069654,1780916721-069654,458060643-0000069654
Component 00000000123169,00004-00004-00007-123169,00005-00002-112985,1022287179-123169,1058532635-123169,1094778091-0123169,632708148-123169,451480868-00123169,614585420-123169,1099444750-0000123169
Component 00000000029824,00004-00004-00002-29824,00001-00006-00006-93736,1238236222-029824,769404171-029824,300572120-0029824,1048460042-029824,1245136650-00029824,209134244-029824,345594963-0000029824
Component 00000000101774,00004-00001-00010-101774,00002-00001-00008-8107,1944714836-101774,976426202-101774,8137568-0101774,79872674-101774,626348550-00101774,564016991-101774,859740658-0000101774
Component 00000000062071,00001-00002-00009-62071,00003-00003-8323,986477885-062071,1684954460-062071,235947388-0062071,1576595244-062071,231696016-00062071,153615133-062071,279371466-0000062071
Component 00000000065175,00005-00006-65175,00003-00004-00003-104913,1590981287-065175,281928927-065175,1120360214-0065175,378967590-065175,481778449-00065175,1033493770-065175,237981649-0000065175
Component 00000000034601,00001-00008-34601,00002-00009-103957,515293488-034601,616006622-034601,716719756-0034601,1104913193-034601,601347523-00034601,1054556626-034601,599644292-0000034601
Component 00000000095660,00005-00006-95660,00002-00002-00009-84002,328095811-095660,1209069998-095660,2090044185-0095660,1179412764-095660,1069509123-00095660,1812667494-095660,1884238064-0000095660
Component 00000000050982,00002-00001-00009-50982,00002-00009-68467,1307729924-050982,1511124597-050982,1714519270-0050982,1508695153-050982,491721788-00050982,333255993-050982,2079795119-0000050982
Component 00000000069402,00002-00004-00008-69402,00004-00006-00007-90019,161521178-069402,1574144-069402,1989110757-0069402,994024617-069402,1793759787-00069402,1073998134-069402,1750075870-0000069402
Component 00000000107542,00002-00001-00006-107542,00002-00009-46055,2059981201-107542,2124427826-107542,41390804-0107542,1964417043-107542,1642183918-00107542,858451907-107542,27329678-0000107542
Component 00000000030372,00002-00006-00004-30372,00002-00011-109055,1897908765-030372,408413104-030372,1066401090-0030372,1598071381-030372,455615098-00030372,1269077388-030372,839017998-0000030372
Component 00000000003666,00001-00005-3666,00002-00001-00011-102607,1320778276-003666,1776614888-003666,84967853-0003666,1954017488-003666,1822318075-00003666,1726099182-003666,2116192395-0000003666
Component 00000000119763,00003-00007-119763,00004-00006-17595,1500269487-119763,1807663959-119763,2115058431-0119763,1376515850-119763,1987027137-00119763,1222818614-119763,1253578907-0000119763
Component 00000000114670,00003-00010-114670,00004-00003-00008-122104,614116442-114670,1874167616-114670,986735143-0114670,1597056265-114670,1739251336-00114670,967030678-114670,1020767699-0000114670
Component 00000000060734,00004-00002-00011-60734,00006-94380,1862368865-060734,1317771225-060734,773173585-0060734,1219187089-060734,1794691642-00060734,1491485909-060734,249445169-0000060734
Component 00000000069143,00003-00004-00009-69143,00002-00006-00012-95367,289710101-069143,1987365871-069143,1537537994-0069143,1021636360-069143,1123292098-00069143,172808475-069143,926385520-0000069143
Component 00000000020645,00002-00001-20645,00003-00007-83818,797046892-020645,31682769-020645,1413802293-0020645,1257850749-020645,789704070-00020645,566790987-020645,1259575487-0000020645
Component 00000000055557,00002-00005-00008-55557,00001-00001-00003-73011,82087169-055557,895511634-055557,1708936099-0055557,1952209899-055557,32571221-00055557,471755843-055557,398536522-0000055557
Component 00000000001094,00004-00002-00002-1094,00001-00003-00001-30551,1726591193-001094,1850063935-001094,1973536677-0001094,1272568239-001094,655204529-00001094,1210831868-001094,1364384813-0000001094
Component 00000000029812,00002-00006-00003-29812,00003-00006-00010-93428,1461319528-029812,689367917-029812,2064899953-0029812,1602630217-029812,1167420978-00029812,914864199-029812,1395714223-0000029812
Component 00000000002058,00003-00004-2058,00003-00005-57538,1129526494-002058,534989121-002058,2087935395-0002058,1285493138-002058,2110696356-00002058,509020001-002058,132750951-0000002058
Component 00000000107109,00004-00002-00002-107109,00002-00003-00006-33897,200580630-107109,1423102716-107109,498141155-0107109,1510843332-107109,1840683843-00107109,899582289-107109,1867222951-0000107109
Component 00000000035316,00001-00001-00008-35316,00001-00002-00011-401,295291905-035316,2075795308-035316,1708815064-0035316,1824102894-035316,1511520467-00035316,2007593016-035316,579562134-0000035316
Component 00000000043672,00002-00006-00005-43672,00006-00001-110865,243004079-043672,1537225211-043672,683962696-0043672,735703218-043672,707048499-00043672,88592652-043672,1047281502-0000043672
Component 00000000060087,00002-00006-00001-60087,00007-76265,1966372335-060087,1879157672-060087,1791943009-0060087,957686650-060087,1393759965-00060087,2075035805-060087,253794469-0000060087
Component 00000000065529,00004-00002-00009-65529,00006-00007-105125,677949232-065529,1704735933-065529,584038987-0065529,11238526-065529,1319755962-00065529,571586999-065529,486338162-0000065529
Component 00000000046700,00003-00004-46700,00002-00005-00010-64412,1415155376-046700,136425483-046700,1005179237-0046700,600039505-046700,551238029-00046700,165662628-046700,1949628324-0000046700
Component 00000000030524,00004-00004-30524,00002-00006-00001-113322,370223775-030524,1020816090-030524,1671408405-0030524,785438171-030524,1827443890-00030524,1533883837-030524,1827883769-0000030524
Component 00000000027222,00002-00006-27222,00006-00002-20880,33948493-027222,610653150-027222,1187357807-0027222,1160578770-027222,424539132-00027222,1945968265-027222,1737705691-0000027222
Component 00000000061572,00002-00004-61572,00003-00004-00001-117898,123851944-061572,867589393-061572,1611326842-0061572,761638045-061572,1337918094-00061572,1463511144-061572,48682629-0000061572
Component 00000000010176,00001-00005-00010-10176,00005-00009-37735,1091886729-010176,1983903514-010176,728436652-0010176,331286038-010176,166169407-00010176,959019469-010176,1419490329-0000010176
Component 00000000082352,00002-00004-00010-82352,00001-00006-00011-81976,714085518-082352,45884139-082352,1525166407-0082352,1592315165-082352,638354766-00082352,852674031-082352,890705534-0000082352
Component 00000000115423,00003-00009-115423,00006-00003-19620,297166421-115423,278609789-115423,260053157-0115423,1544653416-115423,1637436576-00115423,1553931732-115423,1631882159-0000115423
Component 00000000031040,00002-00009-31040,00004-00006-00005-4269,1115157479-031040,1702932445-031040,143223764-0031040,1704955919-031040,913564736-00031040,1411068436-031040,992127883-0000031040
Component 00000000003437,00002-00005-3437,00001-00012-96160,1774481701-003437,907985738-003437,41489775-0003437,1625358612-003437,1662871133-00003437,984864770-003437,33115840-0000003437
Component 00000000017701,00001-00005-00008-17701,00003-00004-00005-1383,486515667-017701,601848282-017701,717180897-0017701,711438377-017701,134775302-00017701,1727513893-017701,896144599-0000017701
Component 00000000007061,00001-00005-00002-7061,00002-00001-00004-74117,698430821-007061,1844854680-007061,843794892-0007061,1539154984-007061,102002983-00007061,2039684878-007061,470004281-0000007061
Component 00000000090189,00004-00001-00008-90189,00001-00006-19090,1117177456-090189,130790736-090189,1291887663-0090189,522061770-090189,1159028076-00090189,1015255130-090189,499803771-0000090189
Component 00000000041269,00004-00004-00007-41269,00003-00005-43568,1759425522-041269,1654585431-041269,1549745340-0041269,2043390226-041269,420107034-00041269,1022068448-041269,255648269-0000041269
Component 00000000057366,00001-00001-00010-57366,00004-00005-00007-124,1001470621-057366,835230112-057366,668989603-0057366,454998699-057366,1286201244-00057366,1611860777-057366,801544921-0000057366
Component 00000000029865,00003-00004-29865,00001-00010-94871,1138121493-029865,1808011838-029865,330418536-0029865,341806697-029865,1287322266-00029865,1080603348-029865,1350697603-0000029865
Component 00000000096115,00005-00006-96115,00004-00004-00011-96744,2035861091-096115,845307820-096115,1802238196-0096115,1202344093-096115,712659507-00096115,723878905-096115,112131504-0000096115
Component 00000000114831,00001-00003-00002-114831,00001-00003-00012-3041,1300942986-114831,669715917-114831,38488848-0114831,1824943021-114831,686111072-00114831,1066814732-114831,865018364-0000114831
Component 00000000108287,00002-00004-00010-108287,00001-00002-00003-66901,196940554-108287,189506812-108287,182073070-0108287,1983887714-108287,2021056424-00108287,1987604585-108287,300108820-0000108287
Component 00000000047438,00003-00006-00001-47438,00003-00003-00011-92753,1063016356-047438,2067694126-047438,924888249-0047438,397764320-047438,1816826411-00047438,2042909082-047438,578634085-0000047438
Component 00000000063368,00003-00004-00006-63368,00002-00003-44642,887349674-063368,832121295-063368,776892916-0063368,1429998763-063368,1706140658-00063368,383871129-063368,1041645801-0000063368
Component 00000000122824,00004-00002-122824,00003-00002-103313,404396033-122824,274165053-122824,143934073-0122824,530644444-122824,1181799344-00122824,595759934-122824,690400691-0000122824
Component 00000000002973,00003-00005-00009-2973,00004-83174,2031159317-002973,561898261-002973,1240120852-0002973,1638958452-002973,395329144-00002973,226105333-002973,2072127408-0000002973
Component 00000000004383,00003-00001-00002-4383,00001-00002-00001-122656,1799309318-004383,1415500180-004383,1031691042-0004383,364435301-004383,135997344-00004383,556339870-004383,2065841758-0000004383
Component 00000000045352,00002-00006-00008-45352,00002-00006-00007-34327,614511027-045352,217773347-045352,1968519314-0045352,700086370-045352,536291123-00045352,898455210-045352,398334594-0000045352
Component 00000000060147,00002-00003-00009-60147,00003-00007-82960,297447984-060147,2011069601-060147,1577207571-0060147,729975999-060147,751802502-00060147,946907014-060147,1478173000-0000060147
Component 00000000067427,00002-00003-00009-67427,00003-00011-34695,248518524-067427,1835414866-067427,1274827561-0067427,2051063466-067427,559032697-00067427,1257615295-067427,2009592160-0000067427
Component 00000000048518,00003-00001-00002-48518,00004-00004-00001-122994,1659523431-048518,357051832-048518,1202063880-0048518,1840418466-048518,1910325520-00048518,1417912442-048518,1357444874-0000048518
Component 00000000085990,00002-00008-85990,00002-00006-60300,884006956-085990,494935391-085990,105863826-0085990,267647053-085990,65521231-00085990,1535924659-085990,132646714-0000085990
Component 00000000092800,00001-00006-92800,00002-00003-00002-3902,512210322-092800,968711594-092800,1425212866-0092800,1177685544-092800,1042662831-00092800,949434908-092800,1423507870-0000092800
Component 00000000104364,00004-00001-104364,00004-00005-00011-80624,1392235598-104364,1149238587-104364,906241576-0104364,1418040623-104364,485542031-00104364,465797305-104364,311962709-0000104364
Component 00000000059490,00004-00002-59490,00004-00003-59595,816631081-059490,707419475-059490,598207869-0059490,1962319131-059490,360893514-00059490,2016924934-059490,1486919934-0000059490
Component 00000000020355,00006-00010-20355,00003-00001-00001-75713,1777802552-020355,1934060603-020355,2090318654-0020355,1840125261-020355,1058835006-00020355,688254412-020355,1800892965-0000020355
Component 00000000010441,00001-00004-00002-10441,00001-00009-14400,970218560-010441,967581064-010441,964943568-0010441,842300004-010441,855487484-00010441,843618752-010441,1290296934-0000010441
Component 00000000047290,00005-00009-47290,00002-00001-00012-88607,57216384-047290,364273347-047290,671330310-0047290,990835384-047290,1603034216-00047290,1911048726-047290,533839353-0000047290
Component 00000000031421,00001-00005-31421,00003-00006-00012-14923,1397848907-031421,2073098321-031421,600864088-0031421,1935190781-031421,706427358-00031421,1597566074-031421,2096571194-0000031421
Component 00000000015202,00002-00005-00005-15202,00001-00006-00001-24051,965223332-015202,273389520-015202,1729039355-0015202,1771021802-015202,935223568-00015202,2116938708-015202,885782644-0000015202
Component 00000000120200,00003-00002-120200,00002-00005-00011-42222,943603368-120200,331216599-120200,1866313477-0120200,233874306-120200,1148324504-00120200,1613809514-120200,216015368-0000120200
Component 00000000116948,00003-00006-116948,00001-00005-00004-62326,1946419754-116948,164960652-116948,530985197-0116948,1444999187-116948,1762360109-00116948,188245091-116948,1326328273-0000116948
Component 00000000037411,00001-00003-00010-37411,00003-00002-00005-59103,169328782-037411,32183781-037411,2042522427-0037411,1033988998-037411,1719714003-00037411,28819675-037411,1600865850-0000037411
Component 00000000017250,00002-00012-17250,00002-00003-112310,1207604191-017250,1326990009-017250,1446375827-0017250,555365423-017250,2105919980-00017250,495672514-017250,831012530-0000017250
Component 00000000102284,00004-102284,00003-00002-00006-22353,506404667-102284,649051586-102284,791698505-0102284,2056071121-102284,1342836526-00102284,911005838-102284,1103099595-0000102284
Component 00000000103153,00003-00001-00011-103153,00003-00004-46700,793899382-103153,874594802-103153,955290222-0103153,412659958-103153,9182858-00103153,372312248-103153,777488385-0000103153
Component 00000000067769,00004-00002-67769,00004-00006-00009-44274,1549082606-067769,329693739-067769,1257788519-0067769,1464522849-067769,1119016243-00067769,1000475459-067769,871961244-0000067769
Component 00000000026911,00001-00003-00001-26911,00003-00009-12190,1910984551-026911,207478443-026911,651455982-0026911,895316899-026911,822912851-00026911,1747069953-026911,575995902-0000026911
Component 00000000095505,00004-00007-95505,00003-00004-00005-79643,1564108465-095505,1549741472-095505,1535374479-0095505,1941051128-095505,2012886093-00095505,874492801-095505,763133809-0000095505
Component 00000000089932,00002-00003-00011-89932,00004-00005-00004-47129,1368232359-089932,2127693844-089932,739671682-0089932,621150559-089932,1118810428-00089932,1315161640-089932,1255115984-0000089932
Component 00000000080330,00005-00003-80330,00002-00003-00003-25392,366173979-080330,346709714-080330,327245449-0080330,495898950-080330,593220275-00080330,1579372906-080330,2011748914-0000080330
Component 00000000077209,00004-00006-00002-77209,00004-00001-00004-61559,1723060419-077209,1880377485-077209,2037694551-0077209,763003532-077209,2123901849-00077209,684344999-077209,1145523634-0000077209
Component 00000000094446,00001-00002-00001-94446,00005-49985,1539568678-094446,112186092-094446,832287153-0094446,1030989961-094446,1725451950-00094446,1744681254-094446,2119051814-0000094446
Component 00000000085256,00001-00003-00002-85256,00001-00001-00007-39761,1111040746-085256,581919826-085256,52798906-0085256,1218479890-085256,1716600843-00085256,1483040350-085256,324986360-0000085256
Component 00000000112423,00003-00003-00012-112423,00004-00001-59164,1119649509-112423,1188091990-112423,1256534471-0112423,1217884367-112423,875671962-00112423,109921303-112423,301622461-0000112423
Component 00000000034242,00002-00005-34242,00004-00005-00003-93889,1325581743-034242,1990655749-034242,508246108-0034242,1369416329-034242,191529946-00034242,1036879326-034242,140873995-0000034242
Component 00000000084426,00001-00006-00004-84426,00002-00001-16550,1274999344-084426,2013024020-084426,603565049-0084426,561974131-084426,1166818045-00084426,192961793-084426,1053131641-0000084426
Component 00000000119463,00003-00001-00006-119463,00001-00004-00011-68716,964337625-119463,607825226-119463,251312827-0119463,1927097273-119463,1562175621-00119463,1031611649-119463,926014619-0000119463
Component 00000000092202,00002-00005-00006-92202,,1865276710-092202,1842874948-092202,1820473186-0092202,778791253-092202,890800063-00092202,789992134-092202,320884114-0000092202
Component 00000000040622,00002-00001-00010-40622,00003-00001-25455,1918138853-040622,260440058-040622,750224910-0040622,2050384058-040622,1748943445-00040622,1805491632-040622,1562072584-0000040622
Component 00000000120462,00002-00006-00004-120462,00001-00004-00001-37181,13484574-120462,1104603715-120462,48239209-0120462,319413561-120462,1306268797-00120462,847595814-120462,899959603-0000120462
Component 00000000039063,00003-00003-00011-39063,00004-00001-00009-105309,634688707-039063,1153694740-039063,1672700773-0039063,1110419367-039063,662872849-00039063,1924658174-039063,351250458-0000039063
Component 00000000006749,00004-00001-00002-6749,00001-00002-65366,1603546455-006749,156443661-006749,856824514-0006749,138537650-006749,931600679-00006749,862089047-006749,1994037461-0000006749
Component 00000000064521,00001-00002-00002-64521,00004-00005-00010-76879,439064319-064521,1531862899-064521,477177832-0064521,1900187921-064521,731162315-00064521,1353788631-064521,88646162-0000064521
Component 00000000108618,00003-00006-00003-108618,00003-00006-00006-76173,1287016754-108618,1323699026-108618,1360381298-0108618,918623299-108618,735211939-00108618,900282163-108618,1667365606-0000108618
Component 00000000036256,00001-00003-00012-36256,00003-00003-00002-26743,1335814496-036256,449056425-036256,1709782001-0036256,203979169-036256,342802230-00036256,1721100028-036256,209632883-0000036256
Component 00000000045758,00003-00006-00011-45758,00001-00004-00004-45686,905635084-045758,1774415330-045758,495711929-0045758,91804075-045758,42870139-00045758,1804897599-045758,1410336672-0000045758
Component 00000000065737,00002-00009-65737,00003-00006-00012-110928,1987418253-065737,974501190-065737,2109067774-0065737,1179322755-065737,1948940776-00065737,612039463-065737,1497794124-0000065737
Component 00000000107175,00005-00003-107175,00002-00011-35800,437418955-107175,679008699-107175,920598443-0107175,1417103304-107175,209154584-00107175,1296308432-107175,1129039040-0000107175
Component 00000000001816,00001-00003-00009-1816,00002-00004-00004-50782,539744137-001816,366818633-001816,193893129-0001816,742791781-001816,1607419301-00001816,829254533-001816,933558755-0000001816
Component 00000000113148,00003-00009-113148,00005-00008-79490,21535910-113148,433697323-113148,845858736-0113148,1757753441-113148,1844430023-00113148,477930911-113148,1779105393-0000113148
Component 00000000020285,00006-00005-20285,00002-00002-00011-73747,2123896937-020285,623406064-020285,1270398838-0020285,1290791771-020285,203311548-00020285,967295384-020285,362906633-0000020285
Component 00000000058366,00001-00009-58366,00004-00002-28095,65950909-058366,424938718-058366,783926527-0058366,1370732293-058366,1723276895-00058366,117496565-058366,584034966-0000058366
Component 00000000121044,00004-00001-121044,00004-00002-00011-53454,622432365-121044,1698719449-121044,627522886-0121044,1282748411-121044,196280285-00121044,744604869-121044,132991593-0000121044
Component 00000000078895,00005-00011-78895,00004-00003-3409,2072604356-078895,1579481920-078895,1086359484-0078895,1778486327-078895,2096614860-00078895,2025047545-078895,854305498-0000078895
Component 00000000061685,00001-61685,00004-00001-00003-121059,1339008165-061685,455066688-061685,1718608858-0061685,343777647-061685,468517738-00061685,1859490209-061685,776408532-0000061685
Component 00000000035294,00004-00012-35294,00002-00001-00005-123362,1147793203-035294,1534256397-035294,1920719591-0035294,563905289-035294,779072966-00035294,370673692-035294,1428413537-0000035294
Component 00000000083074,00004-00005-00004-83074,00003-00001-00002-102208,1658600157-083074,845318099-083074,32036041-0083074,869125990-083074,640568986-00083074,1275767019-083074,1316353690-0000083074
Component 00000000068755,00001-00011-68755,00001-00002-71905,1853611744-068755,822815397-068755,1939502697-0068755,178370972-068755,1037385413-00068755,1767510969-068755,72119296-0000068755
Component 00000000002806,00001-00006-00011-2806,00003-00003-78445,2102272345-002806,1091345496-002806,80418647-0002806,1390702226-002806,2885530-00002806,822423827-002806,261913044-0000002806
Component 00000000063124,00004-00005-00009-63124,00001-00003-00005-37796,357889227-063124,1613655018-063124,721937162-0063124,59246151-063124,222868137-00063124,505105079-063124,2079509391-0000063124
Component 00000000060688,00003-00005-00004-60688,00001-00002-93121,1256023323-060688,1619924274-060688,1983825225-0060688,651608447-060688,979587339-00060688,1543399795-060688,417079247-0000060688
Component 00000000023821,00001-00005-23821,00002-00012-49217,977794856-023821,528141385-023821,78487914-0023821,1718179806-023821,1818963514-00023821,869264718-023821,391262643-0000023821
Component 00000000100351,00001-00006-00004-100351,00003-91770,1854068159-100351,1323159598-100351,792251037-0100351,801064891-100351,1308124049-00100351,2140260995-100351,1971909541-0000100351
Component 00000000100984,00004-00002-100984,00001-00006-109486,654607278-100984,738072941-100984,821538604-0100984,1481466463-100984,1064138148-00100984,365991808-100984,502263839-0000100984
Component 00000000032627,00002-00010-32627,00003-00010-48695,975958353-032627,1776410561-032627,429379122-0032627,1143184795-032627,1435891049-00032627,742958691-032627,841640116-0000032627
Component 00000000048344,00004-00002-00010-48344,00003-00002-00008-118113,2069107407-048344,1867076662-048344,1665045917-0048344,1934292686-048344,796962764-00048344,961566235-048344,515232496-0000048344
Component 00000000081123,00003-00003-81123,00004-00001-00005-47559,1961781133-081123,222144568-081123,629991650-0081123,267528140-081123,375776377-00081123,63604599-081123,1540995977-0000081123
Component 00000000081391,00001-00002-00011-81391,00003-00004-00008-112263,1711910525-081391,183256579-081391,802086280-0081391,586638142-081391,1787456931-00081391,1350965115-081391,447592408-0000081391
Component 00000000085787,00002-00002-85787,00001-00008-54621,1950971914-085787,442349446-085787,1081210625-0085787,1797226214-085787,750403966-00085787,404053801-085787,64117991-0000085787
Component 00000000060741,00001-00002-00005-60741,00004-00001-00002-94564,329549455-060741,1197974532-060741,2066399609-0060741,572234573-060741,525076482-00060741,1211763858-060741,1763528078-0000060741
Component 00000000042031,00001-00003-00002-42031,00002-00005-00002-64937,2012150293-042031,1666860051-042031,1321569809-0042031,297959085-042031,2024410295-00042031,470604206-042031,480274559-0000042031
Component 00000000067598,00003-00006-00011-67598,00001-00001-00009-39516,1801091874-067598,905362809-067598,9633744-0067598,234163338-067598,417841369-00067598,1755769694-067598,1344820067-0000067598
Component 00000000029176,00001-00004-29176,00001-75621,1960667825-029176,2136539143-029176,164926814-0029176,1900492160-029176,1021135570-00029176,1812556501-029176,691476477-0000029176
Component 00000000013761,00001-00006-00007-13761,00002-00001-00005-14617,370240290-013761,1144527347-013761,1918814404-0013761,342198732-013761,765730741-00013761,1028797027-013761,1576126694-0000013761
Component 00000000073168,00003-00004-00004-73168,00001-00002-71905,379012069-073168,1918526531-073168,1310557346-0073168,2031019478-073168,775898109-00073168,1261262247-073168,1763029796-0000073168
Component 00000000107569,00004-00007-107569,,735185666-107569,5017144-107569,1422332269-0107569,1829234348-107569,1185109664-00107569,46834962-107569,591565438-0000107569
Component 00000000012090,00001-12090,00004-00003-00001-91339,1431676922-012090,1157051399-012090,882425876-0012090,2070982762-012090,1296626730-00012090,1134553700-012090,1196532636-0000012090
Component 00000000019496,00001-00001-00009-19496,00004-00012-51674,945308773-019496,918558434-019496,891808095-0019496,721659155-019496,855410850-00019496,1808776148-019496,1521968167-0000019496
Component 00000000006271,00001-00006-00005-6271,00003-00002-51950,2018738725-006271,1189532365-006271,360326005-0006271,456935911-006271,308000417-00006271,871539091-006271,992047740-0000006271
Component 00000000017497,00002-00004-00012-17497,00002-00007-119217,1984294345-017497,1392208355-017497,800122365-0017497,1185411241-017497,1998357544-00017497,1481454236-017497,907719412-0000017497
