Component 00000000071551,00001-00004-00012-71551,00001-00002-00001-26651,1295239515-071551,70182386-071551,992608904-0071551,935769051-071551,618603755-00071551,474555792-071551,2029012347-0000071551
Component 00000000048745,00004-00008-48745,00002-00007-5805,1573276157-048745,944426465-048745,315576773-0048745,1138837153-048745,2135601966-00048745,1453261999-048745,183219608-0000048745
Component 00000000087105,00004-00005-87105,00004-00001-00008-91554,1102895691-087105,839843290-087105,576790889-0087105,156014301-087105,1471276306-00087105,1361282325-087105,31968282-0000087105
Component 00000000115322,00002-00004-00012-115322,00008-16765,1090475341-115322,707978195-115322,325481049-0115322,1866716583-115322,1631718666-00115322,2057965156-115322,892960145-0000115322
Component 00000000059851,00001-00001-00012-59851,00003-00002-69695,315625176-059851,1654716346-059851,846323869-0059851,837037511-059851,584032602-00059851,167491926-059851,827275849-0000059851
Component 00000000013982,00002-00003-00007-13982,00002-00002-00009-20757,1658958441-013982,1222246894-013982,785535347-0013982,879543058-013982,915617146-00013982,24157008-013982,1196719690-0000013982
Component 00000000038866,00001-00002-00009-38866,00003-00012-99813,971395259-038866,1753142586-038866,387406266-0038866,1305176796-038866,1691407455-00038866,1988044956-038866,627020738-0000038866
Component 00000000056344,00004-00001-00002-56344,00004-00006-00007-95024,2021087008-056344,1015426801-056344,9766594-0056344,1564949026-056344,150799120-00056344,994037306-056344,73288205-0000056344
Component 00000000063128,00003-00002-63128,00003-00002-00002-37858,369436030-063128,1747798528-063128,978677379-0063128,648024126-063128,198662577-00063128,2106326524-063128,1776254404-0000063128
Component 00000000038546,00001-00004-00001-38546,00004-00003-00005-90849,979083703-038546,1696040337-038546,265513324-0038546,1391742100-038546,2101926224-00038546,1033263783-038546,1594262667-0000038546
Component 00000000013869,00004-00002-00011-13869,00006-00010-17625,176368063-013869,217375848-013869,258383633-0013869,1091503812-013869,886464887-00013869,2144741743-013869,228078117-0000013869
Component 00000000098511,00001-00010-98511,00002-00002-00004-40252,1182413830-098511,80639207-098511,1126348231-0098511,359693966-098511,1573599787-00098511,1984323101-098511,729203895-0000098511
Component 00000000116969,00004-00006-00008-116969,00001-00003-62910,735510353-116969,1489659461-116969,96324922-0116969,804520092-116969,1328741846-00116969,427445538-116969,116524830-0000116969
Component 00000000022052,00002-00002-00004-22052,00004-00002-00008-123209,1999457092-022052,732761028-022052,1613548611-0022052,694240104-022052,585269483-00022052,1327588136-022052,756944723-0000022052
Component 00000000054372,00002-00003-00006-54372,00003-00004-39823,726215382-054372,1308607171-054372,1890998960-0054372,2128671561-054372,1364196263-00054372,763733843-054372,62097532-0000054372
Component 00000000062349,00004-00001-62349,00004-00009-16090,26426839-062349,2122376823-062349,2070843160-0062349,748269654-062349,1005937969-00062349,1847778309-062349,1030798489-0000062349
Component 00000000074637,00002-00003-00004-74637,00002-00006-00003-113077,666087157-074637,864602996-074637,1063118835-0074637,630428937-074637,1785333389-00074637,1604912841-074637,707712854-0000074637
Component 00000000106966,00001-00006-00002-106966,00001-00004-00010-29936,722059681-106966,2024329106-106966,1179114884-0106966,531359207-106966,462463023-00106966,953966318-106966,257847862-0000106966
Component 00000000025982,00002-00005-00008-25982,00003-00006-109700,918206383-025982,1840314204-025982,614938378-0025982,1617020938-025982,1301449127-00025982,82225204-025982,1912204297-0000025982
Component 00000000011240,00005-00008-11240,00001-00003-00011-67546,1314296556-011240,1279090717-011240,1243884878-0011240,680555188-011240,856584383-00011240,1771899931-011240,906035223-0000011240
Component 00000000042400,00001-00007-42400,00001-00001-00007-75251,934885150-042400,1981408444-042400,880448091-0042400,151657381-042400,1361491852-00042400,1775879381-042400,2067845761-0000042400
Component 00000000015762,00002-00005-00006-15762,00004-00008-70585,1444646970-015762,193628350-015762,1090093377-0015762,899786016-015762,712428175-00015762,1525295326-015762,1257702080-0000015762
Component 00000000064740,00004-64740,00001-00003-00007-83051,365538545-064740,112957209-064740,2007859520-0064740,1000245631-064740,115668664-00064740,1126536299-064740,1765348415-0000064740
Component 00000000047312,00002-00006-00005-47312,00001-00006-00002-89221,196746131-047312,1115319833-047312,2033893535-0047312,1797897738-047312,1499996522-00047312,1338610887-047312,1075539209-0000047312
Component 00000000091590,00002-00005-91590,00001-00003-00003-93551,698209391-091590,742535586-091590,786861781-0091590,1774288025-091590,1552657050-00091590,678383104-091590,1649026631-0000091590
Component 00000000121298,00003-00002-00008-121298,00001-00005-00009-60576,1963752898-121298,873802350-121298,1931335449-0121298,640758848-121298,1795544294-00121298,1185734122-121298,1755225378-0000121298
Component 00000000055304,00004-00004-00002-55304,00004-00009-65919,1430077413-055304,1749208484-055304,2068339555-0055304,801807004-055304,1353635296-00055304,1715983292-055304,1513403768-0000055304
Component 00000000059204,00004-00005-00002-59204,00002-00005-51550,1516938527-059204,1557327306-059204,1597716085-0059204,254568838-059204,52624943-00059204,1308116272-059204,423208519-0000059204
Component 00000000002198,00003-00001-2198,00001-00006-00002-61466,1540926606-002198,1208650090-002198,876373574-0002198,457901109-002198,2119283689-00002198,624039367-002198,448234754-0000002198
Component 00000000066850,00004-66850,00002-00006-18577,1809193437-066850,1730814778-066850,1652436119-0066850,1229053946-066850,1620947241-00066850,194501452-066850,755420035-0000066850
Component 00000000030059,00004-00001-00003-30059,00001-00005-00002-100336,1605543910-030059,1225501547-030059,845459184-0030059,1427100304-030059,1179828472-00030059,543379662-030059,1329920637-0000030059
Component 00000000100724,00004-00001-100724,00004-00004-00007-102239,1912301865-100724,2134660448-100724,209535384-0100724,885533082-100724,1921223814-00100724,1848095614-100724,1702573582-0000100724
Component 00000000037230,00004-00011-37230,00001-00006-53976,1711478859-037230,1595031122-037230,1478583385-0037230,1432472732-037230,2014711417-00037230,416954777-037230,897461919-0000037230
Component 00000000011093,00003-00005-00004-11093,00002-00009-63462,655350069-011093,717161091-011093,778972113-0011093,1505700989-011093,1196645879-00011093,1474795478-011093,114097171-0000011093
Component 00000000073963,00003-00001-00006-73963,00003-00010-94195,1734393708-073963,584575502-073963,1582240943-0073963,1802785539-073963,1109425628-00073963,230210995-073963,156207704-0000073963
Component 00000000047281,00001-00003-47281,00002-00001-00001-88362,1639315811-047281,1379897575-047281,1120479339-0047281,1942433247-047281,1092040780-00047281,2072142365-047281,711885784-0000047281
Component 00000000000919,00004-00002-00009-919,00001-00008-25670,1028846447-000919,1293864813-000919,1558883179-0000919,997335316-000919,1819727133-00000919,864826133-000919,1413433489-0000000919
Component 00000000101753,00003-00001-00002-101753,00002-00002-00004-7492,706956216-101753,1835491945-101753,816544027-0101753,680106074-101753,1479878370-00101753,1189580033-101753,1351219442-0000101753
Component 00000000060602,00002-00003-00009-60602,00001-00006-00012-90726,1937941033-060602,2026402047-060602,2114863061-0060602,1933332918-060602,1491027848-00060602,1889102411-060602,652000027-0000060602
Component 00000000091576,00001-00002-00004-91576,00001-00002-00006-93151,878010429-091576,962495648-091576,1046980867-0091576,1754318080-091576,1331891985-00091576,638333647-091576,1533487735-0000091576
Component 00000000048235,00005-00005-48235,00001-00009-77645,1078721513-048235,123198467-048235,1315159068-0048235,1980494016-048235,315658305-00048235,310771892-048235,373920719-0000048235
Component 00000000094174,00004-00003-00002-94174,00006-00003-42370,819543173-094174,1957076371-094174,947125922-0094174,155328454-094174,910113405-00094174,1734045502-094174,1612372817-0000094174
Component 00000000033586,00001-00007-33586,00003-00005-00011-75528,1227814455-033586,71008359-033586,1061685910-0033586,957293621-033586,298873160-00033586,1535696669-033586,790627351-0000033586
Component 00000000077440,00006-00012-77440,00001-00001-00003-68006,1241770101-077440,1869647531-077440,350041314-0077440,1629054398-077440,637150895-00077440,1315115683-077440,2083755270-0000077440
Component 00000000008007,00002-00006-00012-8007,00001-00003-00009-100551,973885132-008007,1532840845-008007,2091796558-0008007,1239691625-008007,592396707-00008007,2033955592-008007,1665359357-0000008007
Component 00000000080965,00003-00001-80965,00004-00009-43169,1967592613-080965,1542871227-080965,1118149841-0080965,695958215-080965,672081498-00080965,908318908-080965,952186632-0000080965
Component 00000000073974,00004-00005-00004-73974,00003-00003-00006-94503,775120704-073974,613669899-073974,452219094-0073974,460949426-073974,1268203451-00073974,1615416652-073974,294929588-0000073974
Component 00000000010817,00002-00002-00001-10817,00001-00004-00004-55696,32222700-010817,768270248-010817,1504317796-0010817,1370790426-010817,1985519980-00010817,1002766652-010817,287131439-0000010817
Component 00000000029490,00006-00006-29490,00001-00001-84371,1455885480-029490,2333579-029490,696265325-0029490,751836809-029490,1577145373-00029490,404870936-029490,1956162689-0000029490
Component 00000000094270,00001-00007-94270,00001-00003-00009-45041,1240342053-094270,841479306-094270,442616559-0094270,149109823-094270,2143423558-00094270,1422283020-094270,278446795-0000094270
Component 00000000058509,00004-00003-00009-58509,00001-00006-32116,155107486-058509,980826906-058509,1806546326-0058509,1547793710-058509,1714163904-00058509,1134934000-058509,1379972885-0000058509
Component 00000000036134,00004-00007-36134,00002-00009-23305,762799125-036134,195938657-036134,1776561836-0036134,1187353838-036134,1874172531-00036134,1470784072-036134,1346791893-0000036134
Component 00000000071275,00001-00009-71275,00004-00012-18914,2091101515-071275,1312084550-071275,533067585-0071275,1889742535-071275,1489860066-00071275,1205509194-071275,636880000-0000071275
Component 00000000050355,00004-00006-50355,00006-00006-50875,1235729479-050355,632309960-050355,28890441-0050355,960912042-050355,1830525990-00050355,188879978-050355,1210758773-0000050355
Component 00000000104458,00003-00004-00003-104458,00004-00004-00008-83234,1216964464-104458,1194191254-104458,1171418044-0104458,112463779-104458,226329829-00104458,123850384-104458,1377582527-0000104458
Component 00000000123168,00003-00003-00006-123168,00004-00002-00010-112954,357778164-123168,41795285-123168,1873296053-0123168,1138735885-123168,571166633-00123168,222985501-123168,723812682-0000123168
Component 00000000107987,00002-00005-00009-107987,00004-00004-00002-58489,1176794159-107987,1185515879-107987,1194237599-0107987,1599797579-107987,1556188979-00107987,1595436719-107987,790906141-0000107987
Component 00000000099994,00004-00006-00011-99994,00002-00004-00009-81792,1871901801-099994,945961622-099994,20021443-0099994,987217883-099994,1321951484-00099994,376446149-099994,539179624-0000099994
Component 00000000098594,00004-00006-00002-98594,00002-00006-42555,951056853-098594,660768456-098594,370480059-0098594,830713304-098594,134671642-00098594,2049599326-098594,1922450691-0000098594
Component 00000000001938,00003-00006-00001-1938,00003-00006-54190,972649901-001938,1552696399-001938,2132742897-0001938,1187617643-001938,434868800-00001938,897594394-001938,398156703-0000001938
Component 00000000117507,00002-00005-117507,00005-00011-77985,2041925620-117507,1081736832-117507,121548044-0117507,569925989-117507,1075902635-00117507,1050020383-117507,669737205-0000117507
Component 00000000044452,00002-00002-00005-44452,00006-00007-9120,506887392-044452,814222330-044452,1121557268-0044452,380246356-044452,991055313-00044452,226578887-044452,853352179-0000044452
Component 00000000032003,00003-00006-00010-32003,00001-00006-31226,592379102-032003,1298216221-032003,2004053340-0032003,1539482845-032003,157780897-00032003,112822462-032003,24865312-0000032003
Component 00000000108676,00001-00001-00009-108676,00001-00003-00009-77801,1289020286-108676,911067148-108676,533114010-0108676,138162269-108676,2027927959-00108676,327138838-108676,173623352-0000108676
Component 00000000052287,00002-00004-00001-52287,00003-00004-00007-72118,1366767858-052287,458435670-052287,1697587129-0052287,262329680-052287,509023326-00052287,716495774-052287,20582066-0000052287
Component 00000000033811,00001-00001-00011-33811,00003-00001-81823,625640754-033811,212646881-033811,1947136655-0033811,996532560-033811,914018278-00033811,129287673-033811,816200218-0000033811
Component 00000000060974,00004-00004-00004-60974,00004-00005-00007-101134,93668683-060974,901030787-060974,1708392891-0060974,596025081-060974,854181855-00060974,192344029-060974,1764556090-0000060974
Component 00000000072447,00002-00004-00011-72447,00012-51765,1872577850-072447,2113426445-072447,206791393-0072447,1742574649-072447,538331674-00072447,548408528-072447,1798232596-0000072447
Component 00000000044810,00003-00012-44810,00001-00011-19160,1302444326-044810,19812491-044810,884664303-0044810,298084268-044810,268792502-00044810,2013142009-044810,1549478144-0000044810
Component 00000000095820,00004-00010-95820,00005-00007-88485,1390027200-095820,240560444-095820,1238577335-0095820,1475464356-095820,780347195-00095820,2050197734-095820,523539153-0000095820
Component 00000000038096,00001-00002-00006-38096,00001-00003-00005-78291,114954746-038096,1394851575-038096,527264757-0038096,986667013-038096,1029633809-00038096,1420460422-038096,1964854540-0000038096
Component 00000000014625,00002-14625,00003-00005-00012-38778,1866085751-014625,1571627368-014625,1277168985-0014625,1543497881-014625,868306149-00014625,616985249-014625,569867375-0000014625
Component 00000000024586,00001-00002-00003-24586,00003-00004-00006-70648,855061674-024586,1962621125-024586,922696929-0024586,1958345696-024586,715515735-00024586,330824147-024586,1651874670-0000024586
Component 00000000109210,00003-00010-109210,00003-00003-00011-92753,2006316402-109210,681868934-109210,1504905113-0109210,47639967-109210,227426366-00109210,709863701-109210,1542082180-0000109210
Component 00000000073537,00002-00002-00009-73537,00002-00002-00001-82252,1083857131-073537,1182606809-073537,1281356487-0073537,1578249220-073537,1084500830-00073537,1528874381-073537,964590678-0000073537
Component 00000000028326,00001-00004-00012-28326,00001-00003-00004-51796,892313839-028326,1527318480-028326,14839474-0028326,551526046-028326,1671470135-00028326,1307765549-028326,1446436174-0000028326
Component 00000000097484,00004-00002-00010-97484,00004-00006-00009-11514,391629383-097484,931752672-097484,1471875961-0097484,1891546959-097484,1338414161-00097484,547743491-097484,1249835844-0000097484
Component 00000000054203,00003-00002-00006-54203,00004-00003-00007-35094,449323154-054203,1571828099-054203,546849397-0054203,129979988-054203,959906204-00054203,642469339-054203,326986026-0000054203
Component 00000000028772,00002-00002-00003-28772,00001-64260,2147151300-028772,1485852963-028772,824554626-0028772,1212694837-028772,224219228-00028772,469602182-028772,882867165-0000028772
Component 00000000071667,00002-00001-00011-71667,00001-00002-29876,561259413-071667,1855755085-071667,1002767110-0071667,1067273742-071667,1037246323-00071667,420025906-071667,1716853751-0000071667
Component 00000000043529,00004-00003-00005-43529,00004-00005-00001-106874,1591996060-043529,1589894372-043529,1587792684-0043529,1490064192-043529,1500572632-00043529,1491115036-043529,1147817294-0000043529
Component 00000000054279,00004-00001-00004-54279,00003-00001-00007-37213,1753164122-054279,1928643805-054279,2104123488-0054279,600252336-054279,1870337568-00054279,1586254318-054279,772339722-0000054279
Component 00000000119532,00002-00010-119532,00002-00001-00002-11117,1618060678-119532,1556565840-119532,1495071002-0119532,783044682-119532,1090518872-00119532,813792101-119532,83214733-0000119532
Component 00000000046137,00002-46137,00004-00011-56340,255139144-046137,666930983-046137,1078722822-0046137,1973432336-046137,2061956788-00046137,693794593-046137,1163145958-0000046137
Component 00000000056995,00001-00003-56995,00001-00001-00005-113261,1527108903-056995,67114170-056995,754603084-0056995,510582880-056995,1368105604-00056995,166838423-056995,798116503-0000056995
Component 00000000039459,00004-00004-39459,00003-00001-00012-116453,1181419346-039459,245717040-039459,1457498381-0039459,897014092-039459,1280558328-00039459,1364865245-039459,1961160338-0000039459
Component 00000000016005,00003-00002-16005,00001-00004-00003-77431,1675553502-016005,1228012304-016005,780471106-0016005,1444641869-016005,1534864212-00016005,1668412468-016005,518410778-0000016005
Component 00000000110159,00004-00010-110159,00004-119340,908383864-110159,848566613-110159,788749362-0110159,1228472661-110159,1527558916-00110159,184639463-110159,1614646973-0000110159
Component 00000000095487,00002-00002-95487,00002-00003-00008-79152,321406026-095487,1051864247-095487,1782322468-0095487,315149569-095487,957825758-00095487,1023662282-095487,469549136-0000095487
Component 00000000000228,00003-00004-00007-228,00001-00003-00004-6296,1510564070-000228,1499882296-000228,1489200522-0000228,992498031-000228,1045906901-00000228,997838918-000228,1973700013-0000000228
Component 00000000024553,00003-00004-00009-24553,00003-00002-69695,382265169-024553,474047032-024553,565828895-0024553,1612460054-024553,1153550739-00024553,492827299-024553,71806545-0000024553
Component 00000000050953,00003-00006-50953,00002-00001-00007-67607,1025141594-050953,1660254397-050953,147883553-0050953,689599658-050953,1809002937-00050953,1445785080-050953,623751261-0000050953
Component 00000000062910,00001-00003-62910,00001-00006-00009-86771,1166198531-062910,920780846-062910,675363161-0062910,1074600867-062910,154205645-00062910,123567886-062910,1437279004-0000062910
Component 00000000097151,00001-00005-00002-97151,00002-00005-00011-2182,669462118-097151,2139246869-097151,1461547973-0097151,13320367-097151,1254331200-00097151,352169815-097151,191071301-0000097151
Component 00000000082254,00004-00004-00003-82254,00003-00003-00008-79243,1101386908-082254,454748289-082254,1955593317-0082254,877926768-082254,1963636216-00082254,127504254-082254,2125869296-0000082254
Component 00000000079115,00001-00010-79115,00003-00006-00011-114918,1780600642-079115,1467057847-079115,1153515052-0079115,532418790-079115,2100132765-00079115,1762932011-079115,53317929-0000079115
Component 00000000003954,00004-00006-00002-3954,00001-00002-00008-110651,14668704-003954,1521812208-003954,881472065-0003954,96684650-003954,1150901718-00003954,1490596545-003954,1895963820-0000003954
Component 00000000012508,00003-00006-00002-12508,00002-00006-00003-103067,1325808958-012508,1657588347-012508,1989367736-0012508,1310981972-012508,1799568674-00012508,71350454-012508,549857316-0000012508
Component 00000000013093,00003-00003-00002-13093,00002-00003-00010-119402,1639177972-013093,1580949520-013093,1522721068-0013093,962581697-013093,1253723957-00013093,991695923-013093,1922452939-0000013093
Component 00000000048714,00004-00001-00003-48714,00004-00002-00004-4944,1152147564-048714,220403147-048714,1436142377-0048714,2133441750-048714,349712894-00048714,1525572135-048714,217786195-0000048714
Component 00000000034084,00004-00001-00011-34084,00002-00001-89467,443691883-034084,1237230056-034084,2030768229-0034084,1349329451-034084,1676605880-00034084,2026302188-034084,1648172620-0000034084
Component 00000000093981,00001-00006-00004-93981,00002-00002-00012-6057,1148667297-093981,1157334485-093981,1166001673-0093981,1569025915-093981,1525689975-00093981,1564692321-093981,1637595740-0000093981
Component 00000000077040,00005-00002-77040,00012-56770,1424538134-077040,2139482036-077040,706942291-0077040,1739579029-077040,312343166-00077040,1382107078-077040,1940436760-0000077040
Component 00000000026539,00004-00002-00006-26539,00002-00002-00010-1752,534516669-026539,36035631-026539,1685038240-0026539,2127990090-026539,325427986-00026539,229746962-026539,666402459-0000026539
Component 00000000021855,00001-00002-21855,00002-00005-00006-117682,1540738113-021855,2103834182-021855,519446604-0021855,2007351872-021855,1339355174-00021855,652062014-021855,297492145-0000021855
Component 00000000037704,00004-00002-00004-37704,00004-00001-00004-52004,558459972-037704,651427523-037704,744395074-0037704,1846160725-037704,1381322970-00037704,725935126-037704,236520494-0000037704
Component 00000000087546,00001-00004-00004-87546,00001-00009-103866,2083470588-087546,121593014-087546,307199087-0087546,1421688717-087546,493658352-00087546,255143857-087546,449136597-0000087546
Component 00000000099244,00004-00005-00002-99244,00001-00003-00003-60791,1803174420-099244,395041544-099244,1134392315-0099244,80722991-099244,678936430-00099244,784789429-099244,1543033859-0000099244
Component 00000000041949,00004-00005-00011-41949,00003-00002-00008-62603,1427137558-041949,217700726-041949,1155747541-0041949,751509675-041949,356242894-00041949,1356228091-041949,922455132-0000041949
Component 00000000081403,00003-00010-81403,00003-00006-00012-55418,446386502-081403,445820544-081403,445254586-0081403,418937539-081403,421767329-00081403,419220518-081403,1732516587-0000081403
Component 00000000081964,00004-00001-00012-81964,00003-00004-00002-71138,1224208305-081964,1125215800-081964,1026223295-0081964,1791780930-081964,139259808-00081964,767535359-081964,675073351-0000081964
Component 00000000013984,00004-00005-00009-13984,00003-00005-20818,436678430-013984,1110113554-013984,1783548678-0013984,886027239-013984,1813818913-00013984,549309677-013984,555013775-0000013984
Component 00000000032390,00001-00007-32390,00002-00004-00003-42032,1057799321-032390,2023710459-032390,842137950-0032390,659849280-032390,125260884-00032390,176893711-032390,444703926-0000032390
Component 00000000108404,00004-00002-00010-108404,00001-00004-00012-70186,1280018281-108404,1836016313-108404,244530698-0108404,328635422-108404,1843612556-00108404,50636406-108404,1004867538-0000108404
Component 00000000111035,00001-00002-111035,00002-00006-00008-20327,314825173-111035,254482918-111035,194140663-0111035,609451276-111035,911162551-00111035,1713364227-111035,201581919-0000111035
Component 00000000081215,00001-00004-81215,00002-00003-00009-50137,244961629-081215,544841996-081215,844722363-0081215,830515723-081215,1478597535-00081215,1754317363-081215,2004935843-0000081215
Component 00000000004986,00001-00002-00007-4986,00003-00001-00004-15968,790660418-004986,748203917-004986,705747416-0004986,1952745590-004986,17544448-00004986,900232017-004986,1006136311-0000004986
Component 00000000047904,00004-00003-00012-47904,00004-00006-00001-105769,1281447974-047904,790048188-047904,298648402-0047904,1070878470-047904,1380393753-00047904,1316578363-047904,1456943657-0000047904
Component 00000000002618,00003-00005-2618,00001-00006-00010-73226,666665145-002618,1000582504-002618,1334499863-0002618,755529704-002618,1233426556-00002618,1662312848-002618,1061610172-0000002618
Component 00000000022480,00003-00003-22480,00002-00003-00002-11637,1322489848-022480,319148406-022480,1463290611-0022480,2052553792-022480,626810061-00022480,406740866-022480,1011332921-0000022480
Component 00000000094479,00004-00008-94479,00001-00002-00011-50906,303712788-094479,1792434487-094479,1133672539-0094479,566013015-094479,1712339108-00094479,895393989-094479,1986917342-0000094479
Component 00000000107020,00004-00004-107020,00001-00004-00007-31441,1091584663-107020,1569310414-107020,2047036165-0107020,1712705293-107020,1471560185-00107020,400100594-107020,1039643401-0000107020
Component 00000000083355,00006-00012-83355,00003-00002-00001-110098,1995024049-083355,1214611657-083355,434199265-0083355,652245036-083355,259339702-00083355,1042451232-083355,1446529667-0000083355
Component 00000000003259,00004-00004-00009-3259,00002-00005-00005-91187,1447250968-003259,1488924384-003259,1530597800-0003259,1320927997-003259,1112560917-00003259,1300091289-003259,788546266-0000003259
Component 00000000003784,00004-00004-00001-3784,00001-00002-105861,651478549-003784,1889872152-003784,980782108-0003784,1657768002-003784,1908250928-00003784,2112313024-003784,1848878839-0000003784
Component 00000000071901,00001-00004-00011-71901,00002-00012-36477,1435573035-071901,381898853-071901,1475708318-0071901,1871982736-071901,697902705-00071901,251336180-071901,1641701658-0000071901
Component 00000000023497,00002-00005-00006-23497,00004-00005-00011-40129,691299797-023497,134455007-023497,1725093864-0023497,1601614893-023497,90871549-00023497,1880037288-023497,2112898069-0000023497
Component 00000000044043,00003-00006-00012-44043,00002-00001-00008-70897,329781701-044043,1890089476-044043,1302913604-0044043,1916522967-044043,557435033-00044043,62627256-044043,987050813-0000044043
Component 00000000089891,00001-00004-00009-89891,00004-00006-00004-46024,120555968-089891,1667589378-089891,1067139141-0089891,2137232355-089891,844516246-00089891,1363715650-089891,133825703-0000089891
Component 00000000036568,00003-00012-36568,00002-00002-00010-50437,1523876360-036568,163597518-036568,950802323-0036568,2122345580-036568,333805202-00036568,655001354-036568,1897137191-0000036568
Component 00000000044856,00001-00006-44856,00006-00011-70965,792597430-044856,315738255-044856,1986362727-0044856,213505736-044856,450317964-00044856,1525677147-044856,73021748-0000044856
Component 00000000060875,00003-00009-60875,00001-98371,2103858528-060875,526559657-060875,1096744433-0060875,1840532753-060875,1137092520-00060875,1555440365-060875,1068992179-0000060875
Component 00000000080144,00004-00001-00012-80144,00002-00003-00005-20142,876830825-080144,477675756-080144,78520687-0080144,1918904625-080144,1767196323-00080144,1044740336-080144,2067328952-0000080144
Component 00000000073108,00003-00009-73108,00003-00003-00009-70248,1563392561-073108,1507718690-073108,1452044819-0073108,2084435288-073108,215320996-00073108,1038530400-073108,1539030593-0000073108
Component 00000000061486,00001-00005-00009-61486,00001-00006-00005-115471,1768629535-061486,293474511-061486,965803134-0061486,1090571222-061486,2023895401-00061486,1828148734-061486,1196955053-0000061486
Component 00000000035969,00004-00003-00011-35969,00003-00006-18700,1723906645-035969,1960867522-035969,50344752-0035969,1405349121-035969,220544736-00035969,213126859-035969,424305114-0000035969
Component 00000000016894,00004-00003-00007-16894,00001-00005-00008-102331,1841109834-016894,223792556-016894,753958925-0016894,710633143-016894,207284945-00016894,1519291782-016894,323276602-0000016894
Component 00000000002016,00001-00001-2016,00001-00002-00007-56401,75513275-002016,2115958416-002016,2008919910-0002016,1326596675-002016,1861789205-00002016,1380115928-002016,753058034-0000002016
Component 00000000105998,00003-00004-00009-105998,00002-00006-00006-2827,1432708518-105998,617467482-105998,1949710093-0105998,548223918-105998,329461804-00105998,955844436-105998,1039396208-0000105998
Component 00000000071569,00004-00001-00004-71569,00002-00003-00011-27142,1570426855-071569,1673366125-071569,1776305395-0071569,120530509-071569,1753317806-00071569,69060874-071569,271076851-0000071569
Component 00000000073889,00004-00004-00010-73889,00003-00004-00007-92138,196990564-073889,1935995586-073889,1527516961-0073889,786871898-073889,681781376-00073889,2064853034-073889,743851960-0000073889
Component 00000000090801,00001-00004-00009-90801,00005-00001-20060,741638964-090801,225016545-090801,1855877773-0090801,381513583-090801,817142031-00090801,1713566616-090801,2017520551-0000090801
Component 00000000098605,00003-98605,00002-00003-00005-42892,261409457-098605,1730283669-098605,1051674234-0098605,634848388-098605,1880411916-00098605,2047894929-098605,328655463-0000098605
Component 00000000060256,00001-00001-60256,00001-00003-00001-81056,562791989-060256,203714762-060256,1992121182-0060256,1401157479-060256,1049059967-00060256,506954269-060256,1782638822-0000060256
Component 00000000015417,00002-00003-00012-15417,00001-00004-00002-60946,943500569-015417,1255453010-015417,1567405451-0015417,2114550252-015417,554788047-00015417,884832208-015417,1858194800-0000015417
Component 00000000040277,00002-00006-00003-40277,00003-00005-00001-15783,1937631906-040277,2089640799-040277,94166045-0040277,1793870452-040277,1033825987-00040277,644124182-040277,1414662980-0000040277
Component 00000000004243,00003-00001-00005-4243,00003-00005-118695,1471555400-004243,1973285548-004243,327532049-0004243,35663814-004243,1821980368-00004243,1932282387-004243,1130562034-0000004243
Component 00000000033265,00001-00011-33265,00004-00001-00004-66564,305346501-033265,8890853-033265,1859918852-0033265,959633102-033265,294427695-00033265,1107860926-033265,753640287-0000033265
Component 00000000102654,00004-00006-00006-102654,00005-00009-32730,1672217273-102654,1201730777-102654,731244281-0102654,328458687-102654,533407520-00102654,563701935-102654,1191383718-0000102654
Component 00000000121084,00004-00005-00002-121084,00004-00003-54590,1103012628-121084,820995379-121084,538978130-0121084,1383819757-121084,646422355-00121084,451086558-121084,1077836603-0000121084
Component 00000000087976,00001-00005-87976,00001-00004-00010-115931,470288831-087976,1274625826-087976,2078962821-0087976,1899669266-087976,25467938-00087976,423758945-087976,1527556605-0000087976
Component 00000000007007,00002-7007,00004-00001-72580,2126400431-007007,592868218-007007,1206819652-0007007,1838273922-007007,916000399-00007007,1531298205-007007,894281562-0000007007
Component 00000000085328,00003-00005-00009-85328,00002-00004-00005-41787,1321601955-085328,1846802744-085328,224519886-0085328,2097778281-085328,1619257983-00085328,761436063-085328,125394521-0000085328
Component 00000000105183,00003-00001-105183,00002-00002-103560,2068588866-105183,1593548138-105183,1118507410-0105183,503950028-105183,731670021-00105183,741470392-105183,1297960329-0000105183
Component 00000000003200,00001-00002-3200,00004-00006-00011-89529,2035050167-003200,1482387882-003200,929725597-0003200,2074474932-003200,542819063-00003200,1277064251-003200,1940179530-0000003200
Component 00000000121659,00004-00006-00005-121659,00003-00001-00001-70708,720745383-121659,537979318-121659,355213253-0121659,1520267642-121659,286614320-00121659,537908851-121659,589551356-0000121659
Component 00000000046849,00004-00005-00010-46849,00007-76265,1010231741-046849,622286998-046849,234342255-0046849,448522705-046849,240762773-00046849,1716236900-046849,1742821437-0000046849
Component 00000000105900,00004-00002-105900,00004-00003-00003-94,1444065858-105900,1570099951-105900,1696134044-0105900,40526604-105900,1557839786-00105900,1051251381-105900,884964428-0000105900
Component 00000000040497,00002-00002-00002-40497,00004-00002-00010-21954,819912701-040497,512916493-040497,205920285-0040497,962982142-040497,350479535-00040497,1116480246-040497,1608315100-0000040497
Component 00000000009219,00004-00002-9219,00002-00003-10962,150463311-009219,605031657-009219,1059600003-0009219,722191622-009219,596833539-00009219,494907449-009219,1839698239-0000009219
